# ASAS-SN SkyPatrol ID: 661446200650
# Gaia DR2: 4685932778839640064


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456789.9203943,11.5071,0.1084,13.8074,0.0102,17.1245,1.60,V,G,bf
2456792.9148722,10.4344,0.1477,13.9136,0.0154,16.7886,1.71,V,G,bf
2456808.8807662,9.6520,0.0729,13.9982,0.0082,17.5555,2.36,V,G,bf
2456809.8785884,9.3693,0.0711,14.0305,0.0082,17.5829,1.65,V,G,bf
2456810.8902215,9.2544,0.0635,14.0439,0.0075,17.7056,1.61,V,G,bf
2456811.8739675,9.0926,0.0830,14.0631,0.0099,17.4142,1.55,V,G,bf
2456814.8859624,8.8999,0.0660,14.0863,0.0081,17.6628,2.04,V,G,bf
2456817.8922964,9.5396,0.0714,14.0110,0.0081,17.5778,2.27,V,G,bf
2456818.8680023,10.0064,0.1001,13.9591,0.0109,17.2114,2.19,V,B,bf
2456826.8504711,8.9498,0.0880,14.0802,0.0107,17.3512,1.57,V,B,bf
2456828.8502351,8.4887,0.0946,14.1377,0.0121,17.2726,1.54,V,G,bf
2456829.8474688,8.3218,0.1004,14.1592,0.0131,17.2076,1.53,V,G,bf
2456830.8480609,8.8715,0.0854,14.0898,0.0105,17.3843,1.48,V,B,bf
2456832.843862,9.4253,0.1046,14.0240,0.0121,17.1639,1.44,V,G,bf
2456833.8626803,10.0053,0.0803,13.9592,0.0087,17.4499,1.71,V,G,bf
2456836.8356101,11.1311,0.0981,13.8434,0.0096,17.2327,1.50,V,G,bf
2456838.855481,9.7832,0.0680,13.9836,0.0075,17.6319,1.76,V,G,bf
2456840.866626,9.3944,0.0688,14.0276,0.0080,17.6190,1.63,V,G,bf
2456845.8447821,8.2714,0.0825,14.1658,0.0108,17.4210,2.11,V,G,bf
2456847.8182908,9.0109,0.0994,14.0729,0.0120,17.2185,1.45,V,G,bf
2456849.836222,9.8887,0.1439,13.9719,0.0158,16.8174,1.52,V,B,bf
2456855.827622,9.6945,0.1082,13.9935,0.0121,17.1270,1.59,V,G,bf
2456856.8248023,9.1208,0.0689,14.0597,0.0082,17.6166,1.51,V,G,bf
2456857.8259313,9.0046,0.0833,14.0736,0.0101,17.4104,1.63,V,G,bf
2456859.8277613,8.6303,0.0813,14.1197,0.0102,17.4372,1.43,V,G,bf
2456866.7842661,11.1498,0.0915,13.8416,0.0089,17.3089,2.23,V,G,bf
2456871.7819947,9.6213,0.0856,14.0017,0.0097,17.3809,1.41,V,B,bf
2456874.7706967,8.8040,0.0783,14.0981,0.0097,17.4786,1.44,V,G,bf
2456876.765272,8.4168,0.1058,14.1469,0.0137,17.1507,1.52,V,G,bf
2456878.7658787,8.9502,0.0917,14.0802,0.0111,17.3060,1.52,V,G,bf
2456880.7860052,10.1107,0.1461,13.9478,0.0157,16.8009,1.50,V,B,bf
2456882.7579548,11.5754,0.1317,13.8009,0.0124,16.9135,1.56,V,B,bf
2456883.7787527,11.3182,0.1518,13.8253,0.0146,16.7592,1.52,V,B,bf
2456884.7766519,10.7547,0.1194,13.8808,0.0121,17.0198,1.48,V,G,bf
2456885.7802685,10.5244,0.0929,13.9043,0.0096,17.2919,1.59,V,G,bf
2456887.7724368,9.5741,0.0673,14.0070,0.0076,17.6431,1.96,V,G,bf
2456888.7691163,9.5824,0.0734,14.0061,0.0083,17.5484,1.60,V,G,bf
2456889.7660642,8.9213,0.0721,14.0837,0.0088,17.5672,1.55,V,G,bf
2456891.9265847,8.8199,0.0966,14.0961,0.0119,17.2499,1.49,V,G,bf
2456894.9212832,9.0457,0.0687,14.0687,0.0083,17.6204,1.68,V,G,bf
2456896.7586825,10.0639,0.1049,13.9529,0.0113,17.1605,1.45,V,G,bf
2456904.8322814,8.9893,0.0811,14.0755,0.0098,17.4395,1.45,V,G,bf
2456910.7293906,9.2356,0.1075,14.0461,0.0127,17.1339,1.56,V,G,bf
2456912.725163,10.2064,0.1235,13.9376,0.0131,16.9835,1.42,V,G,bf
2456916.8874948,10.0178,0.1388,13.9579,0.0151,16.8566,1.56,V,B,bf
2456918.7990682,9.5533,0.0707,14.0094,0.0080,17.5884,1.49,V,G,bf
2456920.8374963,9.0019,0.0622,14.0739,0.0075,17.7274,1.41,V,G,bf
2456921.8985188,8.8384,0.0932,14.0938,0.0115,17.2888,1.52,V,G,bf
2456922.7719995,8.6735,0.0872,14.1143,0.0109,17.3610,1.41,V,G,bf
2456925.7056483,8.8080,0.0914,14.0976,0.0113,17.3101,1.36,V,G,bf
2456929.7003669,11.6290,0.1166,13.7959,0.0109,17.0460,1.48,V,B,bf
2456931.6177749,10.6773,0.0864,13.8886,0.0088,17.3712,1.70,V,G,bf
2456937.6704039,8.6075,0.1734,14.1226,0.0219,16.6149,1.66,V,B,bf
2456938.6796695,8.1070,0.1827,14.1876,0.0245,16.5578,1.56,V,B,bf
2456939.6573484,8.8016,0.1545,14.0984,0.0191,16.7401,1.57,V,B,bf
2456940.6830836,8.7268,0.1063,14.1076,0.0132,17.1464,1.69,V,B,bf
2456944.8148725,10.4610,0.1734,13.9108,0.0180,16.6149,1.51,V,B,bf
2456948.8069675,10.0897,0.0927,13.9501,0.0100,17.2951,1.53,V,G,bf
2456951.7736037,9.0902,0.0692,14.0633,0.0083,17.6117,1.42,V,G,bf
2456952.6531094,9.1724,0.0554,14.0536,0.0066,17.8527,1.50,V,G,bf
2456954.6502385,8.4836,0.0736,14.1383,0.0094,17.5455,1.51,V,G,bf
2456955.6258881,8.4559,0.0970,14.1419,0.0125,17.2451,1.56,V,G,bf
2456957.6491327,9.4231,0.0650,14.0243,0.0075,17.6801,1.55,V,B,bf
2456960.7906402,11.3304,0.1291,13.8242,0.0124,16.9353,1.52,V,B,bf
2456963.7921258,10.5968,0.1219,13.8968,0.0125,16.9969,1.61,V,B,bf
2456965.7620203,9.5446,0.1233,14.0104,0.0140,16.9853,1.43,V,G,bf
2456966.6339229,9.7200,0.1254,13.9906,0.0140,16.9663,1.48,V,G,bf
2456968.7800025,9.1430,0.1676,14.0571,0.0199,16.6515,1.54,V,G,bf
2456970.6277319,8.6422,0.1173,14.1182,0.0148,17.0391,1.54,V,G,bf
2456972.6233061,8.8838,0.0726,14.0883,0.0089,17.5593,1.45,V,G,bf
2456973.6093368,9.5398,0.0823,14.0109,0.0094,17.4243,1.42,V,G,bf
2456975.6186204,10.4705,0.0890,13.9099,0.0092,17.3391,1.50,V,G,bf
2456978.6164933,11.2785,0.1019,13.8292,0.0098,17.1917,1.60,V,G,bf
2456980.6131963,9.7576,0.0801,13.9864,0.0089,17.4537,1.49,V,G,bf
2456983.6074359,8.8310,0.0615,14.0948,0.0076,17.7396,1.50,V,G,bf
2456985.6197837,8.6097,0.0936,14.1223,0.0118,17.2842,1.51,V,G,bf
2456988.5986053,8.9847,0.0676,14.0760,0.0082,17.6379,1.52,V,G,bf
2456990.581324,9.9133,0.1182,13.9692,0.0130,17.0309,1.82,V,B,bf
2456992.5881268,11.5326,0.1079,13.8050,0.0102,17.1297,1.48,V,G,bf
2456994.5768391,10.5980,0.1347,13.8967,0.0138,16.8888,1.60,V,G,bf
2456996.5712395,9.8821,0.1324,13.9727,0.0146,16.9075,1.67,V,G,bf
2456998.5693863,8.9845,0.1390,14.0760,0.0168,16.8551,1.70,V,B,bf
2457000.5602152,8.6152,0.0941,14.1216,0.0119,17.2789,1.65,V,G,bf
2457002.5619572,8.6082,0.0745,14.1225,0.0094,17.5316,1.57,V,G,bf
2457004.5543098,9.1004,0.0686,14.0621,0.0082,17.6222,1.58,V,G,bf
2457005.5862079,9.5028,0.0783,14.0151,0.0090,17.4783,1.53,V,G,bf
2457006.610088,9.9114,0.0831,13.9694,0.0091,17.4129,1.47,V,G,bf
2457008.542243,12.0565,0.1073,13.7567,0.0097,17.1360,1.60,V,G,bf
2457010.5376483,10.3903,0.0857,13.9182,0.0090,17.3799,1.67,V,G,bf
2457012.5524225,9.5608,0.0832,14.0085,0.0095,17.4123,1.58,V,G,bf
2457014.5720426,9.1830,0.0675,14.0523,0.0080,17.6393,1.52,V,G,bf
2457016.5672806,8.6845,0.0821,14.1129,0.0103,17.4267,1.58,V,G,bf
2457018.5457854,8.4826,0.0812,14.1385,0.0104,17.4382,1.96,V,B,bf
2457020.5625892,9.5327,0.0699,14.0117,0.0080,17.6017,1.65,V,G,bf
2457021.5919331,9.5800,0.0951,14.0064,0.0108,17.2673,1.63,V,G,bf
2457023.5620343,11.5743,0.1224,13.8010,0.0115,16.9926,1.60,V,G,bf
2457025.5590667,10.9037,0.1137,13.8658,0.0113,17.0733,1.51,V,G,bf
2457027.5597055,10.0131,0.1215,13.9584,0.0132,17.0013,2.21,V,G,bf
2457029.5700882,9.4932,0.1751,14.0163,0.0201,16.6040,1.76,V,G,bf
2457031.5448265,8.7155,0.0556,14.1090,0.0069,17.8492,1.51,V,G,bf
2457033.5479365,8.7682,0.0732,14.1025,0.0091,17.5512,1.54,V,G,bf
2457035.5440564,8.7986,0.0794,14.0987,0.0098,17.4625,1.52,V,G,bf
2457038.5387188,10.8541,0.1060,13.8708,0.0106,17.1487,1.70,V,G,bf
2457040.5344349,11.2953,0.1165,13.8275,0.0112,17.0465,2.03,V,G,bf
2457042.5318444,10.2632,0.1228,13.9316,0.0130,16.9890,1.69,V,G,bf
2457044.5290054,9.4150,0.1159,14.0252,0.0134,17.0520,1.80,V,G,bf
2457047.5614995,8.9332,0.1158,14.0823,0.0141,17.0526,2.01,V,G,bf
2457048.5421524,8.2707,0.1147,14.1659,0.0151,17.0635,1.80,V,G,bf
2457050.5493716,8.9589,0.0997,14.0791,0.0121,17.2151,1.79,V,G,bf
2457053.5630265,10.8672,0.1702,13.8695,0.0170,16.6349,1.72,V,G,bf
2457056.5371426,11.5101,0.2022,13.8071,0.0191,16.4479,1.52,V,G,bf
2457057.5578976,10.0646,0.1617,13.9528,0.0175,16.6906,1.56,V,B,bf
2457060.5543527,9.3417,0.0898,14.0337,0.0104,17.3295,1.43,V,G,bf
2457062.5588805,8.3640,0.1495,14.1537,0.0194,16.7755,1.60,V,G,bf
2457066.5561296,8.8293,0.0894,14.0950,0.0110,17.3337,1.65,V,G,bf
2457067.5403242,9.0445,0.1220,14.0688,0.0147,16.9967,1.64,V,B,bf
2457070.5453968,11.2996,0.1341,13.8271,0.0129,16.8935,1.66,V,G,bf
2457071.5229501,11.6127,0.1118,13.7974,0.0105,17.0914,1.59,V,G,bf
2457074.5220375,9.7468,0.0806,13.9876,0.0090,17.4459,1.53,V,G,bf
2457078.5154745,8.5684,0.1843,14.1275,0.0234,16.5484,1.62,V,G,bf
2457080.5057152,9.0519,0.2547,14.0679,0.0306,16.1972,1.63,V,G,bf
2457152.9384907,10.4699,0.2152,13.9099,0.0223,16.3802,1.46,V,B,bf
2457153.9350679,9.4049,0.1455,14.0264,0.0168,16.8054,1.57,V,G,bf
2457155.9282453,9.2615,0.0805,14.0431,0.0094,17.4479,1.44,V,G,bf
2457157.930286,9.1370,0.1145,14.0578,0.0136,17.0654,1.35,V,B,bf
2457159.917932,8.7014,0.0865,14.1108,0.0108,17.3696,1.50,V,G,bf
2457161.9259272,9.7051,0.1044,13.9923,0.0117,17.1654,1.49,V,G,bf
2457163.9219713,11.2168,0.0981,13.8351,0.0095,17.2334,1.48,V,B,bf
2457165.9156264,11.4935,0.1071,13.8087,0.0101,17.1383,1.42,V,B,bf
2457169.9079257,9.5487,0.0868,14.0099,0.0099,17.3663,1.40,V,G,bf
2457174.8925111,8.4972,0.1357,14.1366,0.0174,16.8812,1.42,V,G,bf
2457175.8895261,8.6461,0.1314,14.1177,0.0165,16.9161,1.53,V,G,bf
2457176.8893628,9.0898,0.1259,14.0634,0.0151,16.9619,1.45,V,G,bf
2457178.8805635,10.1188,0.1757,13.9470,0.0189,16.6005,1.43,V,B,bf
2457180.8746927,11.5738,0.1274,13.8011,0.0120,16.9496,1.45,V,B,bf
