star_idx,ra,dec,hr_zone,priority,cepheid_like,spikes_irregular,regular_spikes,long_trend,unknown,unclear_irregular,regular,lc_issues,two_dips,big_spike,selected,eclipsing_binary_cands,overall_median,overall_mean_mag,overall_median_mag,offset_flag,chi_squared_68,chi2_threshold_68,chi_flag_68,chi_squared_95,chi2_threshold_95,chi_flag_95,chi_squared_997,chi2_threshold_997,chi_flag_997,amplitude_5,lower_percentile_5,upper_percentile_5,mag_amplitude_5,amplitude_1,lower_percentile_1,upper_percentile_1,mag_amplitude_1,largest_amp,largest_amp_mag,best_period,alarm_level_flag,std_amplitude,logT,logT_std,logL,logL_std,binary,SIMBAD_maintype,SIMBAD_othertypes,teff,teff_std
0,7.521702,-73.913918,RSG,low,0,0,0,0,1,0,0,0,0,0,0,0,10.39732824928462,13.858572104319192,13.857643041038122,0.0,164328.7637296295,2731.830361003,0.0,164328.7637296295,2819.953086459194,0.0,164328.7637296295,2904.2138513342607,0.0,0.652342503495074,10.060031101651514,10.712373605146588,0.0686154309875703,0.9542217323552364,9.902972155615336,10.857193887970572,0.0998511912509609,1.0806419367635147,0.1135074361002299,2.2547343456324658,0.0,0.1805201935553953,3.795895651664008,0.0005209000540711,4.025972010650774,0.0069559645398469,False,Star,*|MIR|NIR|s?b,6250.225,7.496624240283091
1,7.746443,-73.741425,,,0,0,0,0,0,0,0,0,0,0,0,0,8.298339823357658,14.102184737562265,14.10265789344045,0.0,21582.824395855667,2285.882975266664,0.0,21582.824395855667,2366.5879559092814,0.0,21582.824395855667,2443.90039517506,0.0,0.5111451972721479,8.05238157357492,8.563526770847067,0.066342106559551,0.7425006215004686,7.929360013114332,8.6718606346148,0.097010320712771,0.8628906603237878,0.1129999999999995,228.60858792688788,1.0,0.039727036303202,3.778176583489546,0.0006765618968225,3.9625101528770807,0.0068122515008604,False,Star,*|MIR|NIR,6000.35,9.347593273137209
2,7.925977,-73.53167,,,0,0,0,0,0,0,0,0,0,0,0,0,3.683722296429041,14.985224502583916,14.984516691251724,0.0,15944.28945768519,2274.8062615304875,0.0,15944.28945768519,2355.318176530294,0.0,15944.28945768519,2432.449772142273,0.0,0.4486193843193873,3.453155183729218,3.9017745680486047,0.1318739523495047,0.638378794530932,3.3717536274281628,4.010132421959095,0.1878490319384216,0.7455890234940306,0.2203598330926031,201.14910185686884,0.0,0.0208183468929205,3.646506650641312,0.0109507549455972,3.9895348782229783,0.0063697662793183,True,RedSG_Candidate,*|MIR|NIR|s?r,4431.05,111.72912556715012
3,7.948884,-73.599243,RSG,low,0,0,0,0,1,0,0,0,0,0,0,0,4.445611447446913,14.780700986334152,14.78041929466148,0.0,12589.719677371537,2299.9803407410855,0.0,12589.719677371537,2380.930361413223,0.0,12589.719677371537,2458.4723288206196,0.0,0.4145033099799855,4.240434550037272,4.654937860017258,0.1012031000594397,0.6005824205782586,4.140339566016275,4.740921986594533,0.1470380595428473,0.7166413824172295,0.1760000000000019,485.2739108530634,0.0,0.0257019231129929,3.653219751956391,0.0004178304065061,4.001668983840928,0.0072704790683986,False,RedSG_Candidate,*|MIR|NIR|s?r,4500.075,4.329477451148117
4,7.980047,-73.578545,,,0,0,0,0,0,0,0,0,0,0,0,0,3.368827134829491,15.081476775116204,15.081124230230074,0.0,13266.781168414767,2291.924740242267,0.0,13266.781168414767,2372.734830930131,0.0,13266.781168414767,2450.145726363749,0.0,0.4185250432140028,3.167022142375459,3.585547185589462,0.1345703346064599,0.6153635600912071,3.064660375196994,3.680023935288201,0.1982187815575162,0.7257441864195808,0.2350000000000012,372.5107503822114,0.0,0.0220999125989674,3.6283557180259254,0.0009205720884436,3.996245289190244,0.0072876986884943,False,RedSG_Candidate,*|MIR|NIR|s?r,4249.675,9.00801726241685
5,7.981742,-73.585571,RSG,low,0,1,0,0,0,0,0,0,0,0,0,0,5.98226309710396,14.458030746252971,14.45792786962671,0.0,29300.441865574736,2342.270648055073,0.0,29300.441865574736,2423.951286863853,0.0,29300.441865574736,2502.177623900858,0.0,0.629950512509569,5.6797912649586255,6.3097417774681945,0.1141344999560107,0.8750267857399194,5.5644908628475065,6.439517648587426,0.1584313273740782,1.0848816662430174,0.1970000000000009,1002.2374879380268,0.0,0.0036032654969564,3.628388930050312,0.0,4.2731276448277535,0.0078833619101818,True,RedSG_Candidate,*|MIR|NIR|s?r,4250.0,0.0
6,8.228736,-73.821953,,,0,0,0,0,0,0,0,0,0,0,0,0,6.320977666746703,14.346638527590525,14.398225100223696,0.0,1045526.0400693248,2391.60602454486,0.0,1045526.0400693248,2474.130708638812,0.0,1045526.0400693248,2553.147666408268,0.0,5.626378551663284,4.807673397757161,10.434051949420445,0.8413486801967736,6.298228871748552,4.578446838849089,10.876675710597642,0.9391982151808822,8.611254748326482,1.5761370671348995,15.840122470532574,0.0,0.5447503345585994,3.79070728732768,0.0111043916955548,3.928721340723477,0.0261390064264666,False,ClassicalCep,*|cC*|Ce*|NIR|s?b|V*,6176.0,157.9129507038609
7,8.560188,-73.619049,,,0,0,0,0,0,0,0,0,0,0,0,0,4.1509934394328845,14.855739011513329,14.854674006204563,0.0,27390.498328038982,1975.6588547276028,0.0,27390.498328038982,2050.7664186324773,0.0,27390.498328038982,2122.835885331438,0.0,0.4458329262230438,3.924282940017673,4.370115866240717,0.1168618959670357,0.6581923444820443,3.8249341130086063,4.483126457490651,0.1723218864862428,0.7375433319316995,0.1945572052898789,6.9010166988337485,1.0,0.1360067955353958,3.6378398258490057,0.012095044257012,4.076020490028913,0.0083276961012646,True,RedSG_Candidate,*|MIR|NIR|s?r,4343.5,120.9659042871172
8,8.637665,-73.873337,,,0,0,0,0,0,0,0,0,0,0,0,0,25.134,12.899094786729858,12.899,0.0,18874.812143332132,648.0973513299974,0.0,18874.812143332132,691.5938784273117,0.0,18874.812143332132,734.0612797676672,0.0,0.9595999999999982,24.6626,25.6222,0.0413999999999994,1.333680000000001,24.46932,25.803,0.0576799999999995,1.586000000000002,0.0679999999999996,1.7561659802301668,1.0,0.1791869990745117,3.91493257225064,0.0076562290373416,4.196810851381923,0.0105426556046077,False,ChemPec*,*|NIR|Pe*|s?b,8221.15,144.93163043311145
9,8.763608,-73.549622,RSG,low,0,0,0,0,0,0,0,1,0,0,0,0,5.828555061554566,14.486468914733086,14.486,0.0,18453.459889396167,1714.648007885952,0.0,18453.459889396167,1784.694965354872,0.0,18453.459889396167,1852.0244838042372,0.0,0.5199866102235875,5.569372968003183,6.08935957822677,0.0969999999999977,0.7774456922417361,5.445490082931728,6.222935775173464,0.145011841899155,0.9207251210667264,0.1720000000000006,395.1742480512271,0.0,0.0597578556776377,3.641498898294518,0.0123826055903489,4.230730155542765,0.0077038519837581,True,ChemPec*,*|MIR|NIR|Pe*,4380.25,124.8897013368196
