ra,dec
6.639692,-73.274483
8.648353,-72.544128
9.27237,-73.437759
9.490297,-73.511185
9.800761,-72.943527
10.431021,-73.72332
10.798535,-73.386368
11.325652,-73.256996
11.593131,-73.321968
11.743508,-72.273781
11.800913,-73.109222
11.871639,-73.027054
11.959739,-73.239655
11.963402,-73.287605
12.100888,-73.225922
12.129686,-73.191269
12.201496,-72.650162
12.352271,-73.30378
12.364528,-72.680344
12.422279,-73.237427
12.490582,-73.66832
12.525349,-73.129242
12.54733,-72.189705
12.603344,-72.000328
12.631599,-73.478493
12.640352,-73.25692
12.654134,-73.12825
12.807108,-73.340614
12.822944,-73.282799
12.876572,-73.269402
12.909401,-72.790192
12.914673,-73.308701
12.999947,-73.059242
13.015799,-71.944138
13.021573,-72.123528
13.046056,-73.343498
13.079405,-73.156387
13.094174,-72.664154
13.110996,-72.624344
13.114879,-73.315651
13.131268,-72.193748
13.182248,-72.03167
13.209195,-72.222206
13.213406,-73.114868
13.23675,-71.917572
13.242589,-72.397987
13.258108,-71.643761
13.285954,-72.136147
13.306341,-72.267021
13.394229,-73.092438
13.409233,-72.809013
13.413244,-72.062836
13.513381,-72.529045
13.576145,-72.372658
13.592742,-72.338356
13.615561,-72.266136
13.692348,-72.222366
13.698917,-71.760323
13.701472,-72.723511
13.740135,-73.077827
13.765738,-73.010216
13.77444,-72.180992
13.843193,-72.277374
13.844402,-72.089409
13.979501,-72.675148
13.982381,-72.452698
13.983587,-71.984108
14.035505,-72.272568
14.052653,-72.272827
14.057833,-72.459015
14.065371,-72.462967
14.075,-72.463905
14.078349,-72.463211
14.087156,-72.462318
14.091104,-72.464333
14.110164,-73.473137
14.156336,-72.027702
14.163603,-71.844841
14.240453,-71.931976
14.392303,-71.907814
14.440073,-72.026474
14.509452,-72.29908
14.521509,-72.216705
14.603494,-72.42289
14.650906,-72.204704
14.671736,-72.437637
14.698428,-71.942085
14.724634,-72.20134
14.726427,-71.943985
14.782796,-71.913559
14.860701,-72.165016
14.871415,-72.017967
14.896359,-72.241386
14.940584,-72.748978
14.953141,-72.273399
15.014473,-71.961395
15.039916,-72.566467
15.051331,-72.155411
15.169767,-71.541702
15.225637,-72.860222
15.261213,-72.198441
15.287348,-72.262398
15.315233,-72.543571
15.320793,-72.292
15.332641,-72.284523
15.364306,-72.118401
15.489279,-72.071449
15.532258,-72.292458
15.656626,-71.275955
15.679321,-72.123909
15.706694,-72.1707
15.845589,-72.603508
15.886565,-72.41571
15.934614,-72.539604
15.978696,-72.824409
16.064517,-72.75563
16.103029,-72.009552
16.126022,-72.362282
16.148901,-72.070976
16.220421,-72.143562
16.229481,-72.043449
16.233804,-72.251961
16.234879,-72.043686
16.352517,-72.924828
16.370598,-72.67263
16.484653,-72.329117
16.573929,-72.243042
16.667566,-72.47924
16.757307,-73.177071
16.782522,-72.511818
16.825903,-72.467659
17.236885,-73.042908
17.552019,-72.62529
17.62284,-72.826271
17.758444,-72.115479
17.855835,-73.284515
17.881686,-73.579437
17.929814,-72.124306
18.112667,-71.441185
18.146575,-73.159828
18.284948,-73.339905
18.377089,-73.336182
18.40252,-72.920547
18.475151,-73.397247
18.47522,-72.861008
18.59014,-73.212502
18.616893,-72.664871
18.79781,-73.142822
18.852198,-73.512329
19.242433,-73.71965
19.61984,-72.823036
19.827769,-72.804893
20.027448,-71.914421
20.054984,-73.284607
20.086937,-73.271645
20.165176,-72.784286
20.217238,-72.543243
20.407462,-72.884239
20.561633,-72.68409
20.688973,-73.862312
20.689613,-72.776115
20.964646,-73.678734
21.135223,-72.74614
21.466391,-72.954132
