ra,dec,2MASS,ra_gaia,dec_gaia,parallax,pmra,pmdec,pm,ra_error,dec_error,parallax_error,parallax_over_error,pmra_error,pmdec_error,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_params_solved,astrometric_sigma5d_max,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,Separation_1,covariance,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,uvw1_mag,uvw1_mag_err,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,flag,logL,logT
8.763859,-74.203384,00350332-7412121,8.763901904933308,-74.20341111393154,0.00969846152325557,0.4526748803086116,-1.2863504463941804,1.3636759519577026,0.013825261034071445,0.012891233898699284,0.014736897312104702,0.6581073999404907,0.01775296963751316,0.017054030671715736,5.841796875,803.8451538085938,0.118600033223629,14.170731544494629,1.2412034273147583,31,0.02552208863198757,false,12.929763793945312,13.713175773620605,12.07697868347168,126777.21926233372,44683.42207445484,117048.71559505921,159.84439086914062,793.1289672851562,223.30772399902344,200.0979766845703,447.5125427246094,261.5540466308594,1.2757192850112915,0.10628118804181921,2.098975051389886,10.939,10.251,10.094,0.021,0.022,0.019,AAA,16.149,0.055,14.985,0.046,13.438,0.086,11.788,0.164,,,,,,,1.0,4.508927671971229,3.6143348248588323
8.989162,-73.734062,00355739-7344026,8.989200596586864,-73.73407689791483,-0.01941291907864282,0.6529036606438076,-1.1393010586679508,1.313122272491455,0.012134562246501446,0.010508749634027481,0.012353429570794106,-1.5714598894119263,0.015123908407986164,0.013327774591743946,-0.23787373304367065,328.876220703125,0.0,0.0,0.9900264739990234,31,0.02159997634589672,false,13.758018493652344,14.484862327575684,12.933302879333496,59120.68445501224,21951.897912509176,53190.879973382136,19.075437545776367,3099.3095703125,33.49312210083008,655.4151000976562,42.08458709716797,1263.904052734375,1.2710065841674805,0.0662654416297769,0.7941128809775404,11.815,11.095,10.969,0.023,0.025,0.026,AAA,16.293,0.048,15.595,0.041,14.222,0.106,12.69,0.061,,,,,,,1.0,4.15813168499091,3.614064349294519
9.818972,-72.032875,00391655-7201583,9.819046813151232,-72.03286755794726,0.005084547310669183,0.6078137066591089,-1.285226827972333,1.4217051267623901,0.01223729643970728,0.011748069897294044,0.013810100965201855,0.3681759536266327,0.017174294218420982,0.017137547954916954,1.8668115139007568,379.6173095703125,0.044763579964637756,1.237529993057251,1.0728354454040527,31,0.02500876784324646,false,13.929858207702637,14.325101852416992,13.366022109985352,50466.52989701482,25431.737807802205,35706.67482256748,206.47091674804688,244.4243927001953,495.56744384765625,51.31842041015625,363.3101501464844,98.28152465820312,1.211464524269104,0.08729275417794277,0.5572614245621466,12.482,12.165,12.087,0.023,0.024,0.029,AAA,14.171,0.034,14.969,0.049,13.749,0.079,12.752,0.184,,,,,,,1.0,4.0739798016246125,3.756468455364246
10.190774,-72.673569,00404578-7240248,10.190797123563371,-72.67357906122477,0.039658237207805376,0.527420872945614,-1.1598757876533994,1.274160385131836,0.011507142335176468,0.01001976802945137,0.011740127578377724,3.378007411956787,0.013837235048413277,0.013494143262505531,3.2230966091156006,413.2623596191406,0.030905088409781456,0.732690691947937,1.1245380640029907,31,0.02072102576494217,false,13.494476318359375,14.28372573852539,12.630160331726074,75362.687820321,26419.619006966637,70322.44494083362,91.3862075805664,824.6614990234375,132.13555908203125,199.94329833984375,230.69580078125,304.82757568359375,1.2836865186691284,0.043892370967931305,1.2144284789086164,11.473,10.745,10.64,0.022,0.025,0.025,AAA,16.535,0.04,15.411,0.017,14.046,0.03,12.297,0.153,,,,,,,1.0,4.300110793338582,3.61761314523221
11.78622,-73.236649,00470869-7314119,11.786262268058483,-73.2366454318955,9.123814242650453E-4,0.7673733205070777,-1.3354409808346324,1.5402157306671143,0.009831136092543602,0.009710188023746014,0.010728525929152966,0.0850425735116005,0.012640977278351784,0.012036613188683987,0.42865607142448425,563.119140625,0.06194204092025757,4.20383358001709,1.0148183107376099,31,0.018142951652407646,false,12.65213394165039,13.19548225402832,11.91920280456543,163716.7810966345,71981.99017361939,135355.852889865,115.25430297851562,1420.4830322265625,162.59368896484375,442.7108459472656,236.75946044921875,571.7019653320312,1.2664421796798706,0.04572852014079164,0.7572798799874265,10.839,10.153,9.944,0.024,0.025,0.021,AAA,13.113,0.01,13.744,0.01,13.056,0.01,11.859,0.025,,,,,11.983273168464036,0.044323664938260884,1.0,4.531525145431199,3.601686232985708
12.026228,-73.110535,00480629-7306379,12.026314521157055,-73.11055882762892,0.030388070849037926,0.798324289785483,-1.327522994902382,1.549076795578003,0.010776279494166374,0.010438177734613419,0.011289389804005623,2.691737174987793,0.014537539333105087,0.013384532183408737,1.2507197856903076,737.1475830078125,0.08778372406959534,9.71199893951416,1.0452327728271484,31,0.020513217896223068,false,12.378113746643066,12.550512313842773,12.055431365966797,210717.83393904267,130380.34745047774,119394.84769531223,80.79141235351562,2608.171142578125,143.92855834960938,905.8685302734375,112.30524444580078,1063.1279296875,1.1853538751602173,0.12468724167738977,0.701469965307393,11.709,11.586,11.502,0.027,0.047,0.037,AAA,12.503,0.06,12.794,0.06,12.526,0.06,12.005,0.014,13.620672876583507,0.04377509470719445,14.47492490467348,0.04718086684974816,14.208324468641566,0.04812448225886702,1.0,4.538128155645973,3.8218252425631287
12.158935,-73.246552,00483814-7314475,12.158997226103786,-73.24654411234063,-0.014396733097892824,0.3907991802373295,-1.256892691941615,1.3162459135055542,0.01154016237705946,0.011548925191164017,0.01271473616361618,-1.1322872638702393,0.01584767736494541,0.015361333265900612,-2.2923331260681152,405.86798095703125,0.04994054511189461,1.7003735303878784,0.9120556712150574,31,0.022827232256531715,false,13.49560260772705,13.562275886535645,13.367219924926758,75284.55109841794,51345.99007120123,35667.30734003354,64.31903076171875,1170.4864501953125,84.94699096679688,604.4474487304688,60.85501480102539,586.10302734375,1.155792236328125,0.07054055522237593,2.7693068360186905,13.289,13.127,13.201,0.029,0.034,0.041,AAA,13.075,0.031,13.654,0.05,13.693,0.097,13.369,0.027,13.09296729452003,0.04487849388474996,13.513833025850012,0.044650856423349455,13.241454678308036,0.04482783295012197,1.0,4.117119335094493,3.91582513835247
12.257829,-72.901375,00490187-7254049,12.257938993595257,-72.90138370566905,-0.010656582379130138,0.7466089775147947,-1.1777053416518724,1.3944227695465088,0.014652851037681103,0.01243703905493021,0.014365839771926403,-0.7418001294136047,0.02282145246863365,0.01612258516252041,-0.3904990553855896,272.9081726074219,0.0,0.0,0.9827494621276855,31,0.03305602818727493,false,13.94667911529541,14.709443092346191,13.099617958068848,49690.70532011202,17850.060811576586,45636.35401773872,20.16057586669922,2464.746337890625,29.269975662231445,609.842041015625,54.30189514160156,840.419189453125,1.2776316404342651,0.12056859897843661,0.31189843023036284,11.934,11.237,11.108,0.023,0.026,0.026,AAA,16.62,0.045,15.792,0.019,14.418,0.025,12.978,0.014,16.969890139031858,0.0959307490979866,17.225868166475152,0.10491915559820772,17.24157254421564,0.1233269026591826,1.0,4.1185032252719385,3.6195487337594527
12.385136,-72.487221,00493243-7229139,12.38528434445639,-72.48726285283449,-0.0027492267986592503,0.6290765102747589,-1.2372879952331632,1.3880269527435303,0.012441981583833694,0.0120999189093709,0.013936005532741547,-0.1972751021385193,0.014944838359951973,0.015927612781524658,0.5832697749137878,347.3963317871094,0.0,0.0,1.0214630365371704,31,0.022323856130242348,false,13.931305885314941,14.60051155090332,13.126877784729004,50399.307649439856,19733.869165934808,44504.808642361226,15.469430923461914,3257.99365234375,28.72744369506836,686.9343872070312,40.384422302246094,1102.029052734375,1.2745944261550903,0.22028788932990323,0.2083942515428368,12.125,11.472,11.36,0.029,0.03,0.032,AAA,16.4,0.059,15.613,0.021,14.326,0.023,12.912,0.103,17.898783697352975,0.11523573015684273,18.600948251861684,0.16941374788653527,18.869110107421875,0.2366051524877548,1.0,4.064528443307149,3.636773723161784
12.393755,-72.881355,00493450-7252528,12.39386661946539,-72.88137948382432,-0.01613020267825398,0.7224618494566035,-1.2428959469095224,1.4376165866851807,0.01276908628642559,0.012095312587916851,0.013618926517665386,-1.1843960285186768,0.018663670867681503,0.015716932713985443,-0.6931060552597046,279.2341003417969,0.0,0.0,0.9710351824760437,31,0.026384586468338966,false,13.801946640014648,14.53274154663086,12.974899291992188,56776.42482945566,21004.887899352012,51191.59578286934,26.62856674194336,2132.162353515625,37.37967300415039,561.9334106445312,62.33940887451172,821.175537109375,1.271592617034912,0.1475090708675748,0.0023153456135575835,11.884,11.206,11.078,0.023,0.026,0.023,AAA,16.388,0.076,15.628,0.021,14.226,0.028,12.845,0.011,16.61198135200174,0.0844287541506247,16.699359956733232,0.08329584589062984,16.673942482115233,0.09834635978856042,1.0,4.146333436300365,3.6251440523880976
