# ra dec
7.521702 -73.913918
7.746443 -73.741425
7.925977 -73.53167
7.948884 -73.599243
7.980047 -73.578545
7.981742 -73.585571
8.228736 -73.821953
8.560188 -73.619049
8.637665 -73.873337
8.763608 -73.549622
8.763859 -74.203384
8.77266 -74.151146
8.989162 -73.734062
9.124077 -73.918602
9.27237 -73.437759
9.380191 -74.411057
9.490297 -73.511185
9.497994 -73.460907
9.508638 -73.630348
9.526143 -73.780037
9.530862 -73.742409
9.563685 -73.017746
9.57867 -73.525597
9.800761 -72.943527
9.818972 -72.032875
10.190774 -72.673569
10.191936 -73.717102
10.431021 -73.72332
10.512744 -73.888428
10.598432 -73.412109
10.618245 -73.460747
10.721161 -73.596092
10.745516 -73.29184
10.95191 -73.613548
11.004765 -72.995163
11.045316 -73.212608
11.12775 -73.016106
11.210925 -72.885483
11.325652 -73.256996
11.399051 -73.293671
11.476636 -72.93116
11.510007 -73.350014
11.554412 -72.935364
11.624906 -72.593178
11.642234 -72.821014
11.666625 -73.208763
11.692539 -73.666313
11.721182 -72.714394
11.743508 -72.273781
11.753848 -73.370476
11.760545 -72.919182
11.782004 -73.745392
11.78622 -73.236649
11.793363 -72.96051
11.805479 -72.704842
11.821116 -73.449043
11.871639 -73.027054
11.912048 -73.381645
11.938212 -73.307259
11.955413 -73.095612
11.959739 -73.239655
11.963402 -73.287605
11.992086 -72.815269
12.00486 -73.387062
12.009524 -73.403946
12.026228 -73.110535
12.036872 -73.505272
12.078882 -73.249702
12.100888 -73.225922
12.115704 -73.446945
12.129686 -73.191269
12.132593 -72.986565
12.138712 -73.209274
12.144304 -73.154884
12.146544 -72.369522
12.158935 -73.246552
12.189284 -72.924294
12.257829 -72.901375
12.274476 -73.195107
12.299215 -72.692955
12.302837 -73.392799
12.314714 -73.202988
12.319302 -73.147079
12.364528 -72.680344
12.385136 -72.487221
12.393755 -72.881355
12.403304 -73.465042
12.419711 -73.236916
12.42137 -72.301399
12.422279 -73.237427
12.43541 -73.33667
12.439296 -72.879936
12.443462 -72.462852
12.449533 -73.411659
12.482258 -73.047455
12.488276 -72.405502
12.490582 -73.66832
12.498361 -73.07341
12.501577 -72.983681
12.503212 -71.835449
12.54733 -72.189705
12.549769 -73.354309
12.554437 -73.286179
12.56634 -73.169647
12.569629 -73.138657
12.575341 -72.455956
12.585205 -73.124901
12.588534 -73.102638
12.603344 -72.000328
12.619976 -72.752563
12.620275 -73.120697
12.629437 -72.872421
12.638301 -72.962532
12.654134 -73.12825
12.669093 -72.834183
12.694161 -72.241043
12.706621 -72.698372
12.708537 -73.394318
12.741672 -73.285706
12.758097 -73.268562
12.779685 -72.998734
12.788992 -72.809959
12.799192 -73.278519
12.799663 -72.471596
12.806897 -72.550446
12.816462 -73.159111
12.822944 -73.282799
12.826005 -72.723526
12.833997 -73.136757
12.852453 -72.382942
12.857086 -72.763344
12.858666 -72.888458
12.883954 -73.309235
12.895854 -72.992508
12.90685 -72.433243
12.909401 -72.790192
12.911544 -72.972351
12.914673 -73.308701
12.9154 -73.232407
12.921972 -72.933441
12.941341 -72.59816
12.999333 -72.766563
12.999947 -73.059242
13.001509 -73.0895
13.004298 -72.965843
13.015799 -71.944138
13.016882 -72.741058
13.021573 -72.123528
13.033491 -72.280327
13.038654 -72.99086
13.046056 -73.343498
13.048194 -73.329536
13.050167 -72.627411
13.051069 -72.727928
13.051435 -73.310753
13.068365 -73.705978
13.079881 -71.911369
13.089044 -72.665497
13.094174 -72.664154
13.104091 -72.684158
13.110996 -72.624344
13.114879 -73.315651
13.127266 -72.319092
13.1284 -73.220673
13.131268 -72.193748
13.138695 -72.397324
13.1457 -72.433815
13.14854 -72.851479
13.162501 -73.009697
13.163567 -72.740128
13.168679 -72.838676
13.1687 -72.745171
13.169555 -72.756119
13.173921 -73.065315
13.182248 -72.03167
13.189993 -73.073402
13.201415 -72.968979
13.209195 -72.222206
13.211746 -72.775291
13.213406 -73.114868
13.220664 -72.478584
13.230858 -71.694115
13.233808 -72.232277
13.23675 -71.917572
13.237359 -72.394661
13.241423 -72.580956
13.242589 -72.397987
13.245275 -73.139763
13.249078 -73.441971
13.256099 -72.399757
13.256905 -72.508492
13.259931 -72.498817
13.268429 -72.562134
13.270706 -72.872025
13.279305 -72.171394
13.285954 -72.136147
13.306341 -72.267021
13.309965 -72.641273
13.315513 -72.367493
13.316536 -73.259033
13.327935 -72.551033
13.328623 -73.073029
13.329248 -71.703796
13.33919 -72.287971
13.339863 -71.844383
13.345563 -72.413216
13.348422 -72.783722
13.350006 -73.11042
13.357728 -72.371582
13.358685 -72.489899
13.378453 -73.231285
13.378894 -72.532722
