ra,dec,RAJ2000,e_RAJ2000,DEJ2000,e_DEJ2000,Bmag_APASS,e_Bmag_APASS,Vmag_APASS,e_Vmag_APASS,gmag_APASS,e_gmag_APASS,rmag_APASS,e_rmag_APASS,imag_APASS,e_imag_APASS

7.521702,-73.913918,007.5217959, 19,-73.9138820, 19,14.173, 2,13.705, 3,13.889, 3,13.590, 2,13.519, 2

7.746443,-73.741425,007.7464995, 19,-73.7414187, 18,14.441, 3,13.926, 2,14.107, 0,13.782, 2,13.667, 4

7.925977,-73.53167,007.9259677, 18,-73.5316684, 18,15.788, 1,14.438, 3,15.086, 2,14.009, 2,13.574, 3

7.948884,-73.599243,007.9488268, 20,-73.5992370, 20,15.495, 3,14.311, 2,14.853, 2,13.907, 3,13.535, 5

7.980047,-73.578545,007.9800233, 22,-73.5785628, 19,16.109, 5,14.566, 1,15.326, 2,14.127, 3,13.652, 1

7.981742,-73.585571,007.9817339, 18,-73.5855864, 16,15.357, 5,13.891, 2,14.607, 2,13.425, 3,12.943, 3

8.228736,-73.821953,008.2287956, 20,-73.8219642, 19,14.602,21,14.055,12,14.277,17,13.926,13,13.802,13

8.560188,-73.619049,008.5601268, 20,-73.6190942, 21,15.681, 4,14.237, 1,14.928, 1,13.817, 0,13.354, 4

8.637665,-73.873337,008.6376142, 17,-73.8733420, 17,13.293, 3,13.201, 1,13.171, 1,13.271, 1,      ,

8.763608,-73.549622,008.7635353, 19,-73.5496798, 19,15.326, 3,13.892, 3,14.586, 2,13.459, 1,13.008, 2

8.763859,-74.203384,008.7638550, 17,-74.2034003, 19,14.943, 4,13.402, 3,14.137, 1,12.899, 2,12.418, 2

8.989162,-73.734062,008.9891659, 19,-73.7340675, 19,15.548, 6,14.237, 4,14.843, 4,13.782, 4,13.297, 4

9.124077,-73.918602,009.1239386, 20,-73.9186342, 20,13.996, 1,13.818, 3,13.836, 2,13.818, 3,13.849, 7

9.380191,-74.411057,009.3800530, 20,-74.4110595, 20,15.808, 6,14.376, 3,15.025, 2,13.974, 2,13.531, 4

9.508638,-73.630348,009.5085130, 15,-73.6303637, 16,14.242, 2,13.636, 1,13.898, 2,13.463, 1,13.266, 4

9.563685,-73.017746,009.5636421, 16,-73.0177456, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

9.57867,-73.525597,009.5786550, 18,-73.5255762, 18,15.103, 0,14.053, 2,14.536, 3,13.775, 0,13.458, 1

9.818972,-72.032875,009.8190795, 21,-72.0328737, 18,14.786, 1,14.077, 1,      ,  ,      ,  ,13.697, 5

10.190774,-72.673569,010.1907539, 17,-72.6735753, 17,15.424, 2,13.987, 2,14.685, 1,13.508, 1,12.982, 0

10.191936,-73.717102,010.1919824, 18,-73.7170903, 18,15.079, 3,14.292, 4,14.576, 7,14.097, 2,13.881, 1

10.512744,-73.888428,010.5127124, 20,-73.8884178, 22,15.727, 6,14.326, 2,14.992, 3,13.856, 5,13.351, 7

10.598432,-73.412109,010.5983580, 19,-73.4120784, 17,15.563, 2,14.119, 2,14.783, 1,13.698, 1,13.223, 1

10.721161,-73.596092,010.7211324, 17,-73.5960603, 16,13.800, 0,13.315, 1,13.497, 1,13.206, 1,13.118, 6

10.745516,-73.29184,010.7454365, 24,-73.2917834, 18,14.357, 2,13.788, 0,14.023, 1,13.675, 1,13.499, 1

10.95191,-73.613548,010.9518474, 16,-73.6135420, 17,14.740, 7,13.713, 3,14.181, 1,13.421, 1,13.171, 1

11.004765,-72.995163,011.0047956, 15,-72.9951037, 15,15.265, 6,13.817, 1,14.486, 1,13.360, 1,12.910, 1

11.045316,-73.212608,011.0453218, 17,-73.2125612, 18,15.184, 4,14.107, 1,14.588, 1,13.794, 1,13.549, 1

11.210925,-72.885483,011.2109571, 24,-72.8854450, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.399051,-73.293671,011.3990542, 16,-73.2936320, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.476636,-72.93116,011.4765915, 22,-72.9311492, 23,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.510007,-73.350014,011.5099539, 16,-73.3499887, 17,15.187, 1,13.845, 2,14.432, 0,13.411, 0,12.928, 0

11.554412,-72.935364,011.5544042, 24,-72.9353859, 47,13.115, 2,13.062, 1,13.010, 1,13.159, 1,13.336, 1

11.624906,-72.593178,011.6249518, 82,-72.5930700, 83,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.642234,-72.821014,011.6422289, 18,-72.8209934, 19,13.537, 2,13.459, 1,13.441, 1,13.575, 1,13.714, 1

11.666625,-73.208763,011.6666433, 24,-73.2087312, 19,13.798, 1,13.653, 2,13.638, 1,13.668, 1,13.790, 1

11.692539,-73.666313,011.6925150, 20,-73.6663017, 20,15.811, 7,14.475, 0,15.153, 1,13.977, 1,13.580, 1

11.721182,-72.714394,011.7212862, 15,-72.7143692, 15,13.255,13,12.501, 7,12.763, 1,12.268, 1,12.092, 1

11.753848,-73.370476,011.7538383, 17,-73.3704345, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.760545,-72.919182,011.7606077, 18,-72.9191462, 17,13.669, 1,13.190, 2,13.383, 1,13.054, 1,12.971, 1

11.782004,-73.745392,011.7819683, 18,-73.7453728, 18,14.740, 1,13.560, 1,      ,  ,      ,  ,12.637, 1

11.78622,-73.236649,011.7862245, 15,-73.2366406, 15,13.821, 3,13.085, 1,13.454, 1,12.693, 1,12.249, 1

11.793363,-72.96051,011.7935018, 24,-72.9605037, 29,14.903, 4,14.058, 1,14.445, 1,13.821, 1,13.550, 1

11.805479,-72.704842,011.8056271, 21,-72.7048328, 22,16.046, 7,14.673, 1,15.340, 1,14.216, 1,      ,

11.938212,-73.307259,011.9381589, 19,-73.3072678, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.955413,-73.095612,011.9554845, 19,-73.0955820, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.992086,-72.815269,011.9921524, 20,-72.8152553, 20,14.133, 1,13.767, 1,13.892, 1,13.711, 1,13.649, 1

12.00486,-73.387062,012.0048395, 20,-73.3870239, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.009524,-73.403946,012.0095683, 21,-73.4039153, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.026228,-73.110535,012.0262789, 15,-73.1105481, 15,12.756, 1,12.468, 1,12.554, 0,12.443, 0,12.387, 0

12.036872,-73.505272,012.0369342, 17,-73.5052581, 21,13.135, 0,13.060, 2,13.005, 1,13.064, 1,13.187, 1

12.078882,-73.249702,012.0790403, 16,-73.2497506, 28,13.139, 0,13.141, 1,13.048, 1,13.262, 1,13.454, 1

12.115704,-73.446945,012.1154050, 21,-73.4469039,105,12.986, 2,12.968, 1,12.910, 1,13.065, 1,13.152, 1

12.132593,-72.986565,012.1326324, 15,-72.9865353, 15,15.253, 1,13.664, 3,14.383, 1,13.150, 1,12.654, 1

12.138712,-73.209274,012.1387968, 19,-73.2092592, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.144304,-73.154884,012.1443668, 21,-73.1548814, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.146544,-72.369522,012.1466009, 16,-72.3695317, 16,15.149, 3,13.578, 1,14.320, 1,13.041, 1,12.541, 1

12.158935,-73.246552,012.1589871, 20,-73.2465395, 20,13.624, 2,13.512, 0,13.498, 1,13.538, 1,13.699, 1

12.189284,-72.924294,012.1893424, 19,-72.9242731, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.257829,-72.901375,012.2578803, 32,-72.9013581, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.299215,-72.692955,012.2992933, 17,-72.6929739, 17,15.081, 3,13.525, 1,14.252, 1,12.970, 1,12.492, 1

12.302837,-73.392799,012.3028883, 19,-73.3928198, 20,13.810, 1,13.791, 2,13.698, 1,13.858, 1,14.003, 1

12.314714,-73.202988,012.3147636, 19,-73.2030300, 17,13.483, 3,13.310, 1,13.337, 1,13.362, 1,13.461, 1

12.319302,-73.147079,012.3193477, 22,-73.1471164, 26,13.964, 1,13.805, 1,13.809, 1,13.861, 1,13.982, 1

12.385136,-72.487221,012.3852768, 18,-72.4872575, 20,15.605, 5,14.289, 1,14.870, 1,13.875, 1,13.459, 1

12.393755,-72.881355,012.3938409, 19,-72.8813656, 20,15.079, 3,14.164, 1,      ,  ,      ,  ,      ,

12.419711,-73.236916,012.4196306, 28,-73.2369364, 29,15.384, 5,14.099, 1,14.656, 0,13.676, 1,13.184, 0

12.42137,-72.301399,012.4213495, 26,-72.3014281, 20,15.230, 1,13.915, 1,14.555, 1,13.495, 1,13.040, 4

12.449533,-73.411659,012.4495039, 20,-73.4116656, 21,15.531, 2,14.333, 3,14.895, 1,13.956, 1,13.487, 1

12.482258,-73.047455,012.4822562, 17,-73.0474470, 17,14.748, 3,13.591, 1,14.155, 1,13.130, 1,12.670, 1

12.488276,-72.405502,012.4882253, 28,-72.4055123, 20,13.961, 1,13.912, 1,13.860, 1,14.031, 1,14.248, 1

12.498361,-73.07341,012.4983606, 18,-73.0734067, 18,14.028, 2,13.649, 2,13.764, 1,13.520, 1,13.460, 1

12.501577,-72.983681,012.5015648, 26,-72.9836617, 21,14.121, 1,13.807, 0,13.890, 1,13.781, 1,13.757, 1

12.549769,-73.354309,012.5497821, 20,-73.3543214, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.554437,-73.286179,012.5543774, 19,-73.2861784, 18,14.110, 2,13.588, 1,13.794, 1,13.482, 1,13.325, 1

12.56634,-73.169647,012.5662586, 18,-73.1696459, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.569629,-73.138657,012.5696224, 26,-73.1386567, 35,13.966, 3,13.880, 2,13.869, 1,13.940, 1,14.181, 1

12.575341,-72.455956,012.5753348, 20,-72.4559556, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.588534,-73.102638,012.5885324, 16,-73.1026384, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.619976,-72.752563,012.6199727, 70,-72.7525584, 14,13.302, 5,12.299, 1,12.741, 1,12.001, 1,11.718, 1

12.620275,-73.120697,012.6202798, 19,-73.1207128, 19,13.928, 1,13.826, 3,13.806, 1,13.898, 1,      ,

12.629437,-72.872421,012.6294489, 15,-72.8724100, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.638301,-72.962532,012.6383248, 17,-72.9625312, 17,13.429, 3,13.280, 1,      ,  ,      ,  ,      ,

12.669093,-72.834183,012.6690798, 17,-72.8341762, 20,13.871, 2,13.668, 1,13.705, 1,13.676, 1,13.762, 1

12.694161,-72.241043,012.6941777, 30,-72.2410798, 19,15.729, 1,14.222, 1,14.922, 1,13.713, 1,13.206, 4

12.708537,-73.394318,012.7085177, 18,-73.3943434, 19,13.656, 1,13.527, 1,13.503, 0,13.593, 0,13.723, 0

12.758097,-73.268562,012.7581409, 17,-73.2685634, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.779685,-72.998734,012.7796965, 20,-72.9987475, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.788992,-72.809959,012.7889539, 19,-72.8099806, 19,13.131, 1,12.994, 0,13.005, 1,13.063, 1,13.176, 1

12.799663,-72.471596,012.7996350, 16,-72.4716170, 17,12.669, 1,12.566, 1,12.535, 1,12.644, 1,12.754, 1

12.806897,-72.550446,012.8068892, 18,-72.5504453, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.816462,-73.159111,012.8165456, 16,-73.1591312, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.826005,-72.723526,012.8260333, 17,-72.7235334, 17,15.216, 5,13.837, 1,14.491, 1,13.392, 1,12.940, 1

12.833997,-73.136757,012.8339227, 19,-73.1367712, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.857086,-72.763344,012.8571518, 18,-72.7633356, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.858666,-72.888458,012.8586665, 18,-72.8884484, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.883954,-73.309235,012.8839650, 18,-73.3092567, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.90685,-72.433243,012.9068392, 16,-72.4332339, 20,14.760, 2,13.087, 1,13.855, 1,12.541, 1,11.994, 1

12.911544,-72.972351,012.9116000, 20,-72.9723437, 24,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.9154,-73.232407,012.9153903, 20,-73.2324212, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.921972,-72.933441,012.9219724, 21,-72.9334303, 22,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.941341,-72.59816,012.9412548, 17,-72.5981498, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.999333,-72.766563,012.9993574, 16,-72.7665737, 39,12.960, 1,12.834, 1,12.817, 1,12.899, 1,13.056, 1

13.001509,-73.0895,013.0014439, 14,-73.0895506, 15,14.677, 3,13.715, 1,14.151, 1,13.387, 1,      ,

13.033491,-72.280327,013.0334550, 18,-72.2803487, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.038654,-72.99086,013.0387015, 15,-72.9908625, 15,13.808, 2,13.717, 1,13.642, 2,14.394,86,13.854, 7

13.048194,-73.329536,013.0482668, 17,-73.3295556, 14,14.424, 2,13.346, 1,13.834, 1,12.975, 1,12.627, 1

13.050167,-72.627411,013.0501559, 23,-72.6274500, 18,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.051069,-72.727928,013.0511312, 21,-72.7279448, 21,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.068365,-73.705978,013.0683277, 20,-73.7059956, 19,16.021, 3,14.579, 1,15.233, 1,14.094, 1,13.586, 1

13.079881,-71.911369,013.0798324, 22,-71.9113887, 21,15.872, 3,14.422, 3,15.066, 1,14.042, 1,13.554, 1

13.089044,-72.665497,013.0889753, 31,-72.6655837, 32,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.104091,-72.684158,013.1040748, 51,-72.6842095, 15,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.127266,-72.319092,013.1272071, 20,-72.3191228, 20,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.1284,-73.220673,013.1284339, 16,-73.2207187, 16,12.718, 1,12.467, 1,12.538, 1,12.476, 1,12.436, 1

13.1457,-72.433815,013.1457124, 17,-72.4338698, 17,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.14854,-72.851479,013.1485583, 16,-72.8514628, 16,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.162501,-73.009697,013.1624553, 16,-73.0097223, 15,13.656, 1,13.456, 1,13.473, 1,13.480, 1,13.512, 1

13.163567,-72.740128,013.1635898, 18,-72.7401664, 18,15.114, 4,13.808, 1,14.390, 1,13.308, 1,12.814, 1

13.1687,-72.745171,013.1687465, 23,-72.7451839, 19,      ,  ,      ,  ,      ,  ,      ,  ,      ,

13.169555,-72.756119,013.1695545, 15,-72.7561387, 40,12.635, 1,12.561, 1,12.524, 1,12.637, 1,12.797, 1

13.173921,-73.065315,013.1740121, 26,-73.0653275, 27,15.561, 6,14.293, 1,14.813, 1,13.840, 1,13.437, 1

13.189993,-73.073402,013.1900309, 28,-73.0734234, 17,12.964, 1,12.849, 1,12.813, 1,12.868, 1,      ,

