ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,f_Bmag,Vmag,e_Vmag,f_Vmag,gmag,e_gmag,f_gmag,rmag,e_rmag,f_rmag,imag,e_imag,f_imag
70.940366,-68.140968                    ,070.9404609,-68.1409767,14.975, 2, ,13.426, 1, ,14.210, 1, ,12.971, 1, ,12.522, 1,

72.288057,-68.959038                    ,072.2881671,-68.9590012,13.847, 1, ,12.610, 1, ,13.289, 1, ,12.113, 1, ,11.691, 1,

72.308488,-68.96991                     ,072.3084289,-68.9698834,12.901, 1, ,12.440, 1, ,12.652, 1, ,12.347, 1, ,12.272, 1,

72.63174,-69.56562                      ,072.6317974,-69.5655948,13.417, 1, ,13.345, 1, ,      ,  , ,      ,  , ,13.515, 0,.

72.73027,-69.984634                     ,072.7303789,-69.9846689,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

72.754558,-68.86599                     ,072.7545303,-68.8659528,13.302, 1, ,13.190, 1, ,13.191, 1, ,13.272, 1, ,13.399, 1,.

72.992118,-69.426094                    ,072.9921248,-69.4260623,10.914, 1, ,10.670, 1, ,      ,  , ,      ,  , ,10.623, 3,.

73.206056,-70.268257                    ,073.2059962,-70.2682689,13.841, 1,.,13.714, 2,.,13.710, 1,.,13.761, 1,.,13.886, 2,.

73.248092,-70.298553                    ,073.2480709,-70.2985623,13.313, 1,.,13.238, 4,.,13.209, 2,.,13.306, 1,.,13.426, 4,.

73.543649,-66.599892                    ,073.5436256,-66.5998545,14.986, 1,.,13.458, 1,.,14.197, 2,.,12.992, 3,.,12.535, 4,.

73.559379,-69.21019                     ,073.5594021,-69.2101264,11.504, 1, ,10.185, 1, ,10.812, 1, , 9.811, 1, , 9.131, 1,

73.653487,-69.339485                    ,073.6534930,-69.3394873,12.852, 1, ,11.022, 1, ,11.926, 1, ,10.451, 1, , 9.896, 1,

73.791937,-66.845169                    ,073.7920362,-66.8451534,11.663, 3,.,11.549, 3,.,11.529, 0,.,11.583, 5,.,11.647, 5,.

73.796107,-67.169563                    ,073.7961924,-67.1695628, 9.751, 1, ,10.025, 1, , 9.900, 1, , 9.952, 1, , 9.818, 9,.

73.885345,-69.962517                    ,073.8852442,-69.9625264,10.595,14,.,10.076, 6,.,10.634,50,.,10.000,12,., 9.864, 5,.

73.900337,-69.449028,,,,,,,,,,,,,,,,,

73.91894,-66.428673                     ,073.9189509,-66.4287050,12.703, 4,.,11.687, 4,.,12.159, 6,.,11.370, 4,.,11.133, 4,.

74.151578,-69.557594                    ,074.1515665,-69.5575953,12.819, 4,.,12.642, 3,.,12.660, 1, ,12.664, 1, ,12.715, 2,.

74.162029,-69.570976                    ,074.1619436,-69.5709614,13.521, 2,.,12.727, 2,.,13.076, 1, ,12.523, 1, ,12.302, 1,.

74.198512,-69.607002                    ,074.1985783,-69.6069823,13.532, 1,.,13.411, 0,.,13.353, 1, ,13.449, 1, ,      ,  ,

74.205879,-69.808746                    ,074.2059389,-69.8087528,13.563, 4,.,11.963, 3,.,12.672, 2,.,11.510, 7,.,11.057, 5,.

74.210815,-66.409729                    ,074.2107698,-66.4097542,12.387, 2,.,12.347, 3,.,12.291, 8,.,12.439, 6,.,12.608, 3,.

74.286767,-66.39032                     ,074.2867603,-66.3903256,11.394, 2,.,11.311, 2,.,11.292, 3,.,11.331, 2,.,11.511, 3,.

74.288444,-66.621864                    ,074.2883768,-66.6218881,13.295, 4,.,12.433, 1,.,12.833, 1,.,12.172, 3,.,11.944, 7,.

74.464499,-69.394508                    ,074.4639045,-69.3945514,11.758, 3,.,11.531, 1,.,11.619, 0,.,11.545, 0,.,11.379, 0,.

74.545015,-69.949707                    ,074.5449609,-69.9496609,14.303,53,.,13.228,39,.,13.804,44,.,12.947,35,.,12.537,23,.

74.638712,-68.847244                    ,074.6387956,-68.8472684,12.255,11,.,12.154, 6,.,12.168, 8,.,12.215, 4,.,12.349, 8,.

74.650541,-70.110649                    ,074.6504698,-70.1106537,14.212,67,.,13.425,40,.,13.771,63,.,13.206,36,.,13.016,23,.

74.652615,-68.842278                    ,074.6526580,-68.8423100,12.604, 1, ,12.684, 1, ,12.499, 1, ,12.566, 1, ,12.718, 1,

74.787743,-65.667702                    ,074.7877727,-65.6676987,10.862, 7,.,10.007, 5,.,      ,  , ,      ,  , , 9.468, 1,

75.170337,-66.475151                    ,075.1702809,-66.4751445,11.316,19,.,10.731,11,.,10.930,20,.,10.567,11,.,10.519, 6,.

75.326556,-69.54734                     ,075.3265571,-69.5473337,14.735, 1,.,13.000, 2,.,13.857, 1, ,12.469, 1, ,11.967, 1,.

75.384327,-68.178627                    ,075.3843345,-68.1785870,11.791, 1, ,11.679, 1, ,11.672, 1, ,11.755, 1, ,11.859, 1,.

75.45873,-66.130112                     ,075.4587580,-66.1301064,12.228, 3,.,11.917, 1,.,12.020, 1,.,11.886, 0,.,11.890, 1,.

75.53078,-71.33699                      ,075.5307924,-71.3369723, 9.828,24,., 9.399,29,.,10.143,26,., 9.316,36,., 8.737,12,.

75.626004,-70.634857                    ,075.6259365,-70.6348289,12.629, 4,.,12.574, 2,.,12.513, 3,.,12.650, 3,.,12.828, 8,.

75.73228,-68.175018                     ,075.7322724,-68.1750256,13.871, 4,.,13.261, 3,.,13.520, 2,.,13.108, 4,.,12.982, 6,.

75.786776,-66.959686                    ,075.7867336,-66.9596798,10.579, 1, ,10.571, 1, ,10.531, 1, ,10.657, 1, ,10.838, 1,

75.787382,-66.448753                    ,075.7873715,-66.4487753,12.937, 4,.,12.602, 1,.,12.710, 1,.,12.553, 1,.,12.517, 3,.

75.816335,-66.624954                    ,075.8163915,-66.6249106,12.776, 5,.,12.494, 1,.,12.566, 2,.,12.483, 0,.,12.498, 1,.

75.843004,-66.369789                    ,075.8430256,-66.3698328,13.381, 5,.,12.672, 2,.,12.974, 3,.,12.487, 1,.,12.321, 2,.

75.860374,-69.148941                    ,075.8603703,-69.1489345,14.232,53,.,13.616,47,.,13.879,51,.,13.450,41,.,13.038, 1,

76.037142,-70.262787,,,,,,,,,,,,,,,,,

76.049455,-67.547256,,,,,,,,,,,,,,,,,

76.056509,-66.43293,,,,,,,,,,,,,,,,,

76.061782,-66.539909                    ,076.0617583,-66.5399325,13.173, 4,.,12.989, 1,.,13.018, 0,.,12.990, 0,.,13.072, 3,.

76.062157,-66.431305                    ,076.0621327,-66.4313456,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

76.06218,-67.251457                     ,076.0621268,-67.2514639,11.070, 6,.,11.032, 3,.,10.998, 1, ,11.050, 1, ,11.144, 1,.

76.077504,-68.926216,,,,,,,,,,,,,,,,,

76.286309,-69.403511                    ,076.2863874,-69.4035284,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

76.365399,-66.6866                      ,076.3653853,-66.6865945,13.475, 5,.,13.337, 1,.,13.349, 3,.,13.400, 1,.,13.513, 3,.

76.481297,-67.886337                    ,076.4812850,-67.8863706, 9.684,19,., 9.498,11,., 9.908, 1, , 9.579, 1, , 9.135, 1,

76.561725,-66.67942                     ,076.5616992,-66.6794242,13.866,27,.,12.778,22,.,13.269,24,.,12.498,21,.,12.240,17,.

76.734175,-69.144493                    ,076.7343000,-69.1444867,13.188,27,.,12.207, 3,.,12.536, 1, ,12.002, 1, ,11.838,12,.

76.809029,-66.055138                    ,076.8090815,-66.0551203,11.959, 4,.,11.401, 1,.,11.637, 1,.,11.270, 1,.,11.174, 2,.

77.189406,-68.761696,,,,,,,,,,,,,,,,,

77.231651,-69.272652                    ,077.2317865,-69.2726295,12.616, 1, ,12.397, 1, ,12.412, 1, ,12.404, 1, ,12.436, 1,

77.2941,-69.603386                      ,077.2942130,-69.6033856,11.621, 8,.,10.761,11,.,11.051, 1, ,10.465, 1, ,10.283, 1,

77.410685,-69.310379                    ,077.4107524,-69.3103623,12.387, 1, ,12.247, 1, ,12.222, 1, ,12.339, 1, ,12.444, 1,

77.412202,-71.400597                    ,077.4121439,-71.4006187,10.665, 5,.,10.559, 3,.,10.608, 8,.,10.626, 4,.,10.795,12,.

77.595029,-68.7733                      ,077.5949430,-68.7732845,10.471,17,.,10.423,16,.,10.580,11,.,10.457,13,.,10.578,13,.

77.614144,-69.153259                    ,077.6141612,-69.1532442,11.645, 3,.,11.411, 1,.,11.468, 1,.,11.429, 2,.,11.474, 2,.

77.812733,-65.96006                     ,077.8126883,-65.9600700,12.024, 4,.,11.955, 2,.,11.917, 2,.,12.009, 1,.,12.154, 1,.

77.818942,-68.392647                    ,077.8190145,-68.3926192,12.872, 3,.,12.643, 1,.,12.692, 1,.,12.643, 1,.,12.679, 3,.

78.072328,-67.298462                    ,078.0723498,-67.2984612,14.008, 2,.,12.281, 2,.,13.089, 4,.,11.780, 1,.,11.340, 2,.

78.184431,-67.266029                    ,078.1844383,-67.2660417,10.914, 7,.,10.448, 5,.,10.832,24,.,10.342, 6,.,10.285, 6,.

78.350803,-69.24942                     ,078.3508859,-69.2494081,13.902, 3,.,13.405, 3,.,13.578, 1, ,13.355, 1, ,13.204, 2,.

78.390618,-66.571976                    ,078.3906053,-66.5718923,13.575,14,.,12.773,17,.,13.154,15,.,12.569,16,.,12.485,14,.

78.41177,-65.466476                     ,078.4118403,-65.4664653,      ,  , ,      ,  , ,      ,  , ,      ,  , ,      ,  ,

78.548279,-69.554939                    ,078.5482962,-69.5549531,13.090, 1, ,13.004, 1, ,12.957, 1, ,13.112, 1, ,13.265, 1,

78.707893,-69.661682,,,,,,,,,,,,,,,,,

78.742711,-69.647102                    ,078.7426927,-69.6470934,12.991, 1, ,12.898, 1, ,12.835, 1, ,12.968, 1, ,12.989, 1,

