ra,dec,RAJ2000,DEJ2000,Bmag,e_Bmag,Vmag,e_Vmag,gmag,e_gmag,rmag,e_rmag,imag,e_imag
6.639692,-73.274483                     ,006.6396380,-73.2744984,13.648, 2,13.635, 1,13.589, 1,13.727, 2,13.904, 4

8.648353,-72.544128,,,,,,,,,,,,

9.27237,-73.437759                      ,009.2723224,-73.4377737,15.066, 6,13.562, 1,14.260, 1,13.063, 1,12.647, 3

9.490297,-73.511185                     ,009.4903130,-73.5111798,14.119, 2,13.303, 2,13.686, 2,13.048, 2,12.831, 5

9.800761,-72.943527                     ,009.8007298,-72.9435364,14.560, 1,12.936, 0,13.720, 2,12.431, 1,11.926, 2

10.431021,-73.72332                     ,010.4310277,-73.7233059,13.290,18,12.160,20,12.609,28,11.771,21,11.457,21

10.798535,-73.386368                    ,010.7985189,-73.3863220,12.086, 1,12.018, 1,11.980, 1,12.088, 1,12.232, 1

11.325652,-73.256996,,,,,,,,,,,,

11.593131,-73.321968                    ,011.5931400,-73.3219642,      ,  ,      ,  ,      ,  ,      ,  ,      ,

11.743508,-72.273781                    ,011.7435059,-72.2738162,14.456, 2,13.233, 1,      ,  ,      ,  ,      ,

11.800913,-73.109222                    ,011.8008889,-73.1092009,12.437, 1,12.398, 0,12.343, 1,12.475, 1,12.686, 1

11.871639,-73.027054                    ,011.8717262,-73.0270406,12.367, 0,12.084, 1,12.184, 1,12.043, 1,12.087, 1

11.959739,-73.239655                    ,011.9598009,-73.2396356,12.316, 1,12.158, 1,12.176, 1,12.201, 1,12.348, 1

11.963402,-73.287605                    ,011.9635021,-73.2876148,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.100888,-73.225922                    ,012.1009036,-73.2259098,14.971, 6,13.910, 1,14.438, 1,13.607, 1,13.218, 1

12.129686,-73.191269                    ,012.1297333,-73.1912800,14.717, 3,14.177, 1,      ,  ,      ,  ,      ,

12.201496,-72.650162                    ,012.2015424,-72.6501595,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.352271,-73.30378                     ,012.3523383,-73.3038064,13.541, 1,11.771, 1,12.607, 1,11.163, 1,10.681, 1

12.364528,-72.680344                    ,012.3645980,-72.6803817,15.578, 5,14.372, 1,14.950, 1,13.978, 1,13.535, 1

12.422279,-73.237427                    ,012.4222645,-73.2372531,      ,  ,      ,  ,      ,  ,      ,  ,      ,

12.490582,-73.66832                     ,012.4908639,-73.6683895,12.710, 2,12.733, 1,12.630, 1,12.893, 1,13.012, 1

12.525349,-73.129242                    ,012.5253274,-73.1292509,11.110, 1,10.966, 0,11.201, 1,11.012, 1,11.128, 1

12.54733,-72.189705                     ,012.5472856,-72.1897264,15.094,11,13.520, 5,14.234, 1,      ,  ,12.504, 2
