target_idx,target_ra,target_dec,n_matches_total,match_number,smash_idx,smash_ra,smash_dec,distance_arcsec,has_match
0,7.521702,-73.913918,1,1,2,7.521817569740818,-73.91388363389902,0.16910242357477925,True
1,7.746443,-73.741425,1,1,4,7.746501877050463,-73.74141393508198,0.07147189985865997,True
2,7.925977,-73.53167,2,1,17,7.926168160042167,-73.53181481076386,0.5566257063455035,True
2,7.925977,-73.53167,2,2,18,7.925978598757365,-73.5316777468076,0.027936194870222687,True
3,7.948884,-73.599243,1,1,8,7.948915729072618,-73.59924514155145,0.033160465945570955,True
4,7.980047,-73.578545,4,1,13,7.979233216131256,-73.57851756662112,0.8340743132066939,True
4,7.980047,-73.578545,4,2,14,7.980072668860171,-73.5786559440897,0.4002521542201544,True
4,7.980047,-73.578545,4,3,15,7.980067764237531,-73.578549537461,0.026709523279389514,True
4,7.980047,-73.578545,4,4,16,7.980707061066825,-73.57861818511552,0.721576500588296,True
5,7.981742,-73.585571,4,1,9,7.981183431743208,-73.58569585168644,0.7245023832221901,True
5,7.981742,-73.585571,4,2,10,7.981784905225117,-73.58558135895737,0.05740914085895014,True
5,7.981742,-73.585571,4,3,11,7.9812158355081655,-73.58548057211722,0.6264889280379856,True
5,7.981742,-73.585571,4,4,12,7.982138201711515,-73.58543140407244,0.6442103375355609,True
6,8.228736,-73.821953,1,1,5,8.22883175639301,-73.82196793923505,0.11007995364834004,True
7,8.560188,-73.619049,1,1,19,8.560171887175976,-73.61910917314471,0.21724014485639498,True
8,8.637665,-73.873337,1,1,6,8.637638961822047,-73.87335847163156,0.08156511969431048,True
9,8.763608,-73.549622,1,1,20,8.763576496904808,-73.54968611824044,0.23304922601930972,True
10,8.763859,-74.203384,1,1,1,8.763891657175002,-74.20340727360475,0.08968939699159824,True
11,8.989162,-73.734062,1,1,7,8.98919879035233,-73.73407374004566,0.05623589207340795,True
12,9.124077,-73.918602,1,1,3,9.123991771135369,-73.91863568933518,0.14809690291563818,True
13,9.380191,-74.411057,1,1,0,9.3801432121013,-74.41106480068613,0.05409274123253883,True
14,9.508638,-73.630348,1,1,26,9.508528443983582,-73.63037831698384,0.15577970347948616,True
15,9.563685,-73.017746,1,1,44,9.563710864888236,-73.01774957272347,0.030084201522495326,True
16,9.57867,-73.525597,1,1,27,9.578672814777594,-73.5255765808836,0.07356496661768981,True
17,9.818972,-72.032875,1,1,215,9.819017732148884,-72.03287107466714,0.052714772719986744,True
18,10.190774,-72.673569,1,1,52,10.19079574273977,-72.67358083207063,0.048556999478277366,True
19,10.191936,-73.717102,1,1,22,10.191908064858113,-73.71709933339058,0.029786222291041102,True
20,10.512744,-73.888428,1,1,21,10.512739647186367,-73.8884196845395,0.030249858073496557,True
21,10.598432,-73.412109,1,1,29,10.59840233001879,-73.41208142563005,0.1038456787844403,True
22,10.721161,-73.596092,1,1,28,10.721119666380664,-73.59607220575352,0.08272710080991698,True
23,10.745516,-73.29184,1,1,35,10.745483895340065,-73.29178849168134,0.18838356209482596,True
24,10.95191,-73.613548,1,1,23,10.95186355261441,-73.61354658092837,0.04744837265495993,True
25,11.004765,-72.995163,2,1,45,11.004823687468825,-72.99510327333586,0.2237177429215226,True
25,11.004765,-72.995163,2,2,46,11.005462508925408,-72.99530525967519,0.8952980468000739,True
26,11.045316,-73.212608,1,1,36,11.045343074970619,-73.21256752854191,0.14839201331215512,True
27,11.210925,-72.885483,1,1,48,11.210999694344542,-72.88546615493384,0.09969670176865636,True
28,11.399051,-73.293671,1,1,38,11.39905263748923,-73.29363746173935,0.12074963000602264,True
29,11.476636,-72.93116,2,1,49,11.476606845764113,-72.93115074882644,0.04536753528857082,True
