target_idx,ra,dec
378,69.807742,-71.735428
391,72.30168,-69.456535
411,73.033181,-66.818192
413,73.073257,-66.912819
415,73.222376,-67.095154
425,73.566326,-66.301208
426,73.573663,-67.093658
433,73.738997,-66.752464
438,73.83998,-67.436485
445,74.063274,-66.20369
446,74.073144,-66.305267
451,74.127341,-66.302498
470,74.437683,-65.708374
500,75.24744,-66.644096
509,75.744805,-65.93792
518,76.04151,-67.330482
529,76.336289,-70.741852
533,76.474828,-68.180702
562,77.286327,-68.985405
587,78.37822,-69.539902
592,78.507998,-67.451942
593,78.518418,-67.264061
594,78.546107,-69.543488
615,80.095831,-69.038193
619,80.313532,-69.444946
625,80.629679,-65.371346
704,82.910079,-67.469894
751,84.611746,-69.764206
818,86.31922,-68.99778
837,87.747479,-67.471336
838,87.893788,-67.519714
846,90.603388,-68.215889
