# ASAS-SN SkyPatrol ID: 592706391838
# ATLAS-REFCAT2: 28660815670190466
# Gaia DR2: 4660533235567625984
# TESS Input Catalog (TIC): 373846914
# AAVSO International Variable Star Index: ASAS J052616-6607.0


JD,Flux,Flux Error,Mag,Mag Error,Limit,FWHM,Filter,Quality,Camera
2456786.4760589,9.7887,0.1626,13.9830,0.0181,16.6848,1.56,V,G,bf
2456789.4891508,9.1232,0.1817,14.0594,0.0216,16.5642,1.58,V,G,bf
2456791.4703409,8.2030,0.2063,14.1749,0.0273,16.4261,1.63,V,G,bf
2456792.4582578,8.2990,0.1973,14.1622,0.0258,16.4743,1.71,V,G,bf
2456793.4695397,8.0637,0.1794,14.1934,0.0242,16.5777,1.56,V,G,bf
2456795.4641543,8.5095,0.1713,14.1350,0.0219,16.6283,1.57,V,G,bf
2456796.4641811,8.3222,0.1659,14.1592,0.0217,16.6625,1.60,V,G,bf
2456803.4459936,8.4807,0.1981,14.1387,0.0254,16.4704,1.63,V,G,bf
2456847.9534738,7.6086,0.3042,14.2565,0.0435,16.0044,1.60,V,B,bf
2456857.9441502,8.8263,0.1949,14.0953,0.0240,16.4877,2.03,V,G,bf
2456862.9267463,9.2617,0.1568,14.0431,0.0184,16.7241,1.52,V,G,bf
2456863.9241019,9.2040,0.1596,14.0498,0.0189,16.7044,1.70,V,G,bf
2456866.914218,9.5013,0.1724,14.0153,0.0197,16.6213,2.26,V,B,bf
2456873.8913941,9.7299,0.1505,13.9895,0.0168,16.7684,1.46,V,G,bf
2456876.9180026,10.5210,0.1449,13.9046,0.0150,16.8097,1.47,V,G,bf
2456877.896756,10.1219,0.1468,13.9466,0.0158,16.7957,1.46,V,G,bf
2456878.9419886,10.4266,0.1940,13.9144,0.0202,16.4931,1.57,V,G,bf
2456883.8747242,10.7125,0.1664,13.8851,0.0169,16.6593,1.55,V,B,bf
2456884.9356851,10.8392,0.2023,13.8723,0.0203,16.4472,1.49,V,G,bf
2456885.9313824,10.9048,0.1757,13.8657,0.0175,16.6003,1.57,V,G,bf
2456886.8832125,11.0069,0.1494,13.8556,0.0147,16.7768,1.57,V,G,bf
2456888.8679051,11.2111,0.1377,13.8357,0.0133,16.8653,1.55,V,G,bf
2456889.9195934,11.4109,0.1350,13.8165,0.0129,16.8864,1.57,V,G,bf
2456891.850783,11.5462,0.1327,13.8037,0.0125,16.9053,1.51,V,G,bf
2456894.8610145,12.1161,0.1284,13.7514,0.0115,16.9411,1.82,V,G,bf
2456904.8358935,12.0287,0.1228,13.7592,0.0111,16.9896,1.43,V,G,bf
2456908.8448743,12.9235,0.2389,13.6813,0.0201,16.2667,1.58,V,B,bf
2456909.9195784,12.3980,0.2478,13.7264,0.0217,16.2271,1.49,V,G,bf
2456910.9032818,12.6921,0.1600,13.7010,0.0137,16.7018,1.59,V,G,bf
2456911.8220423,12.0872,0.4274,13.7540,0.0384,15.6352,1.43,V,B,bf
2456915.8290416,12.9802,0.1449,13.6766,0.0121,16.8093,1.56,V,B,bf
2456916.8459718,12.8699,0.2069,13.6858,0.0175,16.4229,1.61,V,B,bf
2456917.824313,13.2171,0.1394,13.6569,0.0115,16.8514,1.48,V,G,bf
2456921.7901559,12.9650,0.1257,13.6779,0.0105,16.9640,1.54,V,G,bf
2456922.7875753,12.9704,0.1194,13.6774,0.0100,17.0196,1.50,V,G,bf
2456925.8078381,12.9397,0.1160,13.6800,0.0097,17.0515,1.48,V,G,bf
2456927.8730825,12.9064,0.1180,13.6828,0.0099,17.0323,1.44,V,G,bf
2456931.7327303,13.3143,0.1199,13.6490,0.0098,17.0149,1.59,V,G,bf
2456934.8174908,13.2237,0.1222,13.6564,0.0100,16.9950,1.49,V,B,bf
2456935.8102733,13.4126,0.1303,13.6410,0.0106,16.9251,1.77,V,G,bf
