ra,dec,2MASS,ra_gaia,dec_gaia,parallax,pmra,pmdec,pm,ra_error,dec_error,parallax_error,parallax_over_error,pmra_error,pmdec_error,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,astrometric_params_solved,astrometric_sigma5d_max,duplicated_source,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_flux,phot_bp_mean_flux,phot_rp_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,Separation_1,covariance,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Imag,e_Imag,uvw1_mag,uvw1_mag_err,uvw2_mag,uvw2_mag_err,uvm2_mag,uvm2_mag_err,flag,logL,logT
71.40502,-70.251076,04453720-7015038,71.40507937835866,-70.25108924776802,0.0048700530290687665,2.0121222955985933,-0.19874703066864957,2.021914005279541,0.015417984686791897,0.01425876747816801,0.015194396488368511,0.3205163776874542,0.01941794529557228,0.018615171313285828,13.548384666442871,821.3176879882812,0.12901905179023743,14.449054718017578,1.5692157745361328,31,0.027596117928624153,false,13.427241325378418,13.951288223266602,12.756789207458496,80177.11130859374,35884.055266083604,62581.02750156927,1257.413818359375,63.76350402832031,2201.40673828125,16.30051040649414,2218.2890625,28.211395263671875,1.2280946969985962,0.08655457195151414,2.1870121760946506,11.798,11.434,11.331,0.023,0.025,0.023,AAA,16.243,0.08,15.464,0.02,14.216,0.02,12.353,0.089,,,,,,,1.0,4.143879124455849,3.7359703043961425
72.30168,-69.456535,04491240-6927235,72.30168501533682,-69.45653214375068,0.005113666359709425,2.0330860146084886,-0.1978173916237366,2.042687177658081,0.014740772545337677,0.012475824914872646,0.012799804098904133,0.39951130747795105,0.018543647602200508,0.015754902735352516,-2.1357436180114746,887.595458984375,0.11002557724714279,13.23676586151123,0.9156332612037659,31,0.026872629299759865,false,10.424478530883789,10.518935203552246,10.215801239013672,1273958.3217572349,846920.452766819,649886.9460040256,1541.1097412109375,826.6499633789062,2947.23583984375,287.3609313964844,2312.091796875,281.0818176269531,1.174926519393921,0.01207780374268421,2.2789720358916434,9.981,9.896,9.822,0.023,0.024,0.021,AAA,9.916,0.119,10.571,0.061,10.539,0.095,10.166,0.059,,,,,,,2.0,5.129539734185707,3.8556271143340446
73.033181,-66.818192,04520796-6649054,73.03324265372338,-66.8182079970507,0.02418394983776788,1.825849534220571,0.012963139379751808,1.8258955478668213,0.013431104831397533,0.013244995847344398,0.013856702484190464,1.7452888488769531,0.015486102551221848,0.01680208183825016,1.6500680446624756,699.4712524414062,0.11469163745641708,11.647929191589355,1.0648647546768188,31,0.0235335323959589,false,12.959122657775879,13.222655296325684,12.47772216796875,123394.99393082998,70202.82490843376,80922.49746324764,27.937623977661133,4416.80322265625,35.6436882019043,1969.5723876953125,31.13795280456543,2598.838134765625,1.2247281074523926,0.10464412596335353,0.6657191434790058,11.598,10.971,10.769,0.023,0.026,0.023,AAA,13.316,0.161,13.451,0.036,13.124,0.038,12.19,0.159,,,,,,,1.0,4.058660195344072,3.6206747921140927
73.691707,-68.962776,04544600-6857459,73.69169821270536,-68.9627322501024,-0.05647059870963489,1.966115192617954,-0.09240524200810088,1.9682854413986206,0.015294216573238373,0.018229547888040543,0.016414053738117218,-3.4403810501098633,0.0202268585562706,0.02276013046503067,0.932027280330658,1326.4874267578125,0.17022544145584106,28.712827682495117,1.0345182418823242,31,0.032949142158031464,false,12.252942085266113,12.293926239013672,12.143782615661621,236466.59718856442,165137.81336507844,110064.01156639968,135.99630737304688,1738.772216796875,316.5533752441406,521.6744384765625,213.3929901123047,515.7808227539062,1.1638084650039673,0.15790848732438842,1.3271713775218168,12.054,11.969,11.96,0.03,0.03,0.026,AAA,11.925,0.135,12.276,0.065,12.265,0.059,11.638,0.238,,,,,,,1.0,4.4738657756147395,3.9226532586314438
74.213229,-66.530151,04565117-6631485,74.21317365123268,-66.53018238244671,-0.06723639499567584,1.7563040502220335,0.06626094467415954,1.7575535774230957,0.020785516127943993,0.020337462425231934,0.021404363214969635,-3.141247034072876,0.02609586901962757,0.027638781815767288,2.3280763626098633,1133.731689453125,0.19301119446754456,31.956438064575195,1.1003779172897339,31,0.04111776128411293,false,12.817337036132812,12.837141990661621,12.716243743896484,140608.5822981492,100129.02740866697,64962.207622397764,83.43524932861328,1685.241943359375,151.1609649658203,662.4000244140625,105.33470916748047,616.7217407226562,1.174119234085083,0.13806249681716154,0.6057360324042784,12.585,12.547,12.415,0.023,0.028,0.029,AAA,12.151,0.02,12.885,0.047,12.884,0.123,12.088,0.149,,,,,,,1.0,4.065921028266934,3.847840595360871
74.320065,-68.410988,04571681-6824395,74.32003819979315,-68.41096740110297,0.05833651009531258,1.7720108460245956,-0.10283573799101667,1.7749923467636108,0.017944898456335068,0.015561752021312714,0.01635122112929821,3.567715883255005,0.023881714791059494,0.025537336245179176,-7.64700984954834,820.9883422851562,0.14827248454093933,20.51618766784668,0.6964266896247864,31,0.03606529161334038,false,11.178644180297852,11.199395179748535,11.064395904541016,636046.8352040504,452541.99759773933,297440.2510077836,1675.7906494140625,379.55029296875,3176.119873046875,142.48265075683594,3023.227294921875,98.385009765625,1.1791305541992188,0.08221525673390517,1.4472101199012144,10.945,10.86,10.785,0.026,0.032,0.032,AAA,10.492,0.074,11.303,0.042,11.286,0.191,10.699,0.165,,,,,,,1.0,4.741861354156317,3.854886316803101
74.523225,-69.454338,04580557-6927156,74.5233427424231,-69.45430012262344,0.0011012000476231163,2.0464846338608322,-0.019275111753507504,2.0465753078460693,0.02128901332616806,0.019108271226286888,0.02031639963388443,0.05420251935720444,0.0255129411816597,0.024092916399240494,17.705371856689453,964.92138671875,0.16998296976089478,18.990198135375977,1.823824405670166,31,0.037476517260074615,false,13.168200492858887,13.755843162536621,12.472029685974121,101780.96424764399,42961.521787329955,81347.87492529994,1464.191650390625,69.51342010498047,2342.01806640625,18.34380531311035,2617.901123046875,31.073699951171875,1.2213423252105713,0.20179977679326852,1.33085240821747,11.724,11.165,11.06,0.024,0.027,0.026,AAA,13.837,0.037,14.41,0.029,13.904,0.032,12.708,0.067,,,,,,,1.0,4.0791353448546985,3.667616869673838
74.636575,-70.346024,04583277-7020456,74.63670197372006,-70.3460323360965,0.041657849196145354,2.1601460235012215,-0.01882304169702816,2.1602280139923096,0.015452397055923939,0.01805153116583824,0.016551125794649124,2.5169191360473633,0.018795223906636238,0.021588267758488655,20.278717041015625,1300.7091064453125,0.17578579485416412,27.538578033447266,1.836671233177185,31,0.030678879469633102,false,12.987265586853027,13.509121894836426,12.338971138000488,120237.62793105644,53922.24582082085,91953.79939376998,1778.8475341796875,67.5929946899414,3025.742431640625,17.8211612701416,3086.552734375,29.791748046875,1.2132312059402466,0.15664382836814483,2.2554038222160306,11.939,11.507,11.31,0.026,0.03,0.028,AAA,15.663,0.03,14.764,0.01,13.566,0.01,11.955,0.069,,,,,,,1.0,4.01123875041181,3.678974030300909
75.206093,-68.119324,05004946-6807095,75.20615502411472,-68.11937039061372,6.894717553138988E-4,1.9059818491418952,0.01922977106504601,1.906078815460205,0.01571841351687908,0.017721110954880714,0.0159106757491827,0.043333906680345535,0.02007031999528408,0.022825561463832855,3.59889817237854,899.0942993164062,0.14621755480766296,17.82457160949707,1.1449509859085083,31,0.033844370394945145,false,12.733885765075684,12.831948280334473,12.493213653564453,151842.11973912164,100609.18853940119,79776.10470508311,165.62501525878906,916.7825317382812,314.22979736328125,320.1771240234375,229.05259704589844,348.2872619628906,1.1879793405532837,0.18658919019694334,0.639132147700929,12.188,12.082,11.974,0.022,0.026,0.025,AAA,12.353,,13.044,,12.886,,12.392,0.117,,,,,,,1.0,4.153186202111131,3.8231487918617684
75.229871,-66.637321,05005516-6638143,75.22982011356484,-66.63731393610934,0.024306996980279827,1.7200410911798112,-0.0281258490176743,1.7202709913253784,0.02239544317126274,0.024502988904714584,0.023558152839541435,1.0317870378494263,0.029825283214449883,0.036227140575647354,24.263500213623047,1410.291259765625,0.22927305102348328,43.473793029785156,2.222621440887451,31,0.05084679275751114,false,13.042552947998047,13.565306663513184,12.417747497558594,114268.25416018722,51202.85410003446,85518.3276653788,1005.97509765625,113.58954620361328,1702.2476806640625,30.07955551147461,1555.3201904296875,54.9843864440918,1.196493148803711,0.07696690200049305,1.2121991786512434,11.611,11.376,11.364,0.024,0.024,0.026,AAA,15.627,0.035,14.794,0.03,13.644,0.028,11.246,0.126,,,,,,,1.0,4.344502397697145,3.8092300421967007
