scope,ra_hms,dec_dms,ra_deg,dec_deg,in_original,in_prefinal,original_star_idx,original_ra,original_dec,original_sep_arcsec,prefinal_star_idx,prefinal_ra,prefinal_dec,prefinal_sep_arcsec
magellan_drout,04:50:55.853,-69:25:52.50,72.73272083333333,-69.43125,True,False,403.0,72.732719,-69.431274,0.08643110986978836,,,,
magellan_drout,04:51:45.106,-69:30:17.83,72.93794166666666,-69.50495277777777,True,False,407.0,72.937831,-69.504936,0.15200571195473134,,,,
magellan_drout,04:52:53.379,-67:05:42.58,73.2224125,-67.09516111111111,True,False,415.0,73.222376,-67.095154,0.05719067980355743,,,,
magellan_drout,04:54:57.350,-66:45:08.83,73.73895833333333,-66.75245277777778,True,False,433.0,73.738997,-66.752464,0.06819734271737211,,,,
magellan_drout,04:55:52.810,-69:42:22.50,73.97004166666667,-69.70625,True,False,441.0,73.970039,-69.706245,0.018305360918828527,,,,
magellan_drout,04:56:39.977,-69:41:56.22,74.16657083333334,-69.69895000000001,True,False,455.0,74.166683,-69.698967,0.15288332145715305,,,,
magellan_drout,04:59:43.526,-68:31:22.68,74.93135833333334,-68.52296666666666,True,False,487.0,74.931386,-68.523003,0.13578819622655502,,,,
magellan_drout,05:00:07.56,-68:26:59.9,75.03150000000001,-68.44997222222223,True,False,491.0,75.031533,-68.449997,0.09930162051033875,,,,
magellan_drout,05:05:58.130,-70:32:05.74,76.49220833333332,-70.53492777777778,True,False,534.0,76.492217,-70.534889,0.13998662278571153,,,,
magellan_drout,05:06:08.878,-71:15:26.06,76.53699166666667,-71.25723888888889,True,False,535.0,76.536993,-71.25724,0.00428704995985452,,,,
magellan_drout,05:06:27.464,-68:30:40.46,76.61443333333334,-68.51123888888888,True,False,539.0,76.614421,-68.511215,0.0875244873645989,,,,
magellan_drout,05:07:15.979,-68:53:00.63,76.81657916666667,-68.88350833333334,True,False,548.0,76.816581,-68.883507,0.005356650243345155,,,,
magellan_drout,05:09:08.718,-68:59:07.46,77.286325,-68.98540555555556,True,False,562.0,77.286327,-68.985405,0.003265964542044682,,,,
magellan_drout,05:10:00.989,-68:54:08.71,77.50412083333335,-68.90241944444445,True,False,568.0,77.504119,-68.902481,0.22161273429715259,,,,
magellan_drout,05:11:52.090,-67:09:57.79,77.96704166666667,-67.16605277777778,True,False,579.0,77.966916,-67.166054,0.17561424437289358,,,,
magellan_drout,05:13:15.992,-67:17:47.34,78.31663333333333,-67.29648333333333,True,False,585.0,78.316665,-67.296463,0.08540620050374043,,,,
magellan_drout,05:13:53.671,-67:03:48.42,78.47362916666667,-67.06345,True,False,591.0,78.473614,-67.063515,0.23496544986966086,,,,
magellan_drout,05:14:01.920,-67:27:07.07,78.508,-67.4519638888889,True,False,592.0,78.507998,-67.451942,0.07884835163045334,,,,
magellan_drout,05:14:04.436,-67:15:50.54,78.51848333333334,-67.26403888888889,True,False,593.0,78.518418,-67.264061,0.12082712082031508,,,,
magellan_drout,05:14:18.858,-67:15:49.33,78.578575,-67.26370277777778,True,False,596.0,78.578573,-67.263702,0.0039476058078230115,,,,
magellan_drout,05:17:32.839,-69:45:07.51,79.38682916666667,-69.75208611111111,True,False,602.0,79.386792,-69.752083,0.04764111590135473,,,,
magellan_drout,05:24:44.378,-69:37:48.43,81.18490833333334,-69.63011944444443,True,False,643.0,81.184848,-69.630096,0.1133099855051833,,,,
magellan_drout,05:30:25.478,-66:57:34.08,82.60615833333334,-66.95946666666667,True,False,690.0,82.606141,-66.959465,0.025148487071282113,,,,
magellan_drout,05:31:38.421,-67:28:11.55,82.9100875,-67.469875,True,False,704.0,82.910079,-67.469894,0.06939765803483622,,,,
magellan_drout,05:32:36.580,-70:48:24.64,83.15241666666667,-70.80684444444444,True,False,712.0,83.15235,-70.806839,0.08129893473338705,,,,
magellan_drout,05:33:01.121,-69:22:29.30,83.25467083333334,-69.37480555555555,True,False,715.0,83.25456,-69.374802,0.14113070146373458,,,,
magellan_drout,05:33:44.901,-67:00:00.73,83.4370875,-67.00020277777777,True,False,720.0,83.437062,-67.000183,0.07972460837464677,,,,
magellan_drout,05:34:11.106,-69:25:44.71,83.546275,-69.42908611111112,True,False,725.0,83.546271,-69.42907,0.05822027439353089,,,,
magellan_drout,05:35:49.424,-66:42:01.75,83.95593333333333,-66.70048611111112,True,False,736.0,83.955935,-66.700485,0.0046510432441477295,,,,
magellan_drout,05:36:56.825,-69:16:18.36,84.23677083333334,-69.27176666666666,True,False,741.0,84.236771,-69.271767,0.0012186456921947247,,,,
magellan_drout,05:37:09.434,-69:19:28.34,84.28930833333334,-69.32453888888888,True,False,744.0,84.289308,-69.324539,0.0005826769088152925,,,,
magellan_drout,05:39:05.960,-69:16:26.76,84.77483333333335,-69.2741,True,False,759.0,84.77477,-69.274086,0.09513582568696165,,,,
magellan_drout,05:40:17.977,-69:28:06.82,85.07490416666667,-69.46856111111111,True,False,771.0,85.074858,-69.468552,0.06688461259195491,,,,
magellan_drout,05:41:30.097,-69:19:31.30,85.37540416666667,-69.3253611111111,True,False,785.0,85.375419,-69.325356,0.02634411572576102,,,,
magellan_drout,05:44:50.584,-67:29:40.58,86.21076666666666,-67.49460555555555,True,False,817.0,86.210766,-67.494606,0.0018449704676851155,,,,
magellan_drout,05:49:02.817,-70:02:30.12,87.2617375,-70.04169999999999,True,False,835.0,87.261889,-70.041725,0.20677830111189188,,,,
magellan_drout,00:53:42.65,-72:17:13.7,13.427708333333333,-72.28713888888889,True,False,154.0,13.427622,-72.287094,0.18723291191655883,,,,
