# index ra dec
0 7.521702 -73.913918
1 7.746443 -73.741425
2 7.925977 -73.53167
3 7.948884 -73.599243
4 7.980047 -73.578545
5 7.981742 -73.585571
6 8.228736 -73.821953
7 8.560188 -73.619049
8 8.637665 -73.873337
9 8.763608 -73.549622
10 8.763859 -74.203384
11 8.989162 -73.734062
12 9.124077 -73.918602
13 9.380191 -74.411057
14 9.508638 -73.630348
15 9.563685 -73.017746
16 9.57867 -73.525597
17 9.818972 -72.032875
18 10.190774 -72.673569
19 10.191936 -73.717102
20 10.512744 -73.888428
21 10.598432 -73.412109
22 10.721161 -73.596092
23 10.745516 -73.29184
24 10.95191 -73.613548
25 11.004765 -72.995163
26 11.045316 -73.212608
27 11.210925 -72.885483
28 11.399051 -73.293671
29 11.476636 -72.93116
30 11.510007 -73.350014
31 11.554412 -72.935364
32 11.624906 -72.593178
33 11.642234 -72.821014
34 11.666625 -73.208763
35 11.692539 -73.666313
36 11.721182 -72.714394
37 11.753848 -73.370476
38 11.760545 -72.919182
39 11.782004 -73.745392
40 11.78622 -73.236649
41 11.793363 -72.96051
42 11.805479 -72.704842
43 11.938212 -73.307259
44 11.955413 -73.095612
45 11.992086 -72.815269
46 12.00486 -73.387062
47 12.009524 -73.403946
48 12.026228 -73.110535
49 12.036872 -73.505272
50 12.078882 -73.249702
51 12.115704 -73.446945
52 12.132593 -72.986565
53 12.138712 -73.209274
54 12.144304 -73.154884
55 12.146544 -72.369522
56 12.158935 -73.246552
57 12.189284 -72.924294
58 12.257829 -72.901375
59 12.299215 -72.692955
60 12.302837 -73.392799
61 12.314714 -73.202988
62 12.319302 -73.147079
63 12.385136 -72.487221
64 12.393755 -72.881355
65 12.419711 -73.236916
66 12.42137 -72.301399
67 12.449533 -73.411659
68 12.482258 -73.047455
69 12.488276 -72.405502
70 12.498361 -73.07341
71 12.501577 -72.983681
72 12.549769 -73.354309
73 12.554437 -73.286179
74 12.56634 -73.169647
75 12.569629 -73.138657
76 12.575341 -72.455956
77 12.588534 -73.102638
78 12.619976 -72.752563
79 12.620275 -73.120697
80 12.629437 -72.872421
81 12.638301 -72.962532
82 12.669093 -72.834183
83 12.694161 -72.241043
84 12.708537 -73.394318
85 12.758097 -73.268562
86 12.779685 -72.998734
87 12.788992 -72.809959
88 12.799663 -72.471596
89 12.806897 -72.550446
90 12.816462 -73.159111
91 12.826005 -72.723526
92 12.833997 -73.136757
93 12.857086 -72.763344
94 12.858666 -72.888458
95 12.883954 -73.309235
96 12.90685 -72.433243
97 12.911544 -72.972351
98 12.9154 -73.232407
99 12.921972 -72.933441
100 12.941341 -72.59816
101 12.999333 -72.766563
102 13.001509 -73.0895
103 13.033491 -72.280327
104 13.038654 -72.99086
105 13.048194 -73.329536
106 13.050167 -72.627411
107 13.051069 -72.727928
108 13.068365 -73.705978
109 13.079881 -71.911369
110 13.089044 -72.665497
111 13.104091 -72.684158
112 13.127266 -72.319092
113 13.1284 -73.220673
114 13.1457 -72.433815
115 13.14854 -72.851479
116 13.162501 -73.009697
117 13.163567 -72.740128
118 13.1687 -72.745171
119 13.169555 -72.756119
120 13.173921 -73.065315
121 13.189993 -73.073402
122 13.201415 -72.968979
123 13.211746 -72.775291
124 13.233808 -72.232277
125 13.237359 -72.394661
126 13.241423 -72.580956
127 13.245275 -73.139763
128 13.249078 -73.441971
129 13.256099 -72.399757
130 13.256905 -72.508492
131 13.259931 -72.498817
132 13.268429 -72.562134
133 13.279305 -72.171394
134 13.309965 -72.641273
135 13.315513 -72.367493
136 13.316536 -73.259033
137 13.327935 -72.551033
138 13.329248 -71.703796
139 13.33919 -72.287971
140 13.339863 -71.844383
141 13.345563 -72.413216
142 13.348422 -72.783722
143 13.350006 -73.11042
144 13.358685 -72.489899
145 13.378453 -73.231285
146 13.378894 -72.532722
147 13.405291 -72.398819
148 13.407487 -72.422089
149 13.407679 -72.54425
150 13.412949 -72.393631
151 13.415298 -72.535828
152 13.417728 -72.409355
153 13.42474 -72.908089
154 13.427622 -72.287094
155 13.433085 -72.089363
156 13.440647 -72.894165
157 13.442446 -72.531502
158 13.446713 -73.248802
159 13.470145 -71.632614
160 13.477901 -72.437256
161 13.485679 -72.911011
162 13.495741 -72.362373
163 13.495896 -72.262009
164 13.507475 -72.317116
165 13.511337 -73.25885
166 13.525363 -73.061119
167 13.531955 -72.380341
168 13.540397 -72.374336
169 13.567612 -72.239929
170 13.59046 -72.508453
171 13.610954 -72.679138
172 13.611973 -72.883247
173 13.620808 -72.742271
174 13.627097 -72.570183
175 13.638384 -72.180771
176 13.648799 -72.665016
177 13.653195 -72.309631
178 13.65933 -72.601669
179 13.672227 -73.240891
180 13.672755 -72.237221
181 13.67278 -72.486137
182 13.673452 -73.128853
183 13.693553 -72.46489
184 13.699284 -71.76387
185 13.699347 -71.414688
186 13.70945 -73.0466
187 13.712406 -73.099899
188 13.726891 -73.15094
189 13.761648 -72.768044
190 13.767206 -72.472443
191 13.784495 -72.567459
192 13.789353 -72.515457
193 13.79491 -72.45266
194 13.802364 -72.436417
195 13.803228 -72.51178
196 13.813378 -72.33728
197 13.841566 -71.789406
198 13.863108 -71.555687
199 13.865672 -72.729294
200 13.869121 -72.487114
201 13.875625 -72.480446
202 13.89679 -72.545395
203 13.924053 -72.303223
204 13.948352 -72.658638
205 13.952626 -73.043114
206 13.972648 -72.196625
207 13.995879 -71.522568
208 13.998293 -72.175369
209 14.002332 -72.83284
210 14.004046 -72.460983
211 14.007276 -72.499931
212 14.018476 -71.629814
213 14.029873 -72.470512
214 14.037303 -72.277908
215 14.045771 -72.44059
216 14.057666 -72.04567
217 14.061519 -72.42244
218 14.087205 -72.84552
219 14.090327 -72.459961
220 14.094011 -72.476639
221 14.099992 -72.487503
222 14.10552 -72.471741
223 14.113846 -72.468483
224 14.115696 -73.507523
225 14.127534 -72.231476
226 14.128729 -71.77256
227 14.129824 -72.152824
228 14.148048 -72.254349
229 14.159138 -72.310638
230 14.19015 -72.242996
231 14.200639 -71.179138
232 14.242771 -72.521553
233 14.255295 -72.14254
234 14.264679 -72.334267
235 14.268831 -72.494507
236 14.270352 -72.241432
237 14.276385 -72.254517
238 14.299565 -72.369591
239 14.311585 -71.504509
240 14.338515 -72.110527
241 14.347047 -72.02668
242 14.37155 -72.161362
243 14.385288 -72.100685
244 14.391292 -72.070297
245 14.408075 -72.058754
246 14.44261 -72.705765
247 14.472133 -72.412888
248 14.472561 -72.083511
249 14.481763 -72.422295
250 14.487046 -73.562134
251 14.506239 -72.594238
252 14.507126 -72.326561
253 14.558781 -71.969238
254 14.596641 -72.359787
255 14.689378 -72.276627
256 14.71651 -72.348312
257 14.722887 -72.360008
258 14.727953 -72.849892
259 14.729435 -72.552078
260 14.733524 -71.976097
261 14.739664 -72.288078
262 14.775518 -71.783722
263 14.804474 -72.377014
264 14.821316 -71.810242
265 14.872271 -72.330978
266 14.916991 -72.226891
267 14.925954 -72.163506
268 15.005334 -72.48336
269 15.007992 -72.017464
270 15.026778 -72.428185
271 15.054616 -72.334679
272 15.056647 -72.352814
273 15.098814 -72.631149
274 15.138538 -72.563477
275 15.145673 -72.366623
276 15.154256 -72.690392
277 15.201425 -73.687996
278 15.210984 -72.48114
279 15.267479 -72.440582
280 15.302052 -72.268593
281 15.340866 -71.954842
282 15.444264 -72.437416
283 15.444664 -72.562927
284 15.456195 -72.095955
285 15.554542 -72.939476
286 15.61304 -72.279282
287 15.645905 -72.505547
288 15.646989 -72.192581
289 15.658785 -72.135178
290 15.664665 -71.832069
291 15.664685 -72.301323
292 15.666333 -72.190926
293 15.705051 -72.156441
294 15.727274 -72.545883
295 15.739019 -73.128609
296 15.752757 -72.503365
297 15.771704 -72.154785
298 15.781884 -72.210083
299 15.787205 -71.930763
300 15.841267 -72.84407
301 15.856523 -72.042595
302 15.898766 -72.283546
303 15.940762 -72.818794
304 15.947997 -72.071434
305 15.954565 -73.712296
306 15.977364 -72.827797
307 15.993419 -71.90551
308 15.995159 -72.385849
309 16.024857 -73.818291
310 16.029622 -72.642746
311 16.050177 -72.978088
312 16.101214 -72.178276
313 16.113623 -72.547836
314 16.180614 -71.649818
315 16.197788 -72.044441
316 16.230061 -72.513527
317 16.24057 -72.385185
318 16.264754 -72.108932
319 16.297483 -72.724457
320 16.299472 -71.72628
321 16.382862 -72.763603
322 16.445653 -71.772797
323 16.457567 -72.369637
324 16.537387 -72.402466
325 16.553088 -72.631592
326 16.562863 -72.560211
327 16.563437 -72.591248
328 16.571746 -72.462975
329 16.671322 -72.896004
330 16.791081 -73.498528
331 16.823183 -73.22393
332 16.834747 -72.852707
333 16.846935 -72.442535
334 16.875432 -72.409515
335 16.897636 -72.276939
336 16.956915 -72.214272
337 16.976536 -72.683044
338 16.982439 -72.673393
339 17.022895 -72.14518
340 17.030683 -71.81395
341 17.048329 -72.521729
342 17.051814 -71.691063
343 17.061598 -72.624634
344 17.063286 -72.503166
345 17.121713 -72.45359
346 17.226705 -73.999603
347 17.22848 -72.414505
348 17.314073 -72.275597
349 17.321614 -71.556213
350 17.334506 -71.411934
351 17.354747 -72.260063
352 17.629456 -73.466484
353 17.689535 -73.286728
354 17.793628 -73.086525
355 18.18153 -73.294205
356 18.234879 -73.533585
357 18.263969 -73.205635
358 18.325872 -73.363472
359 18.409569 -73.278755
360 18.6571 -71.876244
361 18.69335 -73.35096
362 18.752301 -73.799683
363 18.756336 -73.666168
364 18.861405 -73.337494
365 18.869048 -73.260292
366 19.104533 -73.146667
367 19.219859 -73.216873
368 19.275741 -73.647217
369 19.3377 -73.595901
370 19.345612 -73.35466
371 19.363246 -72.677254
372 19.417553 -73.202896
373 19.435629 -73.481575
374 19.470878 -73.62368
375 19.917681 -73.335297
376 19.928189 -73.5327
377 68.923506 -72.361092
378 69.807742 -71.735428
379 70.332642 -70.115997
380 70.510723 -70.524918
381 70.779561 -70.458649
382 70.956826 -69.304626
383 71.327625 -69.27739
384 71.40502 -70.251076
385 71.533928 -68.915482
386 71.888462 -69.242455
387 71.975142 -69.179344
388 72.030049 -69.468002
389 72.255617 -68.976868
390 72.268664 -68.907272
391 72.30168 -69.456535
392 72.306186 -69.787003
393 72.329389 -69.431839
394 72.47404 -69.754547
395 72.485769 -69.755859
396 72.513294 -68.259689
397 72.569551 -69.969131
398 72.572915 -69.397163
399 72.593866 -69.332047
400 72.654389 -69.99234
401 72.662716 -69.983589
402 72.667214 -69.712425
403 72.732719 -69.431274
404 72.782142 -70.277702
405 72.806542 -69.194733
406 72.810664 -68.962128
407 72.937831 -69.504936
408 72.937915 -69.77256
409 72.941734 -68.886284
410 72.976371 -69.024078
411 73.033181 -66.818192
412 73.039665 -70.505318
413 73.073257 -66.912819
414 73.080188 -69.078506
415 73.222376 -67.095154
416 73.245894 -69.880737
417 73.291444 -66.960022
418 73.297462 -68.648354
419 73.355576 -68.916763
420 73.394164 -67.078598
421 73.404957 -69.718651
422 73.422152 -69.073898
423 73.512351 -69.834541
424 73.523972 -69.765968
425 73.566326 -66.301208
426 73.573663 -67.093658
427 73.59903 -70.901611
428 73.645546 -66.646965
429 73.672778 -69.4366
430 73.678207 -69.285744
431 73.691707 -68.962776
432 73.708893 -66.939491
433 73.738997 -66.752464
434 73.764138 -68.222588
435 73.770646 -69.798615
436 73.7762 -67.475845
437 73.790355 -69.486183
438 73.83998 -67.436485
439 73.887955 -67.338417
440 73.919471 -69.87233
441 73.970039 -69.706245
442 73.974836 -66.416481
443 73.978905 -69.725128
444 74.058839 -67.413483
445 74.063274 -66.20369
446 74.073144 -66.305267
447 74.108788 -69.673508
448 74.114236 -67.933502
449 74.114566 -69.379623
450 74.118794 -69.711594
451 74.127341 -66.302498
452 74.145976 -66.875214
453 74.147677 -68.25647
454 74.163857 -67.330376
455 74.166683 -69.698967
456 74.182526 -67.488174
457 74.213229 -66.530151
458 74.227917 -67.086021
459 74.231543 -67.486946
460 74.257486 -67.995209
461 74.284954 -67.046066
462 74.286438 -66.866669
463 74.290445 -67.022011
464 74.295525 -67.340118
465 74.320065 -68.410988
