ra,dec,target,total_offsets,offset_telescopes,discard_telescopes,time_start,time_end,visual_check,discard_lc
8.637665,-73.873337,8,,,HGl,,,,
11.624906,-72.593178,32,,,,,,,1.0
12.078882,-73.249702,50,,pHk,,,,,
12.144304,-73.154884,54,,Hp,,,,,
12.619976,-72.752563,78,0,,,,,,
12.629437,-72.872421,80,,Hpl,,,,,
12.638301,-72.962532,81,,Hpl,,,,,
12.911544,-72.972351,97,,Hpl,,,,,
12.9154,-73.232407,98,,Hpl,,,,,
13.089044,-72.665497,110,,Hp,k,,,,
13.241423,-72.580956,126,,Hkl,,,,,
13.412949,-72.393631,150,,Hkl,,,,,
13.417728,-72.409355,152,,Hlk,,,,,
13.440647,-72.894165,156,,pk,,,,,
13.540397,-72.374336,168,,p,,,,,
13.567612,-72.239929,169,,pH,,,,,
13.59046,-72.508453,170,,H,o,,,,
13.610954,-72.679138,171,,o,,,,,
13.611973,-72.883247,172,,pk,,,,,
13.627097,-72.570183,174,,pko,,,,,
13.673452,-73.128853,182,,,lo,,,,
13.726891,-73.15094,188,,Hlk,,,,,
13.761648,-72.768044,189,,,G,,,,
13.802364,-72.436417,194,,po,,,,,
13.875625,-72.480446,201,,Hpo,,,,,
13.952626,-73.043114,205,,Gp,,,,,
14.004046,-72.460983,210,,Gpo,,,,,
14.029873,-72.470512,213,,Hpok,,,,,
14.057666,-72.04567,216,,GHEmokji,,,,,
14.090327,-72.459961,219,,,Hok,,,,
14.094011,-72.476639,220,,Hpok,,,,,
14.10552,-72.471741,222,,Hpok,,,,,
14.113846,-72.468483,223,,Hpok,,,,,
14.925954,-72.163506,267,,GHpk,,,,,
15.005334,-72.48336,268,,Hpok,,,,,
15.145673,-72.366623,275,,Gok,,,,,
15.210984,-72.48114,278,,Gok,,,,,
15.444664,-72.562927,283,,ok,,,,,
15.456195,-72.095955,284,,,E,,,,
15.666333,-72.190926,292,,ok,,,,,
15.727274,-72.545883,294,,,ok,,,,
15.771704,-72.154785,297,,o,,,,,
15.787205,-71.930763,299,,,n,,,,
15.856523,-72.042595,301,,oEG,,,,,
15.947997,-72.071434,304,,Eokj,,,,,
15.977364,-72.827797,306,,ok,,,,1.0,
16.029622,-72.642746,310,,o,,,,,
16.264754,-72.108932,318,,Go,,,,,
16.299472,-71.72628,320,,Fmnokji,,,,1.0,1.0
17.030683,-71.81395,340,,FEmnokji,,,,,
18.861405,-73.337494,364,,o,,,,,
70.510723,-70.524918,380,,mnji,,,,,
72.30168,-69.456535,391,,,,,,1.0,1.0
72.47404,-69.754547,394,,j,,,,,
72.654389,-69.99234,400,,j,,,,,
72.662716,-69.983589,401,,,j,,,,
72.732719,-69.431274,403,,,j,,,1,
72.782142,-70.277702,404,,j,n,,,1.0,
73.297462,-68.648354,418,,j,n,,,1.0,
73.394164,-67.078598,420,,o,,,,,
73.573663,-67.093658,426,,Goplk,,,,,
73.645546,-66.646965,428,,Goplk,,,,,
73.672778,-69.4366,429,,n,n,,,1.0,
73.678207,-69.285744,430,,j,,,,,
73.738997,-66.752464,433,,,,,,,1.0
73.83998,-67.436485,438,,,,,,,1.0
73.970039,-69.706245,441,,j,,,,,
74.114236,-67.933502,448,,npjl,,,,,
74.320065,-68.410988,465,,,,,,,1.0
74.353067,-68.844727,466,,,,,,,1.0
74.437683,-65.708374,470,,,G,,,1.0,
74.447295,-69.391327,472,,j,,,,,
74.467946,-69.392502,473,,j,,,,,
74.527298,-67.241653,477,,Gol,k,,,,
74.565514,-70.532059,479,,j,n,,,1.0,
74.952992,-67.818863,488,,npjl,G,,,,
75.031533,-68.449997,491,,,,2.45817E6,2.45825E6,,
75.158007,-67.764633,495,,n,G,,,,
75.206093,-68.119324,496,,pnjl,,,,,
75.229871,-66.637321,499,0,,,,,,
75.57528,-66.10759,508,,Hl,Hl,,,1.0,
75.936254,-69.100464,514,,j,,,,,
76.059927,-66.431381,520,,,,,,,1.0
76.209054,-68.13121,524,,n,,,,,
