filename,teff,logg,mh,alpha,carbon,vmicro,atmos
bosz2024_mp_t4000_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4000,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4000_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4000,0.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4000,1.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4000_g+1.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4000,1.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4000_g+2.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4000,2.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4000_g+2.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4000,2.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4250,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4250,0.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4250,1.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4250,1.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4250_g+2.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4250,2.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4250_g+2.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4250,2.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4500,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4500,0.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4500_g+1.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4500,1.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4500,1.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4500_g+2.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4500,2.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4500,2.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4750,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4750_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4750,0.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4750_g+1.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4750,1.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4750_g+1.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4750,1.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4750_g+2.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4750,2.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t4750_g+2.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,4750,2.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5000_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5000,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5000_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5000,0.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5000_g+1.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5000,1.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5000_g+1.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5000,1.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5000_g+2.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5000,2.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5000_g+2.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5000,2.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5250_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5250,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5250_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5250,0.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5250_g+1.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5250,1.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5250_g+1.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5250,1.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5250_g+2.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5250,2.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5250_g+2.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5250,2.5,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5500_g+0.0_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5500,0.0,-0.75,0.0,0.0,2.0,mp
bosz2024_mp_t5500_g+0.5_m-0.75_a+0.00_c+0.00_v2_rorig_resam.txt.gz,5500,0.5,-0.75,0.0,0.0,2.0,mp
