model,teff,logg,atmos,metallicity,av,lum_unscaled,J_mag,H_mag,K_mag,U_mag,B_mag,V_mag,I_mag,uvm2_mag,uvw1_mag,uvw2_mag,J_flux,H_flux,K_flux,U_flux,B_flux,V_flux,I_flux,uvm2_flux,uvw1_flux,uvw2_flux
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0,5.3908597721643755e+56,-35.70932872139432,-36.57374063511131,-36.69578427535527,-30.67729264112188,-31.91534657809688,-33.232637618907816,-34.8557232572127,-21.595385115751917,-28.447017864804828,-25.98514838322574,60136.34817471649,48275.43145413338,20420.28431460993,7627.164874495307,36248.527657342995,71484.60209063659,80871.81827567128,2.026044541716359,962.1738098921467,133.1719544243186
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.1,5.191548075200096e+56,-35.68051529450799,-36.5555200456822,-36.68398217019079,-30.522818937088164,-31.790180387551132,-33.13309314295251,-34.80358233290305,-21.399050520642344,-28.30690298271874,-25.83150897808437,58561.43105424625,47472.04363191269,20199.515024137152,6615.667244571239,32301.589589912528,65222.090347603335,77079.84593432953,1.6908892024539097,845.6829572887441,115.59978102360947
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.2,5.003965343494344e+56,-35.651707607570295,-36.537301215075956,-36.672180616773474,-30.368370748310497,-31.665137389848358,-33.03360030983892,-34.7515117535398,-21.2031282693965,-28.167343397362078,-25.678005233009245,57028.06109195901,46682.10121360092,19981.142684944705,5738.447033370758,28787.681942854,59511.04554933166,73470.43415061964,1.411712468065467,743.6759627775506,100.3588123896736
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.3,4.827227455313027e+56,-35.62290565551576,-36.51908414302421,-36.66037961503412,-30.213948061249383,-31.54021736309315,-32.934159194952606,-34.69951140798433,-21.00760117279654,-28.02833990893336,-25.52463559385526,55535.13415909479,45905.3779161539,19765.141162135784,4977.660846495347,25658.938456814576,54302.66382569774,70034.57023463446,1.17905865800835,654.3081788349897,87.13801404126951
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.4,4.6605270487929095e+56,-35.59410943325909,-36.50086882925564,-36.64857916490326,-30.059550862379673,-31.41542007522323,-32.8347698734801,-34.64758118224621,-20.812453052248333,-27.88989307887469,-25.371398558432553,54081.57568690455,45141.65128588525,19551.484606977043,4317.838784649486,22872.823037718932,49552.48125428934,66763.69702931703,0.9850905740740324,575.9749781850189,75.66810251545647
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.5,4.5031262256399485e+56,-35.56531893569529,-36.482655273495965,-36.63677926631115,-29.905179138186824,-31.29074528414386,-32.735432420415925,-34.595720959518374,-20.617668676131878,-27.752003224866,-25.21829267183472,52666.33986941435,44390.70263331062,19340.147453750553,3745.5684083397887,20391.531920153597,45219.986117439366,63649.68937975856,0.8233081471679399,507.2799243053691,65.71590436439176
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.6,4.3543499952668864e+56,-35.536534157699734,-36.46444347546796,-36.624979919187794,-29.750832875163166,-31.16619273786586,-32.63614691056995,-34.543930620212805,-20.423233699374737,-27.61467041657076,-25.065316522279616,51288.40888784736,43652.316969106505,19131.1044166437,3249.220825574407,18181.463356678978,41268.2659583649,60684.83184241706,0.6883168835056225,447.00723461840556,57.079482773533215
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.7,4.21358038029689e+56,-35.507755094128306,-36.446233434891454,-36.61318112346291,-29.59651205980418,-31.04176217464703,-32.53691341857468,-34.49221004199674,-20.22913460625565,-27.477894472144012,-24.912468737403394,49946.79215611213,42926.28294116676,18924.330486670595,2818.7132825203917,16212.747154017874,37663.686299551664,57861.79756772817,0.575637111291935,394.09794864524196,49.58392650219632
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.8,4.080251113161859e+56,-35.4789817398175,-36.42802515148333,-36.60138287906595,-29.44221667860479,-30.91745332313691,-32.437732018892824,-34.44055909982935,-20.03535865640824,-27.34167495551073,-24.75974798095546,48640.525586782445,42212.39277273157,18719.80092862947,2445.303387656804,14458.827256071141,34375.598170506084,55173.62829321021,0.4815466935099957,347.6292949752517,43.07771042743929
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.9,3.953842861311718e+56,-35.4502140895845,-36.409818624957516,-36.58958518592612,-29.287946718055657,-30.793265902524645,-32.33860278582493,-34.38897766599889,-19.84189383396502,-27.206011174419004,-24.607152949848192,47368.67087700428,41510.44220157706,18517.49127809269,2121.4107501963376,12896.091351443525,31376.071850128686,52613.715387597425,0.4029512210990818,306.79682101039816,37.42954951046879
