Star_Index,RA,DEC,Offset_MCPS_APASS_4380A,Offset_MCPS_APASS_5450A,Offset_SMASH_APASS_4600A,Offset_SMASH_APASS_5600A,Offset_MCPS_SMASH_4600A,Offset_MCPS_SMASH_5600A,choose_MCPS,choose_APASS,choose_SMASH
0,7.521702,-73.913918,-0.0659174698823275,0.015010257595227117,,,,,1,1,0
1,7.746443,-73.741425,-0.11667380555638474,0.13932368907406456,-0.28571824500870235,,0.0467583173658781,,1,1,0
2,7.925977,-73.53167,-0.10350824890789667,0.007732339563085944,-0.41358115605678236,,0.05798893163778018,,1,1,0
3,7.948884,-73.599243,-0.5317061579553108,-0.16551401171592772,-0.9152745977326742,-0.41737834093876636,0.1945485376084104,0.20966431858334822,1,1,1
4,7.980047,-73.578545,-0.125755762472334,-0.02350535877909188,-0.5160374552281652,,0.11633690685558129,,1,1,0
5,7.981742,-73.585571,0.5186754423180862,0.6649270963581628,0.2505765611708455,,0.002796011414655908,,0,1,0
6,8.228736,-73.821953,0.033502837667338525,-0.3887747931559744,-0.6416142482828455,,0.42469440720039664,,1,1,0
7,8.560188,-73.619049,-0.20162058525951565,-0.08290472183631614,-0.5241642806625393,,0.05378364078462994,,1,1,0
8,8.637665,-73.873337,-0.02692301281334153,0.024258998778256213,,,,,1,1,0
9,8.763608,-73.549622,-0.13457144112197916,0.09680064463799276,-0.5765657759820559,-0.18614847617755537,0.2039852685875676,0.2439091868562997,1,1,1
10,8.763859,-74.203384,-0.16901029781653065,-0.03045203191528323,-0.6761149569119684,,0.22337445346393103,,1,1,0
11,8.989162,-73.734062,-0.16809772638965903,0.0172561854963611,-0.42354695207433757,,0.008558872853775767,,1,1,0
12,9.124077,-73.918602,-0.09559889963820112,-0.02836917812262918,-0.3547928879621267,-0.08669094535068744,0.1564825412051718,0.05250235941667647,1,1,1
13,9.380191,-74.411057,-0.04299502474778194,-0.034798241570342725,-0.62246553122643,-0.26026303947566554,0.2635808103987589,0.17305452366606033,1,1,1
14,9.508638,-73.630348,-0.13392537640377533,-0.11850064816645478,,,,,1,1,0
15,9.563685,-73.017746,-15.685368899014138,-14.102435495013898,-15.537748283692718,,0.14435536667182447,,1,1,0
16,9.57867,-73.525597,0.13056593597493915,0.21045769352817167,-0.5299153455706236,,0.4398435668626792,,0,1,0
17,9.818972,-72.032875,-0.789743784379894,0.004063412433810143,,,,,1,1,0
18,10.190774,-72.673569,-0.10916450870790229,-0.05389674393972044,-0.4471403941888461,,0.06465157971224222,,1,1,0
19,10.191936,-73.717102,-0.5411315727574681,-0.06398478917375527,-0.38458853685588856,,-0.3015093717540349,,1,1,0
20,10.512744,-73.888428,-0.206982048512657,0.025738809648881755,-0.6342492700771434,-0.24158797761031003,0.1865741733798707,0.21597654351124795,1,1,1
21,10.598432,-73.412109,-0.11622291732590107,-0.021827930826813002,-0.5400774207804186,,0.13038316074233336,,1,1,0
22,10.721161,-73.596092,-0.13903344443248145,-0.04129707112703329,,,,,1,1,0
23,10.745516,-73.29184,-0.17718938878991963,-0.08181861417304681,-0.4025441593004331,,0.08051535501090079,,1,1,0
24,10.95191,-73.613548,-0.5099859053112219,-0.12768174768624618,-0.5990129659578276,,-0.06761280952678561,,1,1,0
25,11.004765,-72.995163,-0.1180067873070314,0.03201929127463288,-0.5879290906984025,,0.18961476309916314,,1,1,0
26,11.045316,-73.212608,-0.07236812439266238,0.04947744919067176,-0.45324461049858655,,0.1532525731000831,,1,1,0
27,11.210925,-72.885483,-16.24561747386444,-14.572544574249585,-16.253041101006314,-14.859580337229861,0.31836966901535746,0.33542031715735554,1,1,1
28,11.399051,-73.293671,-15.839047538535096,-14.13457089138399,-15.733037817253138,,0.21147045232805084,,1,1,0
29,11.476636,-72.93116,-16.03624518164887,-14.536958129218824,-15.995578504282218,-14.863582934779435,0.23423625073437648,0.3697389055842546,1,1,1
30,11.510007,-73.350014,-0.1478991015846809,0.012020859236844927,-0.7232314406705758,-0.404582457344393,0.29310216465749406,0.361665903624786,1,1,1
31,11.554412,-72.935364,-0.0910705414146964,-0.02182450729206309,,,,,1,1,0
32,11.624906,-72.593178,-18.23801409182851,-16.165563116665556,-18.60929666726723,-16.988675423396185,0.7642214316834632,0.9349818768468374,1,1,1
33,11.642234,-72.821014,-0.1287587796280949,-0.08359260426204251,,,,,1,1,0
34,11.666625,-73.208763,-0.3293052852669405,-0.10515792831304971,,,,,1,1,0
35,11.692539,-73.666313,-0.23431589334705905,-0.012511309998139097,-0.49211055900092227,,0.05797188883718363,,1,1,0
36,11.721182,-72.714394,0.1963570334980087,0.47667224189506463,,,,,0,1,0
37,11.753848,-73.370476,-13.868676194822521,-13.290112374649501,,,,,1,1,0
38,11.760545,-72.919182,-0.1097220221356352,0.01374653614971777,,,,,1,1,0
39,11.782004,-73.745392,-1.2568128214759255,-0.6506043096500136,-11.803449938133827,,0.1074277036842517,,1,1,0
40,11.78622,-73.236649,-0.02288629737671677,0.024764073318465307,,,,,1,1,0
41,11.793363,-72.96051,-0.8949138895729707,-0.08635738489200762,-0.5320675326667548,,-0.3939086497281039,,1,1,0
42,11.805479,-72.704842,-0.24494973664805286,0.012456361496997914,-0.7175891482179448,-0.2608300883640098,0.2526331605106318,0.22058915099649923,1,1,1
43,11.938212,-73.307259,-13.960960496618931,-13.801800430842123,-13.988412412801805,-13.780969688353117,0.02454885625995118,-0.02668395287275338,1,1,1
44,11.955413,-73.095612,-13.871444913385398,-13.60334176078533,,,,,1,1,0
45,11.992086,-72.815269,-0.08909612817269341,-0.007059341550162301,-0.3468379217840347,,0.13696354807948552,,1,1,0
46,12.00486,-73.387062,-15.779661373265634,-14.249465622846365,-15.742005270100307,,0.2435701782291133,,1,1,0
47,12.009524,-73.403946,-16.090268367277613,-14.296525776296438,-15.86449822968213,,0.1102585390085391,,1,1,0
48,12.026228,-73.110535,-0.1263439819876453,-0.07102567896273904,,,,,1,1,0
49,12.036872,-73.505272,-0.12263019907208772,-0.023251612952359224,,,,,1,1,0
50,12.078882,-73.249702,-0.07575319540200809,-0.01381996372032468,,,,,1,1,0
51,12.115704,-73.446945,-0.10864978404110559,-0.036081045917438104,,,,,1,1,0
52,12.132593,-72.986565,-0.052852698066157444,0.011743558183557212,-0.38998461148915275,,0.0011267361466860137,,1,1,0
53,12.138712,-73.209274,-16.003589727756655,-14.332548333840215,-15.874438979084898,,0.1813737363154999,,1,1,0
54,12.144304,-73.154884,-15.867607021169828,-14.415014523078266,-15.776263191232816,,0.17386328978078325,,1,1,0
55,12.146544,-72.369522,-0.09577927627450755,0.011928094346195905,-0.6433291808122661,,0.246657033666013,,1,1,0
56,12.158935,-73.246552,-0.11145229935588574,-0.19697418722688376,,,,,1,1,0
57,12.189284,-72.924294,-15.75593769422372,-14.132172374777268,-15.663115193878575,,0.2077953978157634,,1,1,0
58,12.257829,-72.901375,-15.888690259493181,-14.429469382436993,-15.690495604739569,,0.06827713562286597,,1,1,0
59,12.299215,-72.692955,-0.01603127148408845,-0.021903111544046894,-0.5384185313665544,,0.19493630517838767,,1,1,0
60,12.302837,-73.392799,-0.18932689585816753,-0.08528610185093832,,,,,1,1,0
61,12.314714,-73.202988,-0.09615555602072057,-0.021068960973726902,,,,,1,1,0
62,12.319302,-73.147079,-0.07846503756780088,0.15564499391664732,-0.167113723697625,0.09547976977262884,0.02056104153009919,0.057040975691792895,1,1,1
63,12.385136,-72.487221,-0.12894384971026085,-0.03573941342544806,-0.6175771612283718,-0.2492804522281098,0.2017797842915776,0.1674118057316054,1,1,1
64,12.393755,-72.881355,-1.1684182583520482,-0.3864137507163026,-11.972254869843194,,0.10059398652956375,,1,1,0
65,12.419711,-73.236916,-1.2644054737099086,-0.8699948518479346,-1.871962098983067,-1.2240136682673004,0.3820760622918371,0.31014760236013217,1,1,1
66,12.42137,-72.301399,-0.24416950486546085,-0.05534654059336219,-0.6023144929517432,,0.13477709108812697,,1,1,0
67,12.449533,-73.411659,-0.5919838736504737,-0.20391453512746338,-0.8989240826363343,,0.12966479798345887,,1,1,0
68,12.482258,-73.047455,-0.5515475570905402,0.025565683656319393,-1.0624967138567687,,0.39616754922390207,,1,1,0
69,12.488276,-72.405502,-0.07243255068052967,-0.03560645103554805,-0.3907284509183615,-0.12022891932284097,0.22627993362208976,0.09492971543642525,1,1,1
70,12.498361,-73.07341,-0.06857263237916911,0.04996419384230322,-0.3259826685294147,,0.13021882597695367,,1,1,0
71,12.501577,-72.983681,-0.1337358531336914,-0.0025468254962071057,-0.34106285320754814,-0.09414102333225216,0.09361671886150624,0.08416274813297164,1,1,1
72,12.549769,-73.354309,-14.002792879852464,-13.783330533120877,-14.140155984162266,-13.951026603383681,0.1471067509737054,0.15508709591874137,1,1,1
73,12.554437,-73.286179,-0.25074621491731897,-0.0965228091976904,-0.628563957087005,-0.3524580116841083,0.24882018340325907,0.24673267838578994,1,1,1
74,12.56634,-73.169647,-14.146569770870427,-13.869977131601708,-14.155084987210433,-13.885420895111476,0.030062455818280043,0.007338631805916762,1,1,1
75,12.569629,-73.138657,-0.07188939108409365,0.04547923556782152,0.031684796997700104,0.2033890720953302,-0.16843913663440624,-0.15780826317929986,1,1,0
76,12.575341,-72.455956,-16.010479883445278,-14.420074625420902,-15.800897189568452,,0.08407951566132965,,1,1,0
77,12.588534,-73.102638,-15.467281100211745,-13.599901735359381,-15.275639632249312,,0.15977403498889586,,1,1,0
78,12.619976,-72.752563,0.8822258873456477,0.6079771988012723,,,,,0,1,0
79,12.620275,-73.120697,-0.14847679484926601,0.00679183169151365,-0.23881517907670613,-0.09881592195104716,0.018237057810209123,0.11478361246273039,1,1,1
80,12.629437,-72.872421,-13.639924769672822,-12.969213832489062,,,,,1,1,0
81,12.638301,-72.962532,-0.49028131284455334,-0.22477608708026509,-10.382958568955766,-2.3767546820410246,0.1324343726096373,-0.16879346219105074,1,1,1
82,12.669093,-72.834183,-0.05781947376339858,0.05895256761392709,,,,,1,1,0
83,12.694161,-72.241043,-0.19115592244618185,-0.007863712011099366,-0.5418469032665314,,0.06791912845749515,,1,1,0
84,12.708537,-73.394318,-0.1544535296258669,-0.032356636514963455,,,,,1,1,0
85,12.758097,-73.268562,-16.14907300440336,-14.296642323605951,-15.77359981628815,,-0.02721936181058915,,1,1,0
86,12.779685,-72.998734,-15.797604740930307,-14.198702477056022,-15.842378543763743,-14.431238621402413,0.3403330183596154,0.27890834330125003,1,1,1
87,12.788992,-72.809959,-0.09690782989480695,-0.027647795437115263,,,,,1,1,0
88,12.799663,-72.471596,-0.08835256824936444,-0.04636080371349394,,,,,1,1,0
89,12.806897,-72.550446,-15.547785090630907,-13.93543930571196,-15.357677277054355,,0.10819152171010593,,1,1,0
90,12.816462,-73.159111,-13.890485392427314,-13.548022297796697,-13.893731059135531,-13.62526456367372,0.03870428343200061,0.055817259130847674,1,1,1
91,12.826005,-72.723526,-0.05415236988084082,0.017906167194615463,-0.46020310864507863,,0.13490709202487317,,1,1,0
92,12.833997,-73.136757,-16.17845213733749,-14.590747592143577,-16.179929376929927,-14.826600680751211,0.2947178922443623,0.28165032892757225,1,1,1
93,12.857086,-72.763344,-15.54412374452312,-14.273398001322468,-15.586548921580759,-14.376785012212286,0.2699029554580701,0.14089526422298704,1,1,1
94,12.858666,-72.888458,-14.195688927756654,-13.54263114704893,-14.291773060258334,-13.574953967327634,0.1954086174889369,0.054115537590714524,1,1,1
95,12.883954,-73.309235,-16.131603600810546,-14.459450584483848,-15.999011958274798,-14.582178701688298,0.17814362089462144,0.17231050187094787,1,1,1
96,12.90685,-72.433243,-0.03570212537333184,0.06676150090882693,-0.706377435654554,,0.3340663896231959,,1,1,0
97,12.911544,-72.972351,-15.910798963684796,-14.297582170155879,-15.803520945007655,,0.19123209505263006,,1,1,0
98,12.9154,-73.232407,-16.162923821169827,-14.540537055068327,-16.16951523171038,-14.668821623593946,0.30699853025834933,0.17676494914185348,1,1,1
99,12.921972,-72.933441,-16.16860588105007,-14.642792707231127,-16.224908591799274,-14.890220063329847,0.3366858783711919,0.29264963778373776,1,1,1
100,12.941341,-72.59816,-14.024179045121924,-13.62908610862253,-14.10307352452087,-13.562114952564208,0.12489201827841612,-0.06372085472249545,1,1,1
101,12.999333,-72.766563,-0.08808052165272962,-0.038371267269578624,,,,,1,1,0
102,13.001509,-73.0895,-0.17998606977831777,-0.016467217140709423,-0.3898181020695919,,0.018615606048880906,,1,1,0
103,13.033491,-72.280327,-15.664452137337493,-14.075397899107601,-15.538402303097811,,0.16719081841224437,,1,1,0
104,13.038654,-72.99086,-0.10450153364363679,0.024851902799454706,-0.3444226611238488,-0.12540382481989454,0.12820530895538518,0.27035070809578343,1,1,1
105,13.048194,-73.329536,-0.09329901374051452,0.03836136059649675,-0.439444825867497,,0.12499692920984629,,1,1,0
106,13.050167,-72.627411,-15.450702992427313,-13.917991965534489,-15.440220480719045,,0.27137610501551457,,1,1,0
107,13.051069,-72.727928,-16.016648640331503,-14.560706236646652,-16.065440978844617,-14.539665527404132,0.31463179356024895,0.025283576492762805,1,1,1
108,13.068365,-73.705978,-0.16656826406369518,0.008902458711421701,-0.6614870989724118,,0.2118544381062062,,1,1,0
109,13.079881,-71.911369,0.00015389859065706446,0.06921924217298603,-0.6204568946216682,-0.20333153354456002,0.3039991504550681,0.23895038971076588,1,1,1
110,13.089044,-72.665497,-16.10374575170875,-14.640202451502304,-16.172428446346345,-14.839883178525259,0.3359975987865269,0.25242538418151383,1,1,1
111,13.104091,-72.684158,-12.852017128954259,-12.76225534130829,,,,,1,1,0
112,13.127266,-72.319092,-15.702398925361443,-14.264326517993075,-15.652883210752503,-14.463330460075058,0.21252972846214746,0.2501674629945114,1,1,1
113,13.1284,-73.220673,-0.1135818976203975,-0.022638828596472038,,,,,1,1,0
114,13.1457,-72.433815,-14.669913368475216,-13.2673039604493,-14.875179391426627,,0.4599342205135173,,1,1,0
115,13.14854,-72.851479,-14.692410518175816,-13.106191121622983,-14.735086152922122,,0.3352839520688917,,1,1,0
116,13.162501,-73.009697,-0.07499216552132104,0.0146049835976374,,,,,1,1,0
