ra;dec;_r;Source;RA_ICRS;DE_ICRS;E(BP/RP)corr;FU;e_FU;Umag;UFlag;FB;e_FB;Bmag;BFlag;FV;e_FV;Vmag;VFlag;FR;e_FR;Rmag;RFlag;FI;e_FI;Imag;IFlag;Fu;e_Fu;umag;uFlag;Fg;e_Fg;gmag;gFlag;Fr;e_Fr;rmag;rFlag;Fi;e_Fi;imag;iFlag;Umag_GAIA;e_Umag_GAIA;Bmag_GAIA;e_Bmag_GAIA;Vmag_GAIA;e_Vmag_GAIA;Imag_GAIA;e_Imag_GAIA;gmag_GAIA;e_gmag_GAIA;gmag_GAIA_fluxergs;e_gmag_GAIA_fluxergs;rmag_GAIA;e_rmag_GAIA;rmag_GAIA_fluxergs;e_rmag_GAIA_fluxergs;imag_GAIA;e_imag_GAIA;imag_GAIA_fluxergs;e_imag_GAIA_fluxergs
7.980047;-73.578545;0.041;4.688456913879215e+18;7.98003768557;-73.57855596015;-0.0116;            ;            ;         ;0.0; 2.31908e-17; 1.37197e-19;16.115710;1.0; 5.42882e-17; 1.30693e-19;14.577137;1.0;6.634e-17;9.81093e-20;13.818761;1.0;6.53952e-17;7.65847e-20;13.139935;1.0;            ;            ;         ;0.0; 2.59517e-29; 1.01149e-31;15.343886;0.0;8.30645e-29;1.44983e-31;14.093561;0.0;1.26923e-28;1.59049e-31;13.621849;0.0;;;16.156026959355838;0.0064232260242941;14.54894431825368;0.002613793085946;12.87490508108429;0.0012715119996657;15.461133366250424;0.0042317509594777996;3.567157627795265e-15;1.3903306022105034e-17;13.943733787647544;0.0018950730116288892;6.6075664963263466e-15;1.1533023293186412e-17;13.265747811458704;0.0013605513392417113;6.84588558486561e-15;8.578675704066957e-18
7.981742;-73.585571;0.061;4.688456913879217e+18;7.98175316798;-73.58558759663;-0.0104;            ;            ;         ;0.0; 4.34671e-17; 2.90050e-19;15.433599;1.0; 1.00031e-16; 2.61059e-19;13.913566;1.0;1.23674e-16;2.0278600000000001e-19;13.142505;1.0;1.22771e-16;1.70243e-19;12.456058;1.0;            ;            ;         ;0.0; 4.77393e-29; 2.22776e-31;14.682109;0.0;1.54264e-28;2.88847e-31;13.421435;0.0;2.38044e-28;3.5556099999999996e-31;12.939056;0.0;;;15.473914619934872;0.00724496886588;13.885371397846626;0.0028335336833376;12.191030278678296;0.0015055590384263;14.799357779934788;0.005066600657135672;6.561944232578463e-15;3.0621389261193596e-17;13.271610955072394;0.0020329541923959664;1.2271302878958973e-14;2.2977033025713465e-17;12.582955534774644;0.0016217398913646434;1.2839453748837873e-14;1.91780049671092e-17
8.228736;-73.821953;0.121;4.688810475608636e+18;8.22883142648;-73.82197362605;0.0081;            ;            ;         ;0.0; 7.66578e-17; 1.91737e-18;14.817609;1.0; 6.80670e-17; 7.13071e-19;14.331558;1.0;6.34484e-17;6.37979e-19;13.867149;1.0;4.85241e-17;4.3276300000000003e-19;13.463906;1.0;            ;            ;         ;0.0; 5.59926e-29; 9.30051e-31;14.508973;0.0;8.49367e-29;9.69246e-31;14.069362;0.0;1.01457e-28;8.97214e-31;13.864995;0.0;;;14.857925407397977;0.0271565062774707;14.303366399322671;0.0113741901547458;13.198876039247462;0.0096831565589004;14.626221310858165;0.018034348163355567;7.696390995198356e-15;1.278389669612632e-16;13.919533966752004;0.012389761710980031;6.756495172167677e-15;7.71010166352452e-17;13.508893592102243;0.0096014836158753;5.47231797060982e-15;4.8393312395228706e-17
8.560188;-73.619049;0.201;4.688816454219375e+18;8.56017226177;-73.61910464439;-0.0069;            ;            ;         ;0.0; 3.26448e-17; 1.79194e-19;15.744465;1.0; 6.82022e-17; 1.42956e-19;14.329404;1.0;7.971e-17;1.13959e-19;13.619418;1.0;7.67643e-17;9.02218e-20;12.965902;1.0;            ;            ;         ;0.0; 3.48165e-29; 1.23059e-31;15.024838;0.0;1.00674e-28;1.66205e-31;13.884803;0.0;1.4984200000000002e-28;1.87376e-31;13.441615;0.0;;;15.784781255074352;0.0059598286243269;14.301211964086404;0.0022757697682391;12.700871526858917;0.0012760759196455;15.142085120026852;0.003837537133868442;4.785657338368348e-15;1.691491696185057e-17;13.734979114603416;0.0017924666340050548;8.008356752296812e-15;1.322117859641508e-17;13.085514730442199;0.0013577028276635338;8.0820748627706e-15;1.0106557970972783e-17
8.637665;-73.873337;0.057;4.685807022156621e+18;8.63763834166;-73.87335106568;-0.0048; 2.15377e-16; 1.95734e-18;13.318101;1.0; 3.06748e-16; 6.42739e-19;13.312047;0.0; 1.86058e-16; 3.52098e-19;13.239779;1.0;1.21893e-16;2.12721e-19;13.158257;1.0;7.17114e-17;1.08682e-19;13.039829;1.0; 9.72239e-29; 9.14918e-31;14.243068;0.0; 1.95552e-28; 3.51621e-31;13.151144;0.0;1.76054e-28;3.0009e-31;13.277987;0.0;1.55385e-28;2.36002e-31;13.40218;0.0;13.026299761319644;0.0098671394950309;13.352361936118903;0.0022749781661495;13.211587053239624;0.0020546579358207;12.774799258948464;0.0016454842912775;13.26839224150988;0.001952256433343858;2.6879349269243236e-14;4.833161342967893e-17;13.128157683632388;0.001850674098207749;1.4004641115569692e-14;2.3871384645457125e-17;13.046075902892241;0.0016490389406656244;8.381049389033846e-15;1.272931375557979e-17
8.763608;-73.549622;0.238;4.68881837402803e+18;8.76356185376;-73.54968666587;-0.0093;            ;            ;         ;0.0; 4.75527e-17; 3.22917e-19;15.336061;1.0; 1.01549e-16; 2.59386e-19;13.897210;1.0;1.19443e-16;1.84306e-19;13.1803;1.0;1.14945e-16;1.4594900000000001e-19;12.527575;1.0;            ;            ;         ;0.0; 5.11450e-29; 2.35146e-31;14.607293;0.0;1.5067500000000002e-28;2.59763e-31;13.446995;0.0;2.24692e-28;2.97511e-31;13.001733;0.0;;;15.376378333559224;0.0073729289405623;13.869018796253435;0.0027732894583638;12.2625445503787;0.0013785907464286;14.724539939247759;0.0049918178825702425;7.030070356608192e-15;3.2321691740639156e-17;13.297169425332429;0.001871804172932377;1.1985807196022035e-14;2.0663475922749437e-17;12.645629608339162;0.001437605540089526;1.2119282744929001e-14;1.6046943944272925e-17
8.763859;-74.203384;0.106;4.685737718559361e+18;8.76390190493;-74.20341111393;-0.0112;            ;            ;         ;0.0; 6.66721e-17; 6.02458e-19;14.969140;1.0; 1.54049e-16; 4.98522e-19;13.444753;1.0;1.93572e-16;3.89703e-19;12.656094;1.0;1.93199e-16;3.76611e-19;11.963789;1.0;            ;            ;         ;0.0; 7.30511e-29; 4.30878e-31;14.220233;0.0;2.40366e-28;5.57292e-31;12.939918;0.0;3.76317e-28;7.5868999999999995e-31;12.441816;0.0;;;15.009455949372956;0.0098108573518184;13.416560715248533;0.0035135793433805;11.698757576478087;0.0021164716060133;14.33748099684604;0.006404008213891005;1.0041145226857381e-14;5.922578267894465e-17;12.790089834916579;0.0025172948795672743;1.9120494657235987e-14;4.4331139630897704e-17;12.085714038511222;0.0021889449617953616;2.0297527836876467e-14;4.0921700041613334e-17
8.989162;-73.734062;0.066;4.685810251971898e+18;8.98920059659;-73.73407689791;-0.0054;            ;            ;         ;0.0; 3.83165e-17; 1.92190e-19;15.570535;1.0; 7.56684e-17; 1.82206e-19;14.216615;1.0;8.97461e-17;1.50477e-19;13.490662;1.0;8.75913e-17;1.03609e-19;12.822647;1.0;            ;            ;         ;0.0; 3.91385e-29; 1.40870e-31;14.897790;0.0;1.12738e-28;2.17645e-31;13.76192;0.0;1.70584e-28;2.1586199999999993e-31;13.300853;0.0;;;15.610851706070472;0.0054458951415829;14.18842154652232;0.0026144024576198;12.557617331809883;0.0012842832842849;15.015037453818184;0.003907856948127233;5.3797323032967e-15;1.9363105115561563e-17;13.612096610529804;0.002096055068251903;8.968016802157838e-15;1.7313097774536027e-17;12.944752898446385;0.0013739224583284436;9.200842610155097e-15;1.1643016270654333e-17
9.124077;-73.918602;0.141;4.68579275861338e+18;9.12400224301;-73.91863514955;-0.0056; 9.72572e-17; 1.06179e-18;14.181295;1.0; 1.59883e-16; 3.67397e-19;14.019493;0.0; 1.05394e-16; 2.01829e-19;13.856862;1.0;7.28779e-17;1.21516e-19;13.71671;1.0;4.49654e-17;7.129839999999999e-20;13.546604;1.0; 4.39187e-29; 5.18104e-31;15.105877;0.0; 1.05468e-28; 1.94565e-31;13.821496;0.0;1.03966e-28;1.75797e-31;13.849873;0.0;9.69515e-29;1.5129899999999998e-31;13.914313;0.0;13.889493664125974;0.0118533521924354;14.059810564016274;0.0024949258171257;13.828668205094276;0.0020791795782504;13.281573609078228;0.0017215737927679;13.93874612030961;0.0020029417897254663;1.449696862588235e-14;2.6743682450551823e-17;13.700044087689822;0.0018358806493263646;8.270226852109686e-15;1.398419742916267e-17;13.558212301403284;0.0016943606034326459;5.22930340664102e-15;8.16066152789157e-18
9.380191;-74.411057;0.055;4.685716999636982e+18;9.38013905974;-74.41106309566;-0.0095;            ;            ;         ;0.0; 3.00719e-17; 1.73529e-19;15.833596;1.0; 6.31718e-17; 1.49853e-19;14.412593;1.0;7.31981e-17;1.12594e-19;13.711951;1.0;6.88679e-17;8.155479999999999e-20;13.083757;1.0;            ;            ;         ;0.0; 3.22994e-29; 1.23738e-31;15.106313;0.0;9.29664e-29;1.6590499999999998e-31;13.971286;0.0;1.35355e-28;1.69655e-31;13.552017;0.0;;;15.873914114325974;0.0062652083132583;14.384399794563963;0.0025755293895633;12.81872766147104;0.0012857514027842;15.223561759443172;0.004159421738619337;4.439672587275993e-15;1.7008248035702113e-17;13.821457391159145;0.0019375716931106016;7.395237073889251e-15;1.3197314371037236e-17;13.195912875211619;0.001360870125361017;7.30068500854443e-15;9.150734846327105e-18
