ra,dec
79.238854,-72.332352
84.837381,-72.192619
73.248092,-70.298553
74.545015,-69.949707
74.205879,-69.808746
74.198512,-69.607002
73.900337,-69.449028
74.464499,-69.394508
74.652615,-68.842278
74.638712,-68.847244
73.796107,-67.169563
74.288444,-66.621864
73.91894,-66.428673
76.037142,-70.262787
79.96583,-69.885681
79.443194,-69.849213
79.660998,-69.762985
79.289897,-69.738876
78.742711,-69.647102
77.2941,-69.603386
75.326556,-69.54734
78.548279,-69.554939
79.507622,-69.560493
76.286309,-69.403511
77.231651,-69.272652
79.483648,-69.267715
79.559796,-69.250305
78.350803,-69.24942
77.614144,-69.153259
77.189406,-68.761696
77.595029,-68.7733
79.877108,-68.68602
75.73228,-68.175018
76.481297,-67.886337
76.06218,-67.251457
78.184431,-67.266029
76.809029,-66.055138
81.230202,-70.270058
80.906046,-70.118706
82.419476,-70.052818
81.283955,-69.895432
80.690377,-69.847679
83.923293,-69.854126
83.81932,-69.677345
80.140506,-69.543167
82.708743,-69.524811
80.343293,-69.452255
81.621463,-69.450912
82.55616,-69.437645
82.58725,-69.457428
84.182111,-69.496521
84.742052,-69.488762
84.71284,-69.498001
84.018773,-69.402321
84.350933,-69.432236
82.594033,-69.327492
84.962987,-69.277687
81.396657,-69.226074
83.923707,-69.198441
84.229869,-69.193794
84.908046,-69.196167
82.126885,-69.136475
82.635222,-69.153328
84.071263,-69.184341
84.179477,-69.148239
82.074104,-69.071808
82.856436,-69.094009
84.089472,-69.113281
84.539893,-69.105934
84.654044,-69.085487
84.65058,-69.099403
84.678093,-69.095123
84.668894,-69.099213
84.676472,-69.082802
84.673399,-69.087212
84.671604,-69.086929
84.684357,-69.101624
84.674554,-69.103889
84.680012,-69.104057
84.649854,-69.102509
84.689769,-69.096565
84.737775,-69.10154
84.692281,-69.104744
81.973408,-69.032906
81.963349,-69.015373
81.967294,-69.006363
82.714471,-69.049652
83.600928,-69.008636
84.551407,-69.01593
84.722448,-69.033546
81.939353,-68.985687
82.091541,-68.996727
82.218854,-68.991371
82.233151,-68.983459
82.130734,-68.898819
84.041992,-68.928085
84.134891,-68.900429
81.645346,-68.868721
81.688791,-68.831322
82.01141,-68.811485
83.597591,-68.599701
82.967797,-68.544136
82.354256,-68.466972
80.749096,-68.029625
80.959342,-67.764236
83.104007,-67.698242
83.086306,-67.52153
81.69618,-67.479385
83.961629,-67.441521
82.08476,-67.405075
80.696242,-67.206306
82.505194,-67.243576
83.593595,-67.023216
84.196636,-66.762772
82.075515,-66.481117
83.078431,-66.403351
80.587785,-66.260262
81.608258,-66.203194
82.092332,-66.064278
85.050738,-69.668045
85.050053,-69.521866
85.142888,-69.556831
85.153858,-69.320625
85.246491,-69.343178
85.240855,-69.258659
85.203354,-69.280922
85.105657,-69.243408
85.854866,-69.248528
85.334992,-69.085365
85.000957,-68.477524
86.252525,-67.176193
85.947186,-66.585823
77.812733,-65.96006
79.788019,-65.155556
83.37404,-65.945999
80.257105,-65.800743
80.746689,-65.80143
81.94343,-65.682083
