model,teff,logg,atmos,metallicity,av,lum_unscaled,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_SMASH,Gmag_SMASH,Rmag_SMASH,Imag_SMASH,Zmag_SMASH,uvw1mag_SWIFT,uvw2mag_SWIFT,uvm2mag_SWIFT,Jmag_2MASS_flux,Hmag_2MASS_flux,Kmag_2MASS_flux,Umag_MCPS_flux,Bmag_MCPS_flux,Vmag_MCPS_flux,Imag_MCPS_flux,Bmag_APASS_flux,Vmag_APASS_flux,gmag_APASS_flux,rmag_APASS_flux,imag_APASS_flux,Umag_SMASH_flux,Gmag_SMASH_flux,Rmag_SMASH_flux,Imag_SMASH_flux,Zmag_SMASH_flux,uvw1mag_SWIFT_flux,uvw2mag_SWIFT_flux,uvm2mag_SWIFT_flux
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0,5.3908597721643755e+56,-35.70932872139432,-36.57374063511131,-36.69578427535527,-30.67729264112188,-31.91534657809688,-33.232637618907816,-34.8557232572127,-31.76879333317972,-33.247548960557886,-32.44897076362376,-33.66894524751125,-34.138893693818034,-30.0524476743145,-32.58584372927577,-33.77216831451384,-34.21059448470888,-34.46127272036705,-28.447017864804828,-25.98514838322574,-21.595385115751917,60136.34817471649,48275.43145413338,20420.28431460993,7627.164874495307,36248.527657342995,71484.60209063659,80871.81827567128,34296.02977314287,72384.14664731943,46965.44498950599,83766.44964972675,87789.84194245668,7852.151081610707,50952.62535649242,85302.71337164388,86153.84045778982,78836.11153281896,962.1738098921467,133.1719544243186,2.026044541716359
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.05,5.29919973480187e+56,-35.700984779393096,-36.56587759937109,-36.694103760647835,-30.59324620753001,-31.850059204009536,-33.182270842900934,-34.830251892839996,-31.70285720253157,-33.19752757394149,-32.38777857171178,-33.6257654222928,-34.106117213927945,-29.97168803179463,-32.526419427326076,-33.73114840216305,-34.17999882888607,-34.43819881228309,-28.371758625728745,-25.90183510791477,-21.48738220568603,59675.968344199544,47927.07774783251,20388.70201693319,7059.022417347628,34133.0755066604,68244.20732374699,78996.64768716403,32275.233674345123,69124.96177048283,44391.67832492271,80500.42600516704,85179.2231992736,7289.282639364234,48238.83884272772,82140.03447703963,83759.94419468318,77178.37532006542,897.7384693735398,123.33531954448473,1.8342047968199318
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.1,5.210466231994882e+56,-35.69264465631553,-36.5580147930961,-36.69242402589494,-30.50922065252046,-31.78480794697514,-33.13192399547121,-34.804799513045175,-31.63696015450998,-33.147525765114615,-32.32661866540897,-33.58259548766677,-34.07334783291266,-29.890936428098975,-32.46703212001763,-33.69014160366218,-34.149411098207864,-34.41512906696985,-28.296724981603422,-25.818595439220786,-21.379496655179402,59219.3212927667,47581.24780490774,20357.18318875635,6533.326149239766,32142.14963959795,65151.89539524689,77166.30585547433,30374.60060086087,66013.71602146982,41960.205093124154,77362.44817956042,82646.77715694258,6766.812590443316,45671.14738636004,79095.57023247956,81433.15985109005,75555.7870476013,837.7923261385239,114.2330035342436,1.6607092500936496
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.15,5.124537845388836e+56,-35.68430834382727,-36.55015221640215,-36.690745070679355,-30.42521595466985,-31.719592770833046,-33.08159708003202,-34.77936613883463,-31.57110215565527,-33.09754353938368,-32.265490938450235,-33.5394354378725,-34.04058555326777,-29.81019284135652,-32.40768167439845,-33.64914790505428,-34.118831288907906,-34.3920634863541,-28.221916810526956,-25.735429033973972,-21.271726905419808,58766.37480558123,47237.92327389366,20325.727678902473,6046.895452298698,30268.357040206316,62200.84555786773,75379.69229498818,28586.920672052558,63043.64143674971,39663.086901698654,74347.4683818962,80190.14723958354,6281.8377345528415,43241.598914484995,76164.86593223343,79171.58934060772,73967.59558948671,782.0114458776744,105.8095905418315,1.5037848486013714
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.2,5.041298980833065e+56,-35.67597583359744,-36.54228986940508,-36.68906689458337,-30.34123209235355,-31.654413638879642,-33.03129009988951,-34.753951791181514,-31.50528317163417,-33.047580901967315,-32.20439528443745,-33.49628526705226,-34.00783037743783,-29.729457249746886,-32.34836795714503,-33.608167292208854,-34.0882593971486,-34.369002072345054,-28.14733394372311,-25.652335548528583,-21.164071422088405,58317.09696369719,46897.08593721787,20294.33533659137,5596.788752379289,28504.74730993959,59384.55363934852,73635.73417257213,26905.4204355029,60208.28203236073,37492.83234815308,71450.6389020488,77807.04837165416,5831.663783052453,40942.67908096828,73343.63609812141,76973.38872347698,72413.06599197922,730.0959896668141,98.01389308486004,1.361831926409446
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.25,4.960639559561148e+56,-35.66764711729875,-36.53442775222076,-36.68738949718876,-30.25726904374645,-31.589270513874183,-32.98100305824386,-34.72855649102542,-31.439503167248247,-32.99763785799752,-32.14333159684862,-33.45314496925162,-33.97508230781622,-29.648729631500387,-32.289090834576434,-33.56719975082286,-34.05769541902126,-34.34594482683427,-28.072976165681887,-25.56931463867054,-21.056528694864305,57871.45614117997,46558.717710219666,20263.006011438618,5180.285499851582,26844.785949228088,56696.817240019176,71933.38559819384,25323.736221499155,57501.47931691776,35442.37161363725,68667.30413740112,75495.26479517647,5413.790305424886,38767.28689664818,70627.7579996391,74836.7666490167,70891.47912288236,681.7683747465131,90.79862578954707,1.2334070331901106
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.3,4.882454727055233e+56,-35.659322186607575,-36.526565864965036,-36.68571287807681,-30.17332678682374,-31.524163358044653,-32.930735958190404,-34.70318025927207,-31.3737621064425,-32.947714412520924,-32.082299769046756,-33.41001453841963,-33.942341346745096,-29.56800996489814,-32.229850172668236,-33.52624526642163,-34.02713935054627,-34.32289175169566,-27.998843214354473,-25.486365959534282,-20.949097236937618,57429.42100225727,46222.80064017736,20231.73955345443,4794.869512724774,25282.329264916258,54131.72162747233,70271.62693408107,23835.889137890965,54917.358482111355,33505.03251445888,65992.99293887921,73252.64795399368,5025.896761974402,36708.71173177358,68013.26542412284,72759.98284321759,69402.13132855542,636.7715787889979,84.1201045912383,1.1172074867534354
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.35,4.8066445785172025e+56,-35.651001033204125,-36.51870420775381,-36.684037036828315,-30.089405299361673,-31.459092133093634,-32.88048880272083,-34.67782311679292,-31.308059952313915,-32.89781057049997,-32.021299694288885,-33.36689396840918,-33.90960749651523,-29.48729822827216,-32.17064583706649,-33.485303824359946,-33.996591187673275,-34.29984284878538,-27.924934781401806,-25.403489165528267,-20.841775584531174,56990.960498502274,45889.316905344094,20200.535813042945,4438.213578802297,23811.60080385317,51683.62629527483,68649.46412192535,22436.261603525414,52450.31523879319,31674.517926952496,63423.41126355378,71077.11444298165,4665.829544261931,34760.61161253672,65496.342687241784,70741.34664018604,67944.33409839816,594.8675762495444,77.93796938606121,1.0120574738823118
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.4,4.733113899938567e+56,-35.64268364877249,-36.51084278070299,-36.68236197302359,-30.005504558938377,-31.39405680020416,-32.830261594724355,-34.65248508442494,-31.2423966671202,-32.84792633681419,-31.96033126573478,-33.32378325297721,-33.876880759365946,-29.406594400005442,-32.111477693101456,-33.44437540982295,-33.96605092628131,-34.27679811994189,-27.851250512495987,-25.320683910268784,-20.734562296431207,56556.043866039414,45558.24881398856,20169.394641000603,4108.165221421504,22427.16921908432,49347.15215423794,67065.92802765738,21119.575324829697,50095.00326826834,29944.8845061871,60954.43512145466,68966.64402021286,4331.589950464448,32916.99273805109,63073.3188744657,68779.21555614682,66517.41373666553,555.8358963201972,72.21492828418448,0.9168955420181079
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.45,4.661771923825351e+56,-35.63437002500082,-36.50298158392848,-36.68068768624244,-29.921624542934644,-31.329057320045592,-32.78005433698893,-34.62716618297013,-31.176772212288476,-32.798061716261394,-31.899394376455696,-33.28068238578507,-33.84416113748505,-29.325898458532045,-32.052345605801335,-33.40346000782724,-33.93551856217901,-34.253757566985776,-27.77779000767349,-25.237949846521506,-20.62745595352711,56124.64062278729,45229.578803442826,20138.315888515197,3802.7335405868803,21123.927480870476,47117.16932627689,65520.07380331341,19880.870626071457,47846.32225983632,28310.522623660272,58582.10380476473,66919.27768013002,4021.323028115221,31172.19014837412,60740.662304546444,66871.99390476894,65120.71104143224,519.4722928486362,66.91652176275868,0.8307633406059095
