model,teff,logg,atmos,metallicity,av,lum_unscaled,Jmag_2MASS,Hmag_2MASS,Kmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_SMASH,Gmag_SMASH,Rmag_SMASH,Imag_SMASH,Zmag_SMASH,uvw1mag_SWIFT,uvw2mag_SWIFT,uvm2mag_SWIFT,Jmag_2MASS_flux,Hmag_2MASS_flux,Kmag_2MASS_flux,Umag_MCPS_flux,Bmag_MCPS_flux,Vmag_MCPS_flux,Imag_MCPS_flux,Bmag_APASS_flux,Vmag_APASS_flux,gmag_APASS_flux,rmag_APASS_flux,imag_APASS_flux,Umag_SMASH_flux,Gmag_SMASH_flux,Rmag_SMASH_flux,Imag_SMASH_flux,Zmag_SMASH_flux,uvw1mag_SWIFT_flux,uvw2mag_SWIFT_flux,uvm2mag_SWIFT_flux
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0,5.3908597721643755e+56,-35.70932872139432,-36.57374063511131,-36.69578427535527,-30.67729264112188,-31.91534657809688,-33.232637618907816,-34.8557232572127,-31.76879333317972,-33.247548960557886,-32.44897076362376,-33.66894524751125,-34.138893693818034,-30.0524476743145,-32.58584372927577,-33.77216831451384,-34.21059448470888,-34.46127272036705,-28.447017864804828,-25.98514838322574,-21.595385115751917,60136.34817471649,48275.43145413338,20420.28431460993,7627.164874495307,36248.527657342995,71484.60209063659,80871.81827567128,34296.02977314287,72384.14664731943,46965.44498950599,83766.44964972675,87789.84194245668,7852.151081610707,50952.62535649242,85302.71337164388,86153.84045778982,78836.11153281896,962.1738098921467,133.1719544243186,2.026044541716359
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.05,5.289679330889372e+56,-35.694921290141764,-36.56463012052724,-36.689883153800324,-30.600052598851136,-31.85274807025091,-33.182858930294515,-34.82964399510576,-31.7055980986338,-33.198069419550215,-32.39012983680069,-33.625117490119614,-34.10521384563286,-29.976956063730313,-32.52847369946565,-33.73032883852343,-34.17926775941069,-34.43788016404034,-28.37689107085736,-25.908311623843883,-21.497165159604737,59343.62603471975,47872.04257345522,20309.598405767552,7103.413848330108,34217.71210191853,68281.1817093664,78952.43027795831,32356.814095517337,69159.4677623682,44487.91689870223,80452.40029184382,85108.38075480632,7324.7364484426525,48330.19575671512,82078.05479543927,83703.56426827238,77155.72788037718,901.992266016018,124.07322467252168,1.8508064590126956
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.1,5.191548075200096e+56,-35.68051529450799,-36.5555200456822,-36.68398217019079,-30.522818937088164,-31.790180387551132,-33.13309314295251,-34.80358233290305,-31.6424360471343,-33.14860269211397,-32.331315835722265,-33.58129692448732,-34.071541750402254,-29.901467123073324,-32.47113275556505,-33.688499897973664,-34.14795020638,-34.414490612242645,-28.30690298271874,-25.83150897808437,-21.399050520642344,58561.43105424625,47472.04363191269,20199.515024137152,6615.667244571239,32301.589589912528,65222.090347603335,77079.84593432953,30528.181363008305,66079.2266142189,42142.128827586545,77269.97638573353,82509.41154556705,6832.764094373804,45843.96546000285,78976.06281963222,81323.66268453332,75511.37039390975,845.6829572887441,115.59978102360947,1.6908892024539097
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.15,5.096347736299402e+56,-35.66611073386169,-36.54641041054292,-36.678081324518054,-30.445591654138923,-31.727643503223,-33.08334026632415,-34.77753825698204,-31.57930715787029,-33.09914878865121,-32.27252866390137,-33.53748354706346,-34.03787741065652,-29.825980849768467,-32.413820778093736,-33.64668148728374,-34.116641822847505,-34.3911040649833,-28.237053722404713,-25.754740246448833,-21.30103895081683,57789.6223886836,47075.40598048008,20090.030875805944,6161.4473212693965,30493.631034939215,62300.79133622998,75252.89422697104,28803.772852355713,63136.91971907454,39921.01747145163,74213.92970641615,79990.37887896785,6373.851154138577,43486.793453078295,75992.04202773754,79012.09493987008,73902.26227377109,792.9902989200428,107.70838617006173,1.544936105781813
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.2,5.003965343494344e+56,-35.651707607570295,-36.537301215075956,-36.672180616773474,-30.368370748310497,-31.665137389848358,-33.03360030983892,-34.7515117535398,-31.51621140915694,-33.04970771956082,-32.21376822473161,-33.4936773542522,-34.004220828865755,-29.750497241239874,-32.356537647472784,-33.60487360076155,-34.085342605951865,-34.36772052226255,-28.167343397362078,-25.678005233009245,-21.2031282693965,57028.06109195901,46682.10121360092,19981.142684944705,5738.447033370758,28787.681942854,59511.04554933166,73470.43415061964,27177.598467422646,60326.3379041327,37817.90146930828,71279.22210169354,77548.80701108267,5945.775045715983,41251.91682394159,73121.47784225697,76766.88000122063,72327.64356343565,743.6759627775506,100.3588123896736,1.411712468065467
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.25,4.914292963814036e+56,-35.637305915,-36.52819245924766,-36.66628004694839,-30.291156217910988,-31.602662019369472,-32.98387328291361,-34.725502808594065,-31.453148778440063,-33.00027949523884,-32.15503442149588,-33.449878342412994,-33.970572007439735,-29.675016294910872,-32.299283244035685,-33.56307623260396,-34.05405255273989,-34.34433998407152,-28.097772100283443,-25.601303745239264,-21.105316360852857,56276.6100907588,46292.10116710638,19872.84719370807,5344.518260328647,27177.94075567428,56846.8977940087,71731.35392605638,25644.01519976428,57641.55292350171,35826.46056973374,68461.01705106247,75182.29738875045,5546.462683596274,39132.93053950308,70360.02951774855,74586.09480505054,70786.7707823084,697.5176886447402,93.51363055305772,1.2900943907338631
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.3,4.827227455313027e+56,-35.62290565551576,-36.51908414302421,-36.66037961503412,-30.213948061249383,-31.54021736309315,-32.934159194952606,-34.69951140798433,-31.39011924230075,-32.950864126078805,-32.0963271573748,-33.406086507860614,-33.93693094872779,-29.599538008204036,-32.242057448039326,-33.52128937689716,-34.02277166016663,-34.32096245039224,-28.02833990893336,-25.52463559385526,-21.00760117279654,55535.13415909479,45905.3779161539,19765.141162135784,4977.660846495347,25658.938456814576,54302.66382569774,70034.57023463446,24197.706857391742,55076.90468564599,33940.715943264266,65754.67156508782,72888.52622746394,5173.98041833336,37123.768315916976,67703.52340699303,72467.87254577724,69278.91656658625,654.3081788349897,87.13801404126951,1.17905865800835
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.35,4.742670233302192e+56,-35.608506828481296,-36.509976266371595,-36.65447932102198,-30.136746276635463,-31.477803391694916,-32.884458055348055,-34.673537537372944,-31.327122776460147,-32.90146162247217,-32.03764633545517,-33.36230184686532,-33.903297655018754,-29.52406237854115,-32.18486013967483,-33.47951302761691,-33.991499925095574,-34.297587921197625,-27.95904688598604,-25.44800059266626,-20.909980713963,54803.499893223314,45521.9037731826,19658.02136805413,4636.012398118062,24225.519363639618,51872.9179601162,68379.02747326628,22833.66498651511,52626.98906430788,32155.01157767567,63155.72841147086,70665.242165727,4826.524653455426,35218.684521960786,65147.94648954786,70410.40101516736,67803.369317985,613.8540702231487,81.19955651024829,1.0776735608127848
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.4,4.6605270487929095e+56,-35.59410943325909,-36.50086882925564,-36.64857916490326,-30.059550862379673,-31.41542007522323,-32.8347698734801,-34.64758118224621,-31.264159355784326,-32.852071994808625,-31.978991858738194,-33.31852435565298,-33.869672128540806,-29.44858940334326,-32.12769119907832,-33.43774717862892,-33.96023734429873,-34.27421639645152,-27.88989307887469,-25.371398558432553,-20.812453052248333,54081.57568690455,45141.65128588525,19551.484606977043,4317.838784649486,22872.823037718932,49552.48125428934,66763.69702931703,21547.170915544128,50286.646266109936,30463.996696051,60659.90865457439,68510.26399344006,4502.413094106763,33412.23705909815,62689.4401524118,68411.9209911642,66359.43286016837,575.9749781850189,75.66810251545647,0.9850905740740324
/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4000,1.0,ms,-0.75,0.45,4.58070777848155e+56,-35.57971346921042,-36.491761831641945,-36.64267914666923,-29.98236181679299,-31.35306738310379,-32.785094658717114,-34.6216423279155,-31.201228954289213,-32.802695253476514,-31.920363630147786,-33.27475403040516,-33.8360543714614,-29.373119080030673,-32.07055050634152,-33.395991823689116,-33.92898391445684,-34.25084787610862,-27.820878519652577,-25.29482931073213,-20.71501631279562,53369.23170700221,44764.59323519845,19445.527692009582,4021.525295701849,21596.267247270836,47336.41023040487,65187.57657485794,20333.778854843757,48050.94972931239,28862.60914091469,58263.10449572308,66421.4784519752,4200.076584865837,31699.271164967533,60324.294212917,66470.72467467423,64946.426102695565,540.5026073330445,70.51559008112311,0.9005368061626609
