RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf,av_zh,av_zh_std
7.521702,-73.913918,0.04244,0.04558,0.13454,0.13767,0.24,0.25
7.746443,-73.741425,0.04231,0.04261,0.13411,0.12867,0.24,0.26
7.925977,-73.53167,0.04271,0.03999,0.1354,0.12078,0.24,0.26
7.948884,-73.599243,0.04245,0.03653,0.13458,0.11034,0.24,0.26
7.980047,-73.578545,0.04254,0.03761,0.13486,0.11359,0.24,0.26
7.981742,-73.585571,0.04251,0.03708,0.13476,0.11197,0.24,0.26
8.228736,-73.821953,0.04179,0.03754,0.13246,0.11336,0.22,0.24
8.560188,-73.619049,0.04201,0.03381,0.13318,0.10212,0.23,0.25
8.637665,-73.873337,0.0413,0.04014,0.13091,0.12123,0.21,0.24
8.763608,-73.549622,0.04215,0.04028,0.13361,0.12166,0.23,0.25
8.763859,-74.203384,0.04199,0.03309,0.1331,0.09994,0.19,0.21
8.989162,-73.734062,0.0413,0.03369,0.13093,0.10174,0.22,0.25
9.124077,-73.918602,0.04093,0.04416,0.12975,0.13336,0.19,0.26
9.380191,-74.411057,0.04288,0.03442,0.13592,0.10394,0.22,0.22
9.508638,-73.630348,0.04143,0.04667,0.13134,0.14096,0.25,0.27
9.563685,-73.017746,0.04523,0.08026,0.14338,0.24237,0.22,0.27
9.57867,-73.525597,0.04188,0.04777,0.13277,0.14425,0.26,0.27
9.818972,-72.032875,0.04567,0.03758,0.14477,0.11349,0.2,0.19
10.190774,-72.673569,0.04805,0.05356,0.15232,0.16175,0.22,0.24
10.191936,-73.717102,0.0414,0.05722,0.13125,0.17282,0.26,0.28
10.512744,-73.888428,0.04134,0.06387,0.13104,0.19288,0.21,0.25
10.598432,-73.412109,0.04324,0.1319,0.13708,0.39835,0.37,0.33
10.721161,-73.596092,0.04257,0.10149,0.13494,0.3065,0.32,0.31
10.745516,-73.29184,0.0441,0.22966,0.13978,0.69358,0.42,0.35
10.95191,-73.613548,0.04275,0.12028,0.13552,0.36325,0.31,0.3
11.004765,-72.995163,0.04724,0.20304,0.14974,0.61317,0.34,0.33
11.045316,-73.212608,0.04537,0.4087,0.14382,1.23429,0.49,0.36
11.210925,-72.885483,0.04802,0.11724,0.15222,0.35405,0.29,0.31
11.399051,-73.293671,0.04531,0.71362,0.14362,2.15515,0.55,0.37
11.476636,-72.93116,0.04793,0.19947,0.15193,0.60239,0.36,0.34
11.510007,-73.350014,0.04509,0.70826,0.14295,2.13895,0.53,0.37
11.554412,-72.935364,0.04791,0.22205,0.15188,0.6706,0.37,0.34
11.624906,-72.593178,0.04811,0.09948,0.15251,0.30043,0.26,0.28
11.642234,-72.821014,0.04813,0.15008,0.15256,0.45323,0.32,0.31
11.666625,-73.208763,0.04597,0.86598,0.14574,2.61525,0.59,0.37
11.692539,-73.666313,0.04278,0.12071,0.13563,0.36454,0.27,0.3
11.721182,-72.714394,0.04821,0.11865,0.15283,0.35831,0.3,0.3
11.753848,-73.370476,0.04498,0.65201,0.14257,1.96906,0.5,0.37
11.760545,-72.919182,0.04806,0.28668,0.15235,0.86576,0.39,0.35
11.782004,-73.745392,0.04226,0.0818,0.13396,0.24704,0.23,0.27
11.78622,-73.236649,0.04582,0.9473,0.14523,2.86084,0.6,0.37
11.793363,-72.96051,0.04774,0.40465,0.15133,1.22204,0.43,0.36
11.805479,-72.704842,0.04821,0.12319,0.15281,0.37204,0.3,0.31
11.938212,-73.307259,0.04537,0.92223,0.14381,2.78512,0.55,0.36
11.955413,-73.095612,0.04674,1.20946,0.14818,3.65258,0.56,0.38
11.992086,-72.815269,0.04806,0.29563,0.15234,0.89279,0.37,0.33
12.00486,-73.387062,0.04486,0.50986,0.14222,1.53979,0.47,0.37
12.009524,-73.403946,0.04476,0.44436,0.14189,1.34196,0.46,0.37
12.026228,-73.110535,0.04666,1.23704,0.14792,3.73587,0.58,0.37
12.036872,-73.505272,0.04414,0.25744,0.13992,0.77747,0.37,0.34
12.078882,-73.249702,0.04574,1.00501,0.145,3.03514,0.58,0.36
12.115704,-73.446945,0.04448,0.34554,0.14101,1.04352,0.41,0.35
12.132593,-72.986565,0.04733,0.61913,0.15004,1.86976,0.5,0.37
12.138712,-73.209274,0.046,1.00358,0.14582,3.03081,0.58,0.36
12.144304,-73.154884,0.04636,1.10149,0.14697,3.32651,0.59,0.37
12.146544,-72.369522,0.04651,0.16936,0.14743,0.51148,0.26,0.26
12.158935,-73.246552,0.04574,0.91259,0.14501,2.75602,0.57,0.36
12.189284,-72.924294,0.04762,0.49667,0.15095,1.49994,0.47,0.37
12.257829,-72.901375,0.04763,0.53401,0.151,1.61272,0.46,0.36
12.299215,-72.692955,0.04817,0.19736,0.15271,0.59604,0.35,0.33
12.302837,-73.392799,0.04479,0.41635,0.14198,1.25738,0.44,0.35
12.314714,-73.202988,0.04599,0.78211,0.14578,2.36197,0.57,0.36
12.319302,-73.147079,0.04635,0.90367,0.14692,2.72909,0.57,0.36
12.385136,-72.487221,0.04725,0.17988,0.14977,0.54322,0.27,0.27
12.393755,-72.881355,0.04758,0.63439,0.15084,1.91585,0.46,0.36
12.419711,-73.236916,0.04574,0.56761,0.145,1.71417,0.55,0.35
12.42137,-72.301399,0.04566,0.13903,0.14473,0.41987,0.25,0.26
12.449533,-73.411659,0.04466,0.39872,0.14156,1.20415,0.41,0.34
12.482258,-73.047455,0.04676,0.58365,0.14824,1.76263,0.53,0.37
12.488276,-72.405502,0.04642,0.15629,0.14715,0.472,0.27,0.27
12.498361,-73.07341,0.04664,0.61392,0.14784,1.85405,0.54,0.36
12.501577,-72.983681,0.04704,0.52213,0.1491,1.57683,0.51,0.37
12.549769,-73.354309,0.04502,0.36913,0.14272,1.11478,0.45,0.35
12.554437,-73.286179,0.04544,0.39012,0.14404,1.17816,0.51,0.35
12.56634,-73.169647,0.04612,0.54323,0.14619,1.64055,0.54,0.35
12.569629,-73.138657,0.0463,0.56423,0.14676,1.70398,0.54,0.35
12.575341,-72.455956,0.04678,0.17151,0.14829,0.51796,0.28,0.28
12.588534,-73.102638,0.04646,0.53939,0.14728,1.62896,0.53,0.36
12.619976,-72.752563,0.04778,0.43315,0.15147,1.30811,0.42,0.35
12.620275,-73.120697,0.04637,0.51319,0.147,1.54984,0.53,0.36
12.629437,-72.872421,0.04735,0.7015,0.1501,2.11853,0.46,0.36
12.638301,-72.962532,0.04701,0.50604,0.14901,1.52825,0.5,0.36
12.669093,-72.834183,0.04743,0.68156,0.15037,2.0583,0.45,0.35
12.694161,-72.241043,0.04499,0.1544,0.14263,0.46628,0.26,0.28
12.708537,-73.394318,0.04477,0.33394,0.14192,1.00849,0.41,0.34
12.758097,-73.268562,0.04553,0.37964,0.14434,1.14651,0.5,0.34
12.779685,-72.998734,0.04672,0.41035,0.1481,1.23926,0.49,0.36
12.788992,-72.809959,0.04735,0.58721,0.15009,1.77338,0.43,0.35
12.799663,-72.471596,0.04672,0.1837,0.14811,0.55476,0.31,0.3
12.806897,-72.550446,0.04729,0.22818,0.14991,0.68909,0.34,0.31
12.816462,-73.159111,0.04609,0.41346,0.1461,1.24864,0.51,0.35
12.826005,-72.723526,0.04756,0.37205,0.15076,1.12358,0.4,0.34
12.833997,-73.136757,0.0462,0.39542,0.14644,1.19417,0.5,0.35
12.857086,-72.763344,0.04741,0.44436,0.15028,1.34196,0.42,0.34
12.858666,-72.888458,0.04699,0.56736,0.14895,1.71343,0.45,0.35
12.883954,-73.309235,0.04533,0.35203,0.1437,1.06312,0.46,0.34
12.90685,-72.433243,0.04627,0.16435,0.14668,0.49635,0.31,0.3
12.911544,-72.972351,0.04666,0.3802,0.14791,1.14821,0.47,0.36
12.9154,-73.232407,0.0457,0.43294,0.14487,1.30747,0.5,0.34
12.921972,-72.933441,0.04676,0.44411,0.14822,1.34123,0.46,0.35
12.941341,-72.59816,0.04721,0.29381,0.14966,0.8873,0.36,0.32
12.999333,-72.766563,0.04719,0.41352,0.1496,1.24884,0.41,0.34
13.001509,-73.0895,0.04627,0.32362,0.14666,0.97734,0.47,0.35
13.033491,-72.280327,0.04493,0.22374,0.14244,0.6757,0.28,0.29
13.038654,-72.99086,0.04647,0.3028,0.14731,0.91445,0.45,0.35
