star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions_U_redder,total_exclusions_B_redder,total_exclusions_V_redder,most_common_excluded_overall,bands_used_for_fitting,use_U,use_B,use_V,final_teff_median,final_logg_median,final_av_median,final_chi2,final_teff_mean,final_teff_std,final_logT_mean,final_logT_std,final_logg_mean,final_av_mean,final_logL_mean,final_logL_std
0,7.521702,-73.913918,6250,1.0,0.2,4.019025352335417,0.3554961422364487,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.02152166259109,0.20778871663112247,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.2,4.01118455496001,0.003711905325463458,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6250.0,6250.0,0.0,6250.0,6250.0,6250.0,3.7958800173440754,3.7958800173440754,0.0,4.018657446506127,4.0187569567789865,0.00610883191944952,4.012593411225708,4.0187569567789865,4.024649066668515,1.1715,1.0,0.3030474385306697,1.0,1.0,1.5,0.18965000000000004,0.2,0.020257776284676465,0.15,0.2,0.2,14.660829869302768,3,Imag_MCPS,1000,6250.25,6250.0,7.901740314639554,6250.0,6250.0,6250.0,3.795897050683374,3.7958800173440754,0.0005383720953204246,4.026092302917459,4.026077438383877,0.007164838095934994,4.01868038699706,4.026077438383877,4.033394169229607,1.9035,2.0,0.49893661922131954,1.5,2.0,2.5,0.15894999999999995,0.15,0.019167615918522583,0.15,0.15,0.2,8.123482146140693,19,Imag_MCPS,1000,6253.75,6250.0,40.90767042988393,6250.0,6250.0,6250.0,3.796131344867587,3.7958800173440754,0.0028134528865015806,4.026114695716428,4.0261951099643545,0.007853878354511939,4.018531943179569,4.0261951099643545,4.033648130430749,1.9545,2.0,0.5330851245345344,1.5,2.0,2.5,0.16109999999999997,0.15,0.020779557261886027,0.15,0.15,0.2,5.322792741500781,100,Imag_MCPS,3,19,100,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,6250.0,2.0,0.15,0.20778871663112247,6250.25,7.901740314639554,3.795897388775925,0.0005490471926851602,1.9035,0.15894999999999995,4.026092302917459,0.007164838095934994
1,7.746443,-73.741425,6000,1.0,0.2,3.9554168189702787,0.344378300694006,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,1.5,0.15,3.9615367178662373,0.14886080182983005,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,1.0,0.15,3.960418581935295,0.046361810844295116,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,3.7781512503836434,3.7781512503836434,0.0,3.95667325863399,3.956526468930436,0.006115235325030429,3.950483799530195,3.956526468930436,3.962998777041927,1.129,1.0,0.22662524131261283,1.0,1.0,1.5,0.19410000000000002,0.2,0.016130406070524083,0.2,0.2,0.2,13.800769373493655,8,Vmag_MCPS,1000,6000.25,6000.0,7.901740314639554,6000.0,6000.0,6000.0,3.778168979150604,3.7781512503836434,0.0005603524504803818,3.963068399756976,3.9630977251119015,0.006488888454859008,3.9566115684907266,3.9630977251119015,3.9696152211298017,1.8805,2.0,0.48422076576702083,1.5,2.0,2.5,0.17025,0.15,0.024544602257930367,0.15,0.15,0.2,11.375840962987375,24,Vmag_MCPS,1000,5992.75,6000.0,47.53879994278358,6000.0,6000.0,6000.0,3.777612213063583,3.7781512503836434,0.003498667306127208,3.9594780875285016,3.959716782148131,0.00869380515287357,3.9518180582648914,3.959716782148131,3.9676799006774965,1.906,2.0,0.557372406923773,1.4200000000000017,2.0,2.5,0.18205000000000002,0.2,0.023985360118205446,0.15,0.2,0.2,8.23777183593663,27,Imag_MCPS,8,24,27,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,6000.0,2.0,0.15,0.14886080182983005,6000.25,7.901740314639554,3.778169345610075,0.0005719232058798255,1.8805,0.17025,3.963068399756976,0.006488888454859008
2,7.925977,-73.53167,4500,0.0,0.2,3.9949893919159494,6.013935321468927,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,3.9949893919159494,3.8799895157484365,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,4.003942358900823,0.14476703418980977,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4393.5,4500.0,123.62342011123944,4250.0,4500.0,4500.0,3.6426376671084806,3.6532125137753435,0.012275105278024582,3.989845883967301,3.9902450413426997,0.00759353407779814,3.9823096634457937,3.9902450413426997,3.9974357313998,0.602,0.0,0.7043408265889461,0.0,0.0,1.5,0.17605,0.2,0.024977940267363927,0.15,0.2,0.2,28.116252486019768,0,nan,1000,4433.75,4500.0,110.3333018630368,4250.0,4500.0,4500.0,3.64663426408821,3.6532125137753435,0.010955471825825253,3.9893490182486855,3.989097008467938,0.006322830524217132,3.9832424381280553,3.989097008467938,3.9953536619629855,0.3875,0.0,0.658857913362206,0.0,0.0,1.5,0.18665000000000004,0.2,0.02211961798946809,0.15,0.2,0.2,19.935349574015785,0,nan,1000,4425.25,4500.0,114.4549583897526,4250.0,4500.0,4500.0,3.6457902622415594,3.6532125137753435,0.011364728969332267,3.990728485864277,3.990765929463526,0.006882185644932613,3.9837326205295076,3.990765929463526,3.997575755758109,0.6915,0.0,1.069381947668839,0.0,0.0,2.5,0.18505000000000002,0.2,0.022890991677950532,0.15,0.2,0.2,9.593829401155686,51,Hmag_2MASS,0,0,51,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,4500.0,0.0,0.2,3.8799895157484365,4433.75,110.3333018630368,3.646771201479999,0.01080736265447593,0.3875,0.18665000000000004,3.9893490182486855,0.006322830524217132
3,7.948884,-73.599243,4500,0.0,0.15,4.002711816216278,88.13591288800794,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.15,4.006987643909966,0.0057785585223143416,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.15,3.997623336877373,0.00012292399320167185,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.007191484239339,4.00738859706613,0.0063041675109175846,4.001131700158176,4.00738859706613,4.013446638431464,0.0,0.0,0.0,0.0,0.0,0.0,0.15139999999999998,0.15,0.008248636250920515,0.15,0.15,0.15,157.39993105448863,0,nan,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.001516243087704,4.00123980738619,0.007342394396146519,3.9945075385433575,4.00123980738619,4.008306617315058,1.7945,2.0,0.4341886110896968,1.5,2.0,2.5,0.18750000000000003,0.2,0.021650635094610973,0.15,0.2,0.2,3.2991320091148246,167,Hmag_2MASS,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,3.999961755412315,3.999895685755368,0.007470189880373301,3.992623534996518,3.999895685755368,4.007401432941209,1.0015,1.0,0.7464902879475391,0.5,1.0,2.0,0.17145,0.15,0.024746666442169548,0.15,0.15,0.2,1.360317544907377,351,Hmag_2MASS,0,167,351,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,4500.0,2.0,0.2,0.0057785585223143416,4500.0,0.0,3.6532125137753435,0.0,1.7945,0.18750000000000003,4.001516243087704,0.007342394396146519
4,7.980047,-73.578545,4250,0.0,0.2,3.995010685974751,5.1795705168512205,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,3.9898948838252326,0.6278801610756158,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,3.9979119267964776,0.041984528477602166,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9947644237849347,3.9943105152724145,0.006702021635178837,3.9880115896466424,3.9943105152724145,4.001688618543297,0.0,0.0,0.0,0.0,0.0,0.0,0.19920000000000004,0.2,0.0062737548565432524,0.2,0.2,0.2,28.23028903186151,2,Imag_MCPS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9961777199198534,3.996286980851546,0.007336383582893338,3.988714894621535,3.996286980851546,4.003418963540539,0.1325,0.0,0.2206666037260736,0.0,0.0,0.5,0.1928,0.2,0.017554486605993357,0.2,0.2,0.2,16.131432382708297,87,Imag_MCPS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9957637572404185,3.9958989875813997,0.0071798996403143415,3.988541407870189,3.9958989875813997,4.003070096904248,0.1515,0.0,0.24351129337260727,0.0,0.0,0.5,0.19720000000000004,0.2,0.011496086290559935,0.2,0.2,0.2,11.106872167451547,244,Imag_MCPS,2,87,244,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,4250.0,0.0,0.2,0.6278801610756158,4250.0,0.0,3.6283889300503116,0.0,0.1325,0.1928,3.9961777199198534,0.007336383582893338
5,7.981742,-73.585571,4250,0.0,0.2,4.271382358677899,0.0982340277260356,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.15,4.2692512336350354,0.0012354294539238155,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,4.267752869379308,0.00025514663770178747,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.275228735968904,4.275411838232673,0.0073317107641484615,4.267684870702586,4.275411838232673,4.282501821603471,0.0105,0.0,0.07169204976843667,0.0,0.0,0.0,0.16294999999999998,0.15,0.02190428040361062,0.15,0.15,0.2,7.7992935958016725,50,Bmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.2730080962382395,4.273187759813209,0.007697273930200714,4.265513143705328,4.273187759813209,4.280634343367845,0.26,0.5,0.2547547840571399,0.0,0.5,0.5,0.18420000000000003,0.2,0.023245644753372628,0.15,0.2,0.2,5.3356312116891385,79,Vmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.27237901412056,4.272829038679308,0.0074075228475133145,4.2650120596581536,4.272829038679308,4.279570420866147,0.03,0.0,0.1307669683062202,0.0,0.0,0.0,0.18440000000000004,0.2,0.02316549157691242,0.15,0.2,0.2,2.368609042402536,199,Jmag_2MASS,50,79,199,Jmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,4250.0,0.5,0.2,0.0012354294539238155,4250.0,0.0,3.6283889300503116,0.0,0.26,0.18420000000000003,4.2730080962382395,0.007697273930200714
6,8.228736,-73.821953,5250,0.0,0.15,3.7747998816963877,29.987829376854176,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.5,0.2,3.974134606875839,0.0160320342161852,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,0.15,3.990415896114728,0.0009484141794745657,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,5264.75,5250.0,58.906175397830744,5250.0,5250.0,5250.0,3.721351303185166,3.720159303405957,0.004760416818186826,3.768950912011829,3.7678966600693204,0.01215755139991246,3.7578086620782853,3.7678966600693204,3.7790917480540047,0.0,0.0,0.0,0.0,0.0,0.0,0.16664999999999996,0.15,0.023564326852256998,0.15,0.15,0.2,79.10428778094362,0,nan,1000,6180.25,6250.0,159.13025325185654,6000.0,6250.0,6250.0,3.7908620738623062,3.7958800173440754,0.011183842873039787,3.9294817524516845,3.935287362532888,0.02624849600879864,3.899998988087668,3.935287362532888,3.949670192261936,1.134,1.0,0.3742245315315392,1.0,1.0,1.0,0.19900000000000004,0.2,0.0070000000000000045,0.2,0.2,0.2,8.215563828477618,8,Hmag_2MASS,1000,6257.0,6250.0,190.2656038279121,6000.0,6250.0,6500.0,3.7961651173043056,3.7958800173440754,0.013220534934890395,3.942242987140973,3.9416987019160388,0.03143304673016082,3.90657821125686,3.9416987019160388,3.9772761300965804,1.1695,1.0,0.41112011626774,1.0,1.0,1.5,0.19870000000000004,0.2,0.007956758133813044,0.2,0.2,0.2,6.151741383149123,46,Hmag_2MASS,0,8,46,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,6250.0,1.0,0.2,0.0160320342161852,6180.25,159.13025325185654,3.7910060432804773,0.01118229697684532,1.134,0.19900000000000004,3.9294817524516845,0.02624849600879864
7,8.560188,-73.619049,4250,0.5,0.15,4.069524462976996,1.0086132621528858,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,4.07309610539814,0.028348278182163067,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,4.086280751699018,0.0004330891447125002,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4251.5,4250.0,19.30673457630782,4250.0,4250.0,4250.0,3.628537871552663,3.6283889300503116,0.001917049368847783,4.072217283152277,4.072387407693325,0.007532366086505494,4.065033648983129,4.072387407693325,4.0795696687382,0.496,0.5,0.044542114902640165,0.5,0.5,0.5,0.15095,0.15,0.006826236151789653,0.15,0.15,0.15,34.976302912122186,1,Bmag_APASS,1000,4333.25,4250.0,117.82163426128497,4250.0,4250.0,4500.0,3.6366551834307486,3.6283889300503116,0.01169902081082038,4.073557161735963,4.0730646008332725,0.00837282286163807,4.06533766650881,4.0730646008332725,4.081733856243275,0.7965,1.0,0.6183346585789931,0.0,1.0,1.5,0.16809999999999997,0.15,0.024028940883859203,0.15,0.15,0.2,6.674112513131777,105,Hmag_2MASS,1000,4348.75,4250.0,122.21267323808935,4250.0,4250.0,4500.0,3.6381942456217002,3.6283889300503116,0.012135026105542705,4.07606790614388,4.075589984149342,0.008404290823237738,4.068148506021326,4.075589984149342,4.08453552606908,1.2245,1.5,1.0822891249569129,0.0,1.5,2.5,0.16984999999999997,0.15,0.024463799786623504,0.15,0.15,0.2,3.88974559339887,197,Hmag_2MASS,1,105,197,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,4250.0,1.0,0.15,0.028348278182163067,4333.25,117.82163426128497,3.6368137456899077,0.011808523765879922,0.7965,0.16809999999999997,4.073557161735963,0.00837282286163807
8,8.637665,-73.873337,8250,2.5,0.2,4.183989532300698,0.3414457507063213,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.0,0.2,4.201923109769734,0.15355916440246503,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.5,0.15,4.198039960466652,0.02900000140099194,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8275.25,8250.0,131.0531857682216,8250.0,8250.0,8500.0,3.91772672781385,3.916453948549925,0.006871859506866184,4.201030170796208,4.200747923165614,0.009203055682479307,4.191327708174364,4.200747923165614,4.21098621507993,2.129,2.0,0.2187669993394799,2.0,2.0,2.5,0.1807,0.2,0.024341528300416974,0.15,0.2,0.2,7.712715082799348,4,Vmag_APASS,1000,8217.0,8250.0,141.10634287656953,8000.0,8250.0,8250.0,3.914649232350659,3.916453948549925,0.007459874564346776,4.196889310227464,4.196483159573569,0.010317492837167284,4.185813835917946,4.196483159573569,4.207928240960803,2.176,2.0,0.23879698490558876,2.0,2.0,2.5,0.1741,0.15,0.02498379474779603,0.15,0.15,0.2,6.197511250882562,7,Imag_MCPS,1000,8196.5,8250.0,172.88073923951157,8000.0,8250.0,8250.0,3.9135322195385007,3.916453948549925,0.009133679262258389,4.1940692603507745,4.193262128267593,0.015121735800438832,4.178909339818653,4.193262128267593,4.209506724386559,2.197,2.0,0.24431741648928754,2.0,2.0,2.5,0.17399999999999996,0.15,0.024979991993593603,0.15,0.15,0.2,3.6225815838834152,49,Imag_MCPS,4,7,49,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,8250.0,2.0,0.15,0.15355916440246503,8217.0,141.10634287656953,3.914713286973624,0.007457917253601359,2.176,0.1741,4.196889310227464,0.010317492837167284
9,8.763608,-73.549622,4250,0.5,0.15,4.224002526953117,19.52490307466942,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.15,4.225929867278831,12.43740977710437,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,4.236207990739139,0.1168794724409884,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4255.5,4250.0,36.670833096617805,4250.0,4250.0,4250.0,3.628935048892264,3.6283889300503116,0.0036412059825622527,4.2254314203725425,4.226074643477175,0.008086763141460576,4.217594662659475,4.226074643477175,4.233486877742262,0.4985,0.5,0.10123117108875111,0.5,0.5,0.5,0.15109999999999996,0.15,0.007334166619323562,0.15,0.15,0.15,47.59351280662876,0,nan,1000,4256.25,4250.0,39.03123748998999,4250.0,4250.0,4250.0,3.6290095196434384,3.6283889300503116,0.0038755807668974817,4.225069943106162,4.225415368643967,0.00842941862473977,4.2163644752266265,4.225415368643967,4.233645605506787,0.587,0.5,0.22007044326760467,0.5,0.5,1.0,0.15154999999999996,0.15,0.00866588137467852,0.15,0.15,0.15,42.819235931930876,0,nan,1000,4374.0,4250.0,124.99599993599796,4250.0,4250.0,4500.0,3.6407014275779286,3.6283889300503116,0.012411394678821313,4.2301624780448766,4.230014170419652,0.007767652650012415,4.222427088430171,4.230014170419652,4.237667925812304,0.9045,0.5,0.9773073979050807,0.0,0.5,2.0,0.1743,0.15,0.024990198078446685,0.15,0.15,0.2,14.656543830911426,39,Vmag_APASS,0,0,39,Vmag_APASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,False,True,4250.0,0.5,0.15,0.1168794724409884,4374.0,124.99599993599796,3.640878778701618,0.012410853459575476,0.9045,0.1743,4.2301624780448766,0.007767652650012415
