star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions_U_redder,total_exclusions_B_redder,total_exclusions_V_redder,most_common_excluded_overall,bands_used_for_fitting,use_U,use_B,use_V,final_teff_median,final_logg_median,final_av_median,final_chi2,final_teff_mean,final_teff_std,final_logT_mean,final_logg_mean,final_av_mean,final_logL_mean,final_logL_std
0,7.521702,-73.913918,6250,1.0,0.2,4.007559826097757,1.255524479995255,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.0,0.2,4.020627887949213,0.30405995979080647,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.2,4.0284290310697966,0.06520084604300501,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6250.0,6250.0,0.0,6250.0,6250.0,6250.0,3.7958800173440754,3.7958800173440754,0.0,4.018861796380821,4.0187433701024435,0.005890018397662441,4.013006817645486,4.0187433701024435,4.024578306078885,1.1815,1.0,0.3135406672187836,1.0,1.0,1.5,0.191,0.2,0.019209372712298556,0.15,0.2,0.2,15.047470737123486,0,nan,1000,6250.25,6250.0,7.901740314639554,6250.0,6250.0,6250.0,3.795897050683374,3.7958800173440754,0.0005383720953204247,4.026380984182054,4.02657382281312,0.007008456590421594,4.019055707162113,4.02657382281312,4.0333909602412845,1.941,2.0,0.498015060013249,1.5,2.0,2.5,0.15809999999999996,0.15,0.018422540541412853,0.15,0.15,0.2,8.120882646674728,15,Imag_MCPS,1000,6253.25,6250.0,39.39463796000669,6250.0,6250.0,6250.0,3.7960972781889897,3.7958800173440754,0.0027113116933637597,4.025911963654083,4.026164138415028,0.007625346244907216,4.0183180245921255,4.026164138415028,4.033252216101462,1.978,2.0,0.5248961802109061,1.5,2.0,2.5,0.16154999999999994,0.15,0.021073620951322068,0.15,0.15,0.2,5.393078949114236,84,Imag_MCPS,0,15,84,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,6250.0,2.0,0.15,0.30405995979080647,6250.25,7.901740314639554,3.795897388775925,1.941,0.15809999999999996,4.026380984182054,0.007008456590421594
1,7.746443,-73.741425,6000,1.0,0.2,3.950447937002684,0.5379352268687967,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,1.0,0.15,3.964513514147264,0.43406271253146267,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,2.0,0.2,3.951101089833756,0.014557046701247862,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,3.7781512503836434,3.7781512503836434,0.0,3.95624074680735,3.956159907373759,0.006386883517611064,3.9500394351496264,3.956159907373759,3.962307266163875,1.126,1.0,0.23264565330132436,1.0,1.0,1.5,0.19435000000000002,0.2,0.015829639920099264,0.2,0.2,0.2,13.851966800666245,12,Vmag_MCPS,1000,6000.25,6000.0,7.901740314639554,6000.0,6000.0,6000.0,3.778168979150604,3.7781512503836434,0.0005603524504803817,3.9624075717402847,3.962406083428904,0.006874637210330334,3.9556560406302093,3.962406083428904,3.9694689502025713,1.861,2.0,0.495660165839459,1.5,2.0,2.5,0.17225,0.15,0.02484828967957353,0.15,0.15,0.2,11.659262740418708,18,Vmag_MCPS,1000,5994.0,6000.0,45.70557952810576,6000.0,6000.0,6000.0,3.7777038754533194,3.7781512503836434,0.0033584004908346586,3.959107704060065,3.9595263663624314,0.00853336899845467,3.951647542601258,3.9595263663624314,3.9669532960871954,1.8905,2.0,0.5511440374348615,1.5,2.0,2.5,0.18330000000000002,0.2,0.023581984649303805,0.15,0.2,0.2,8.512047630169814,22,Imag_MCPS,12,18,22,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,6000.0,2.0,0.15,0.43406271253146267,6000.25,7.901740314639554,3.778169345610075,1.861,0.17225,3.9624075717402847,0.006874637210330334
2,7.925977,-73.53167,4250,1.5,0.15,3.995132780962038,8.895164828788147,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,3.99530573198304,1.5395132696549902,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,2.5,0.15,4.005978456344344,0.11981838851687035,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4389.25,4500.0,124.18509371096033,4250.0,4500.0,4500.0,3.642215666185155,3.6532125137753435,0.012330876284539827,3.9899184778131174,3.9901839907733403,0.007962750066942562,3.982157709819706,3.9901839907733403,3.997577906507834,0.619,0.0,0.7041583628701714,0.0,0.0,1.5,0.1755,0.2,0.024994999499899983,0.15,0.2,0.2,28.682664523155758,0,nan,1000,4435.5,4500.0,109.38349966973995,4250.0,4500.0,4500.0,3.6468080291742853,3.6532125137753435,0.010861161848755158,3.9896502037601405,3.9894206385993507,0.006691304409450322,3.98337377064531,3.9894206385993507,3.996088938770953,0.372,0.0,0.6466188985793719,0.0,0.0,1.5,0.18695,0.2,0.02195899587868262,0.15,0.2,0.2,20.246935820466614,1,Imag_MCPS,1000,4424.25,4500.0,114.88880493764394,4250.0,4500.0,4500.0,3.6456909679066594,3.6532125137753435,0.011407807473753855,3.9911554261828406,3.9911229051316295,0.006898415884268754,3.9842073217176734,3.9911229051316295,3.998129972491788,0.6995,0.0,1.0774737815835704,0.0,0.0,2.5,0.18485000000000001,0.2,0.022977760987528798,0.15,0.2,0.2,9.824136780321464,40,Imag_MCPS,0,1,40,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,4500.0,0.0,0.2,1.5395132696549902,4435.5,109.38349966973995,3.646942583581799,0.372,0.18695,3.9896502037601405,0.006691304409450322
3,7.948884,-73.599243,4500,0.0,0.15,3.9952406668874443,91.92079420142974,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.15,3.999947174109907,0.009061683240399963,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.15,3.991177267699441,0.000263852450077324,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.007269924889202,4.007338335092495,0.006441293387813405,4.000859288284214,4.007338335092495,4.013902486448453,0.0,0.0,0.0,0.0,0.0,0.0,0.15119999999999997,0.15,0.007652450587883601,0.15,0.15,0.15,157.87194970786584,0,nan,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.001298490618744,4.001108122442704,0.007264531125753963,3.994266849958603,4.001108122442704,4.008500368316769,1.78,2.0,0.45122056690713913,1.5,2.0,2.5,0.18550000000000003,0.2,0.022688102609076864,0.15,0.2,0.2,3.340108816318663,165,Hmag_2MASS,1000,4500.25,4500.0,13.690781570093067,4500.0,4500.0,4500.0,3.6532346523833175,3.6532125137753435,0.0013108943189973784,3.9999289006713217,3.999773865210379,0.007250382605354949,3.992806099248867,3.999773865210379,4.007449200163373,1.032,1.0,0.7618897558046046,0.5,1.0,2.0,0.17035,0.15,0.024563743607194738,0.15,0.15,0.2,1.476328886030239,342,Hmag_2MASS,0,165,342,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,4500.0,2.0,0.2,0.009061683240399963,4500.0,0.0,3.6532125137753435,1.78,0.18550000000000003,4.001298490618744,0.007264531125753963
4,7.980047,-73.578545,4250,0.0,0.2,4.002911941026189,2.691499705815114,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,3.9956856933139133,0.5250855203002388,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,3.9970589719974714,0.026341778214478397,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.99490055786799,3.994789022171903,0.00646492915299996,3.9886098226359255,3.994789022171903,4.001269984057881,0.0,0.0,0.0,0.0,0.0,0.0,0.19925000000000007,0.2,0.006077622890571612,0.2,0.2,0.2,28.07513428301036,2,Imag_MCPS,1000,4249.75,4250.0,7.901740314639554,4250.0,4250.0,4250.0,3.628362601111591,3.6283889300503116,0.0008321777461762407,3.996157890115186,3.99580044304298,0.007375381758985619,3.9887904671709533,3.99580044304298,4.003656744735537,0.1155,0.0,0.2222830402887274,0.0,0.0,0.5,0.19190000000000004,0.2,0.018422540541412853,0.15,0.2,0.2,15.90716019693075,105,Imag_MCPS,1000,4249.75,4250.0,7.901740314639554,4250.0,4250.0,4250.0,3.628362601111591,3.6283889300503116,0.0008321777461762407,3.995669885361002,3.9954914200550764,0.006917879634358193,3.9888083650296577,3.9954914200550764,4.002562903299329,0.1575,0.0,0.2596993453977118,0.0,0.0,0.5,0.19755,0.2,0.010793400761576494,0.2,0.2,0.2,11.537845906570716,213,Imag_MCPS,2,105,213,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,4250.0,0.0,0.2,0.5250855203002388,4249.75,7.901740314639554,3.628363382564678,0.1155,0.19190000000000004,3.996157890115186,0.007375381758985619
5,7.981742,-73.585571,4250,0.0,0.15,4.259643537924961,0.062069691467745054,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.15,4.2642562433344136,0.002259174524524239,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.15,4.286030036151451,0.00018937388559900234,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.275384874155039,4.2756704909144645,0.007403488117531238,4.267627590755059,4.2756704909144645,4.282773259252021,0.0095,0.0,0.06826236151789651,0.0,0.0,0.0,0.16329999999999995,0.15,0.022093211627103933,0.15,0.15,0.2,7.822909914644424,52,Bmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.273034774007603,4.2730661563547425,0.007785586750721529,4.265246366409962,4.2730661563547425,4.280887725570756,0.2585,0.5,0.25966853871811274,0.0,0.5,0.5,0.184,0.2,0.023323807579381208,0.15,0.2,0.2,5.280891350391394,96,Vmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.272013212951413,4.271885751363586,0.007418558798932304,4.264491276881574,4.271885751363586,4.279504022101197,0.0295,0.0,0.12798339736075146,0.0,0.0,0.0,0.18485000000000001,0.2,0.022977760987528798,0.15,0.2,0.2,2.326700112742871,229,Jmag_2MASS,52,96,229,Jmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,4250.0,0.5,0.2,0.002259174524524239,4250.0,0.0,3.6283889300503116,0.2585,0.184,4.273034774007603,0.007785586750721529
6,8.228736,-73.821953,5250,0.0,0.15,3.768118341574958,32.249368084090314,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,2.0,0.2,3.9029737556749087,0.07809949554742343,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.2,3.9339554388935487,0.0001887243739713004,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,5262.5,5250.0,54.48623679425842,5250.0,5250.0,5250.0,3.7211694727103715,3.720159303405957,0.004403225913808851,3.7681150604647597,3.767548137758551,0.011503793296061169,3.7576583023481596,3.767548137758551,3.7780391056797864,0.0,0.0,0.0,0.0,0.0,0.0,0.16475,0.15,0.02280213805764715,0.15,0.15,0.2,79.53232078044833,0,nan,1000,6171.5,6250.0,156.00560887352736,6000.0,6250.0,6250.0,3.790251498090497,3.7958800173440754,0.011007481594331386,3.928214039156834,3.9345082488830827,0.02597731247042253,3.898832207260137,3.9345082488830827,3.950032380515024,1.1325,1.0,0.36220677795977263,1.0,1.0,1.5,0.19915000000000002,0.2,0.006463551655243425,0.2,0.2,0.2,8.40305690193501,20,Hmag_2MASS,1000,6246.75,6250.0,180.07481084260507,6000.0,6250.0,6500.0,3.7954731577239884,3.7958800173440754,0.012548041462324373,3.9410911100944985,3.941258004602437,0.030252745770717283,3.9074361462886116,3.941258004602437,3.975800811188503,1.1625,1.0,0.39477050295076505,1.0,1.0,1.5,0.19890000000000002,0.2,0.007334166619323564,0.2,0.2,0.2,6.426290451309485,57,Hmag_2MASS,0,20,57,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,False,True,6250.0,1.0,0.2,0.0001887243739713004,6246.75,180.07481084260507,3.7956541254765086,1.1625,0.19890000000000002,3.9410911100944985,0.030252745770717283
7,8.560188,-73.619049,4250,0.5,0.15,4.064933589519927,9.775617552114152,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.5,0.2,4.059108844032982,0.015956276006450217,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,2.5,0.15,4.076107401208831,0.0011060596397391828,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4252.75,4250.0,26.075611210477884,4250.0,4250.0,4250.0,3.628661989471288,3.6283889300503116,0.002589160472258713,4.071947141528492,4.072585290086556,0.007739835808711304,4.064296776699325,4.072585290086556,4.079205287855877,0.493,0.5,0.05874521257089806,0.5,0.5,0.5,0.15114999999999998,0.15,0.0074951651082547895,0.15,0.15,0.15,35.267039534749834,0,nan,1000,4333.5,4250.0,117.909923246519,4250.0,4250.0,4500.0,3.636680007014473,3.6283889300503116,0.0117077874068882,4.073755502634181,4.073980387327888,0.008344996187039214,4.065694569477676,4.073980387327888,4.0818769360331615,0.78,1.0,0.6034069936618236,0.0,1.0,1.5,0.1676,0.15,0.023879698490558886,0.15,0.15,0.2,6.546486181111317,103,Vmag_APASS,1000,4349.75,4250.0,122.42319020512413,4250.0,4250.0,4500.0,3.6382935399566003,3.6283889300503116,0.01215592924776962,4.076311219554491,4.076271693057437,0.008406446513307748,4.067921457447124,4.076271693057437,4.085057797854262,1.204,1.5,1.0746552935709197,0.0,1.5,2.5,0.17004999999999998,0.15,0.024505050499845953,0.15,0.15,0.2,3.872174846141892,202,Hmag_2MASS,0,103,202,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False,4250.0,1.0,0.15,0.015956276006450217,4333.5,117.909923246519,3.636838800899878,0.78,0.1676,4.073755502634181,0.008344996187039214
8,8.637665,-73.873337,8250,2.5,0.15,4.203255024163757,0.46864355714889355,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.5,0.15,4.213895362487826,0.19908892592033198,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8500,2.5,0.2,4.2069355921480405,0.017148359933962007,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8269.5,8250.0,133.67778424255843,8250.0,8250.0,8500.0,3.9174225485731657,3.916453948549925,0.007017010837716542,4.200324047480011,4.19984564338177,0.009576508225822953,4.190768405486193,4.19984564338177,4.21057589975553,2.122,2.0,0.2147463620180794,2.0,2.0,2.5,0.18165,0.2,0.024099325716708347,0.15,0.2,0.2,7.693993893352388,10,Bmag_MCPS,1000,8212.5,8250.0,148.6396649619475,8000.0,8250.0,8250.0,3.914404384752435,3.916453948549925,0.007849513514699428,4.196541213698934,4.1955698697732196,0.01066612289006816,4.185768834944461,4.1955698697732196,4.207568149092538,2.171,2.0,0.23718979741970356,2.0,2.0,2.5,0.17425,0.15,0.024988747467610303,0.15,0.15,0.2,6.242728565311143,14,Imag_MCPS,1000,8200.0,8250.0,178.53571071357126,8000.0,8250.0,8250.0,3.9137118747640627,3.916453948549925,0.009390232658349902,4.1949870053600815,4.193281663966102,0.016349953758020223,4.179659423148501,4.193281663966102,4.2115352045193974,2.211,2.0,0.24693926378767714,2.0,2.0,2.5,0.17325,0.15,0.024938674784358534,0.15,0.15,0.2,3.6939853404791085,60,Imag_MCPS,10,14,60,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,8250.0,2.0,0.15,0.19908892592033198,8212.5,148.6396649619475,3.9144753825678373,2.171,0.17425,4.196541213698934,0.01066612289006816
9,8.763608,-73.549622,4500,0.0,0.2,4.2097753016558865,9.278282406268822,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.15,4.239438425165882,11.029395961903155,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.15,4.236519228204687,0.2184939656318326,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4256.75,4250.0,40.520827977720295,4250.0,4250.0,4250.0,3.6290591668108885,3.6283889300503116,0.004023488663650219,4.225318839578722,4.225921743568984,0.00779196375020295,4.2170476193848305,4.225921743568984,4.233241249287319,0.494,0.5,0.10229369482035539,0.5,0.5,0.5,0.15134999999999996,0.15,0.008104165595544064,0.15,0.15,0.15,47.39703125858592,1,Bmag_MCPS,1000,4256.75,4250.0,40.520827977720295,4250.0,4250.0,4250.0,3.6290591668108885,3.6283889300503116,0.004023488663650219,4.225213736600666,4.225767852894039,0.00819747066614181,4.216663749419769,4.225767852894039,4.233828995292367,0.5775,0.5,0.21504360023027888,0.5,0.5,1.0,0.15154999999999996,0.15,0.00866588137467852,0.15,0.15,0.15,42.49706099465852,0,nan,1000,4375.75,4500.0,124.99774997974964,4250.0,4500.0,4500.0,3.6408751926640033,3.6532125137753435,0.01241156844825168,4.230348883626542,4.230389186632317,0.007267702534693914,4.223112322076013,4.230389186632317,4.237407940848648,0.8665,0.5,0.9460062103390231,0.0,0.5,2.0,0.1747,0.15,0.024998199935195344,0.15,0.15,0.2,14.53889094112093,40,Vmag_APASS,1,0,40,Vmag_APASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False,4250.0,0.5,0.15,11.029395961903155,4256.75,40.520827977720295,3.6290781447017566,0.5775,0.15154999999999996,4.225213736600666,0.00819747066614181
