star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions,most_common_excluded_overall
0,7.521702,-73.913918,6250,1.0,0.15,4.010707654804396,1.7439366876654758,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.5,0.15,4.023922912282888,0.06526517636488632,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.0,0.15,4.026232946651313,0.0024557569747643,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6242.25,6250.0,43.32940687339258,6250.0,6250.0,6250.0,3.795330425568302,3.7958800173440754,0.0030727078279684738,4.018727433757665,4.0188885256863625,0.007561257922908827,4.01162642991422,4.0188885256863625,4.026043524219906,1.557,1.5,0.4756584909365121,1.0,1.5,2.0,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,15.006129135409413,0,nan,1000,6249.5,6250.0,11.169153951844338,6250.0,6250.0,6250.0,3.7958445598101545,3.7958800173440754,0.0007920613102297467,4.023103353393532,4.0229796974930085,0.007836945606007286,4.015938748212659,4.0229796974930085,4.031136955216947,2.0,2.0,0.4984977432245807,1.5,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,5.3225775774484285,84,I,1000,6264.5,6250.0,76.09040675407117,6250.0,6250.0,6250.0,3.7968547378978332,3.7958800173440754,0.005230885402422653,4.026139642047053,4.024901677217849,0.012265362359747851,4.016046813852217,4.024901677217849,4.036496244500334,1.831,2.0,0.6065797556793335,1.0,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,3.532452032207494,220,I,304,I
1,7.746443,-73.741425,6250,2.5,0.4,3.937044879407875,0.13917986132862425,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.35,3.948300694115254,0.02746297498008008,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,1.5,0.55,3.9933399019987066,0.0036415929883457836,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6237.5,6000.0,346.3650530870573,6000.0,6000.0,6500.0,3.794373522767135,3.7781512503836434,0.023235414173577235,3.9526740205667203,3.9524461295620714,0.009506974485824134,3.9429478371964852,3.9524461295620714,3.9625289637629564,1.4295,1.0,0.532240312265052,1.0,1.0,2.0,0.3724,0.25,0.20602970659591785,0.2,0.25,0.6,8.669224166788103,12,V,1000,6194.5,6000.0,336.5928549449617,6000.0,6000.0,6500.0,3.7913994709613745,3.7781512503836434,0.02264588836154918,3.9594720994790498,3.959621721589615,0.012650252599729362,3.947354378263627,3.959621721589615,3.970273329762165,1.8855,2.0,0.5719613186221599,1.0,2.0,2.5,0.30415000000000003,0.2,0.22150683398035378,0.15,0.2,0.5,7.706110467059107,5,H,1000,6224.5,6250.0,283.0189922955702,6000.0,6250.0,6500.0,3.79367640406646,3.7958800173440754,0.01905940142022372,3.969477227150719,3.9671195594204534,0.016255881060160484,3.9544644859062714,3.9671195594204534,3.9866766434927077,2.0345,2.0,0.40934062832804663,1.5,2.0,2.5,0.2784,0.2,0.18864898621513979,0.15,0.2,0.45,5.9106269675559915,32,H,49,H
2,7.925977,-73.53167,4500,0.5,0.35,3.9745993201839975,0.22522229644953914,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.3,4.000000662963019,0.014316595253256091,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.5,3.9914661741293807,0.00033869984853107513,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4559.5,4500.0,112.18177213790126,4500.0,4500.0,4750.0,3.6587875897087754,3.6532125137753435,0.010574420706357493,3.986327219440431,3.9862835950266544,0.007279104288510521,3.9790382462482046,3.9862835950266544,3.9937255544594383,0.395,0.5,0.26072015648967384,0.0,0.5,0.5,0.45345,0.4,0.13921421443229134,0.35,0.4,0.65,9.434556154587916,17,V,1000,4506.75,4500.0,61.37538187253909,4500.0,4500.0,4500.0,3.6538239566428716,3.6532125137753435,0.005831684054033215,3.9871935763366646,3.9874231578754844,0.007288596020273109,3.9799413063786457,3.9874231578754844,3.9944678742170576,0.114,0.0,0.248,0.0,0.0,0.5,0.31810000000000005,0.3,0.09613734966182498,0.25,0.3,0.4,5.9849954545197095,52,H,1000,4626.25,4500.0,165.4491991518847,4500.0,4500.0,4750.0,3.664955709618237,3.6532125137753435,0.015350354908504752,3.9916605026635326,3.9919587528748615,0.008140237373450801,3.9839077204621565,3.9919587528748615,3.9996158820196945,1.833,2.0,0.7801352446851764,1.0,2.0,2.5,0.5478999999999999,0.45,0.20676215804638914,0.35,0.45,0.75,1.9347890510372536,304,H,373,H
3,7.948884,-73.599243,4250,0.5,0.15,3.954907735188618,0.1801747229759128,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.55,3.9672312820198075,0.024865201011013534,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.35,3.98533743789872,0.0021656646211714527,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4482.5,4500.0,69.4172168845741,4500.0,4500.0,4500.0,3.651466807987338,3.6532125137753435,0.006862409631898298,3.962635306106702,3.962431599614894,0.007899807955209098,3.9550608201389275,3.962431599614894,3.970212294457901,0.04,0.0,0.13564659966250536,0.0,0.0,0.0,0.38195000000000007,0.4,0.0785919684191712,0.35,0.4,0.4,7.554279501304751,81,H,1000,4578.75,4500.0,147.00658998834032,4500.0,4500.0,4750.0,3.660521797256035,3.6532125137753435,0.014005197347869801,3.9630384255614284,3.962811179882003,0.008115696774379623,3.955291352452344,3.962811179882003,3.970990516734671,0.1735,0.0,0.3689820456336596,0.0,0.0,0.5,0.544,0.45,0.2222925999668005,0.35,0.45,0.8,4.7575570823884865,161,H,1000,4688.0,4750.0,194.3733520830466,4500.0,4750.0,5000.0,3.670612728273305,3.6766936096248664,0.01806642553021895,3.9762056155919665,3.9762055654893786,0.010617404719324524,3.965590987866295,3.9762055654893786,3.9863212641453094,1.657,2.0,0.9115102851860751,0.5,2.0,2.5,0.65895,0.7,0.2460333259946709,0.35,0.7,0.95,1.9508488596375948,320,H,562,H
4,7.980047,-73.578545,4250,0.0,0.3,3.997457742280878,0.19140895365436522,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.7,3.997678691083825,0.04640930046486795,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.0,0.75,3.9949424905274262,0.009255829173751402,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9879116502539644,3.987836507409136,0.0070419768550532575,3.9813880687547547,3.987836507409136,3.9947670028542475,0.0,0.0,0.0,0.0,0.0,0.0,0.27065,0.25,0.03796152657625875,0.25,0.25,0.3,18.645974934128674,5,I,1000,4372.5,4250.0,136.90781570093068,4250.0,4250.0,4500.0,3.64051892387869,3.6283889300503116,0.01350293810187762,3.991099206508278,3.990827179314529,0.007022518436872258,3.9843201956247576,3.990827179314529,3.9981579854795126,1.3195,1.5,0.8004184842943096,0.5,1.5,2.5,0.5184000000000001,0.42500000000000004,0.22667474495408615,0.3,0.42500000000000004,0.75,10.627862042219867,13,H,1000,4436.5,4500.0,139.0782154041387,4250.0,4500.0,4500.0,3.646826774236655,3.6532125137753435,0.013630630186941075,3.9933538378990607,3.9931165300464038,0.007153336634754587,3.9864188489442953,3.9931165300464038,4.0003437603447605,2.0945,2.5,0.5820822536377483,1.5,2.5,2.5,0.6385,0.7,0.20189787022155536,0.35,0.7,0.8,7.88049394371242,80,I,98,I
5,7.981742,-73.585571,4500,0.0,0.7,4.270487217047565,0.22460157539437983,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.7,4.270487217047565,0.14680672316464002,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,1.5,1.0,4.272969540646033,0.0024954807296634868,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4466.0,4500.0,85.6971411425142,4500.0,4500.0,4500.0,3.6498365063887395,3.6532125137753435,0.008509240632588311,4.263731498135491,4.263750295736578,0.0073766144356816315,4.256576078534748,4.263750295736578,4.270913551049219,0.0,0.0,0.0,0.0,0.0,0.0,0.66125,0.7,0.15776862013721232,0.65,0.7,0.75,27.489135241109167,55,I,1000,4445.0,4500.0,105.94810050208545,4250.0,4500.0,4500.0,3.6477459554043348,3.6532125137753435,0.010504917716534033,4.263361585603385,4.263522269226238,0.0074964041696790025,4.255979024131397,4.263522269226238,4.2708542687413225,0.0005,0.0,0.01580348062927911,0.0,0.0,0.0,0.6263500000000002,0.7,0.18045270155916202,0.3,0.7,0.75,25.031716010021057,113,I,1000,4598.25,4500.0,164.04096287208264,4500.0,4500.0,4750.0,3.662311705608157,3.6532125137753435,0.015683649075110377,4.272969476758916,4.272917932561191,0.009109450486886392,4.2637819623939865,4.272917932561191,4.28234335346728,0.4845,0.0,0.6917439916616551,0.0,0.0,1.0,0.7422000000000001,0.8,0.2312231822287722,0.55,0.8,1.0,2.96060645109904,793,I,961,I
6,8.228736,-73.821953,6500,1.0,1.0,3.798141242495404,135.55316526432216,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,1.5,1.0,3.808631572316872,43.035962603143055,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,5500,0.5,0.15,3.767498248764564,0.006171546390565566,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6477.5,6500.0,85.84142356694697,6500.0,6500.0,6500.0,3.8113671041761035,3.8129133566428557,0.006002533110133461,3.7962715883409355,3.796334244482577,0.006872948347751408,3.7892333058681706,3.796334244482577,3.802987744597001,0.997,1.0,0.054690035655501276,1.0,1.0,1.0,0.995,1.0,0.042485291572496024,1.0,1.0,1.0,204.68614835988035,0,nan,1000,6709.25,6750.0,93.01579167001698,6500.0,6750.0,6750.0,3.8266315388433485,3.829303772831025,0.006096435533463063,3.8194108453465927,3.8193162307536883,0.0072107579289195,3.812133702367409,3.8193162307536883,3.826626324110704,1.4205,1.5,0.18822792035189678,1.0,1.5,1.5,0.9856999999999999,1.0,0.02693529283301001,0.95,1.0,1.0,101.15098242969145,0,nan,1000,6418.5,6500.0,198.38787765385263,6250.0,6500.0,6500.0,3.8072119816744143,3.8129133566428557,0.014104869455335711,3.794046395726025,3.795061072583794,0.008769552806639004,3.7859753612307796,3.795061072583794,3.802029455060807,1.789,2.0,0.4821607615723204,1.5,2.0,2.5,0.9535,1.0,0.15105545339377854,0.95,1.0,1.0,31.253360993187307,63,J,63,J
7,8.560188,-73.619049,4500,0.0,0.5,4.0593768507588655,0.0026294339488370667,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.5,4.0593768507588655,0.002605784675502859,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,2.0,0.85,4.047641206577276,0.003003187139571647,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4470.75,4500.0,80.35507140187232,4500.0,4500.0,4500.0,3.6503081544795144,3.6532125137753435,0.007978803370701178,4.05846469372178,4.058376505311726,0.008029120130785708,4.0504112273829085,4.058376505311726,4.066360380504138,0.031,0.0,0.12057777573002412,0.0,0.0,0.0,0.4388500000000001,0.45,0.1025825399373597,0.4,0.45,0.5,12.143959093225828,6,H,1000,4466.5,4500.0,98.12109864855775,4500.0,4500.0,4500.0,3.6498606462865544,3.6532125137753435,0.009670627538640196,4.059096406877702,4.059065398488169,0.007720940734066868,4.051738882143714,4.059065398488169,4.066801663397577,0.0715,0.0,0.19656487478692625,0.0,0.0,0.0,0.3933000000000001,0.4,0.11903827115680067,0.35,0.4,0.45,6.424160110576109,42,H,1000,4529.5,4500.0,187.4293200115713,4250.0,4500.0,4750.0,3.6556786090968383,3.6532125137753435,0.017967251925749217,4.064437488369739,4.064482845184815,0.008558265572896673,4.055572308865528,4.064482845184815,4.073225500296366,1.3155,1.5,0.8724733520285878,0.5,1.5,2.5,0.5277000000000001,0.5,0.23942161556551234,0.2,0.5,0.8,1.020165509110736,449,H,497,H
8,8.637665,-73.873337,8500,2.5,0.15,4.2195340513037545,0.009406944903582178,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10500,3.0,0.5,4.323034943474448,0.008197019393030452,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10500_g+3.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,10000,2.0,0.35,4.3321806358546,0.0002578009124935604,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8572.75,8500.0,416.2570569972358,8250.0,8500.0,9000.0,3.9326310295372537,3.929418925714293,0.020386628615229323,4.214115943018855,4.213332005133442,0.01424773850761147,4.201097683710791,4.213332005133442,4.228014645417677,2.2965,2.5,0.2556124996943616,2.0,2.5,2.5,0.25,0.2,0.11117553687749837,0.15,0.2,0.35,4.061942717978625,54,H,1000,9796.5,9000.0,1771.2178719739704,8250.0,9000.0,11750.0,3.984477823906668,3.9542425094393248,0.07432392506171451,4.287216679205902,4.247829149817082,0.09959220835911516,4.199799888555234,4.247829149817082,4.39840051941534,2.3005,2.0,0.3807226680931935,2.0,2.0,3.0,0.36695000000000005,0.3,0.2065313474995987,0.15,0.3,0.6,2.7686003168992994,97,H,1000,10019.25,9500.0,1827.7217888672226,8250.0,9500.0,12000.0,3.9939103284016664,3.9777236052888476,0.07676481709230176,4.292056697855631,4.270266514531579,0.09911199151063474,4.1969582128835325,4.270266514531579,4.394092205577491,2.3075,2.0,0.36013018479433245,2.0,2.0,2.5,0.41095000000000004,0.35,0.2430485496768084,0.15,0.35,0.7,1.6908460001670904,225,H,376,H
9,8.763608,-73.549622,4500,0.0,0.45,4.227082735673535,0.6923128790491655,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.5,0.9,4.209298194798208,0.35306424218976573,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.4,4.239212745225443,0.0022786309594403226,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4498.75,4500.0,17.633419974582356,4500.0,4500.0,4500.0,3.6530883958567184,3.6532125137753435,0.00175089870839078,4.218969522437171,4.2189834066346386,0.007177774208990709,4.211823044187902,4.2189834066346386,4.226280525375211,0.0015,0.0,0.027345017827750638,0.0,0.0,0.0,0.4204000000000001,0.4,0.03973461966597894,0.4,0.4,0.45,26.130270025159298,6,V,1000,4500.75,4500.0,26.209492555179317,4500.0,4500.0,4500.0,3.65327758711139,3.6532125137753435,0.0025139888092057627,4.219637738766917,4.219406236349971,0.007623415579603106,4.211680747358623,4.219406236349971,4.2274257751646545,0.004,0.0,0.044542114902640165,0.0,0.0,0.0,0.40695000000000003,0.4,0.056206738919812815,0.35,0.4,0.45,22.43100607285925,5,V,1000,4634.75,4500.0,184.13293431648776,4500.0,4500.0,4750.0,3.6656903555035245,3.6532125137753435,0.01699804545049792,4.237371184359167,4.237283602252036,0.008656954476316541,4.229181633093933,4.237283602252036,4.245584401624302,1.0825,1.0,0.9200237768666634,0.0,1.0,2.5,0.46914999999999996,0.4,0.2419623472774225,0.25,0.4,0.75,1.6159731315701178,417,I,428,I
