star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean
0,7.521702,-73.913918,6250,2.0,0.15,4.029011982050476,1.0614940577106762,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.02887884831602,0.22142781880376428,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.029358164079665,0.04715123439426514,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6242.25,6250.0,43.32940687339258,6250.0,6250.0,6250.0,3.7953304255683014,3.7958800173440754,0.003072707827968474,4.019034365415963,4.0189196516726655,0.007353838087220302,4.012188086150608,4.0189196516726655,4.026107899964971,1.5895,1.5,0.5120934973225104,1.0,1.5,2.0,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,14.828811362313107,1000,6249.0,6250.0,15.7797338380595,6250.0,6250.0,6250.0,3.795809102276234,3.7958800173440754,0.0011190208956504014,4.023172831456484,4.023466558207728,0.007143878302210756,4.015924048405572,4.023466558207728,4.030028902914317,2.0245,2.0,0.5021451483386055,1.5,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,5.939679388149939,1000,6256.0,6250.0,63.94528911499267,6250.0,6250.0,6250.0,3.796274213506351,3.7958800173440754,0.004416011918842839,4.024828720882179,4.024431448432244,0.010644379739185856,4.01619777226531,4.024431448432244,4.032301738866762,1.823,2.0,0.5896363285958558,1.0,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,4.6615281101653725
1,7.746443,-73.741425,6500,1.5,0.55,3.9529933960155086,0.28601539366065765,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,7250,2.5,1.0,3.956354708331994,0.07596709561796913,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t7250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,0.5,3.961769780051868,0.03705119648188055,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6204.0,6000.0,305.1786362116457,6000.0,6000.0,6500.0,3.79217113762396,3.7781512503836434,0.020606157614615508,3.9521998748468894,3.952033134737176,0.00867526133504535,3.9435933173764353,3.952033134737176,3.960937389011205,1.3685,1.0,0.496948437969172,1.0,1.0,2.0,0.35435,0.25,0.186074118296984,0.2,0.25,0.55,8.639455059740644,1000,6165.75,6000.0,314.3874003518589,6000.0,6000.0,6250.0,3.7894545412345253,3.7781512503836434,0.021163276528205644,3.958977158684342,3.9589750921486515,0.012631279822972642,3.947171158790125,3.9589750921486515,3.970536045277324,1.8355,2.0,0.5715678000027643,1.0,2.0,2.5,0.28855000000000003,0.2,0.20897702624929854,0.15,0.2,0.45,7.6231840687485635,1000,6200.25,6250.0,280.7800518199254,6000.0,6250.0,6250.0,3.791988160118441,3.7958800173440754,0.01886336656464659,3.969542017166519,3.967865562562779,0.01594209787494876,3.9553646755578367,3.967865562562779,3.9873934545663237,2.063,2.0,0.4031513363490193,1.5,2.0,2.5,0.26285000000000003,0.2,0.18508748607077682,0.15,0.2,0.35,5.886027758852504
2,7.925977,-73.53167,4750,0.0,0.65,3.9963954496330683,0.1947450272806317,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.65,3.9963954496330683,0.10025172024238183,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,2.0,0.65,3.998990378173493,0.012960232048442502,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4567.75,4500.0,114.98885815591005,4500.0,4500.0,4750.0,3.6595666311221726,3.6532125137753435,0.01081853569896765,3.98598468651657,3.986313287816194,0.0073583632788166,3.9781590143588574,3.986313287816194,3.993198794516571,0.3665,0.5,0.2538262200798019,0.0,0.5,0.5,0.459,0.4,0.14187670703818864,0.35,0.4,0.65,9.532326807401795,1000,4506.75,4500.0,50.16908908880048,4500.0,4500.0,4500.0,3.6538372437348894,3.6532125137753435,0.004742672243040541,3.987003711635747,3.987057145789034,0.006840921264610371,3.9798621969550654,3.987057145789034,3.9941688476618102,0.1105,0.0,0.2313865812876797,0.0,0.0,0.5,0.31704999999999994,0.3,0.09017647974943356,0.25,0.3,0.4,6.211956410427,1000,4631.25,4500.0,162.6681821992242,4500.0,4500.0,4750.0,3.6654350045238306,3.6532125137753435,0.015054829805250554,3.9917015447695112,3.991498037391089,0.007274472445497481,3.9843564322518823,3.991498037391089,3.9991574682215347,1.928,2.5,0.7370997218830028,1.0,2.5,2.5,0.5555999999999999,0.45,0.20759007683413,0.35,0.45,0.75,2.3837106278700047
3,7.948884,-73.599243,4500,0.0,0.4,3.9584155263316942,0.5023278592883116,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.75,3.9560209449913963,0.1888658195368252,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,5000,0.5,1.0,3.9693617834663613,0.01349046749715711,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4498.5,4500.0,37.050641020095725,4500.0,4500.0,4500.0,3.653052832369989,3.6532125137753435,0.003607262268326395,3.9615097849438765,3.9610476735166746,0.0072737547486505195,3.954682835196931,3.9610476735166746,3.9685727157002533,0.0115,0.0,0.07495165108254788,0.0,0.0,0.0,0.3973500000000001,0.4,0.06004562848367899,0.35,0.4,0.4,7.926009786107289,1000,4606.75,4500.0,127.14927251069902,4500.0,4500.0,4750.0,3.6632295442879608,3.6532125137753435,0.01196927817822636,3.9617566990346895,3.9615915541370623,0.007157530300018678,3.954621016022382,3.9615915541370623,3.9688222482933373,0.0925,0.0,0.2412338077467584,0.0,0.0,0.0,0.5667000000000001,0.45,0.20861713735932627,0.35,0.45,0.8,5.432988534177034,1000,4754.5,4750.0,168.38868726847417,4500.0,4750.0,5000.0,3.676831822094765,3.6766936096248664,0.01541015618633168,3.9741905184188173,3.974376450402384,0.010496189529869514,3.9638681514870133,3.974376450402384,3.985004627261584,1.503,1.5,0.9682411889606846,0.0,1.5,2.5,0.7207,0.75,0.2266528402645773,0.4,0.75,0.9579999999999984,2.4577634952718768
4,7.980047,-73.578545,4250,0.0,0.35,3.9888632404508764,2.750988303129741,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.0,0.4,3.9941128007019753,0.47921990978341933,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,2.5,1.0,3.9986404909255784,0.02818996877716132,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9874884985230903,3.987609446426753,0.006958378003220696,3.9802877414533513,3.987609446426753,3.994735225764557,0.0,0.0,0.0,0.0,0.0,0.0,0.27175,0.25,0.03590873849079078,0.25,0.25,0.3,19.0058025153929,1000,4368.75,4250.0,134.94790661584935,4250.0,4250.0,4500.0,3.6401519400743165,3.6283889300503116,0.013321067614756621,3.990855090961774,3.9906855782488098,0.0068096893542906,3.9844412221093184,3.9906855782488098,3.997519867415823,1.362,1.5,0.7943273884236901,0.5,1.5,2.5,0.51425,0.4,0.22759489778991093,0.3,0.4,0.75,10.75411205322615,1000,4436.5,4500.0,137.72345479256612,4250.0,4500.0,4500.0,3.6468308017002817,3.6532125137753435,0.013503435978534598,3.9925774393652205,3.9926581311915466,0.006850461578417315,3.985867445216459,3.9926581311915466,3.9992597546056596,2.169,2.5,0.5147222552017738,1.5,2.5,2.5,0.64055,0.7,0.19969526158624795,0.35,0.7,0.8,8.42049457920967
5,7.981742,-73.585571,4250,0.0,0.3,4.26539221776858,4.968049396693642,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.7,4.271008540761656,4.328727551648299,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.9,4.286118006546793,0.8129557498131585,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4465.5,4500.0,86.22499637576101,4500.0,4500.0,4500.0,3.6497868592212894,3.6532125137753435,0.008561653666897104,4.263898066963495,4.263734752988732,0.007279615654134402,4.256682677167034,4.263734752988732,4.2708068583360745,0.001,0.0,0.022338307903688678,0.0,0.0,0.0,0.6608499999999999,0.7,0.1568909732903713,0.65,0.7,0.75,28.885687191478493,1000,4449.0,4500.0,101.36074190730847,4250.0,4500.0,4500.0,3.6481471602075617,3.6532125137753435,0.010060649503444328,4.263932887009437,4.263887221420048,0.007369892145481878,4.256349980542178,4.263887221420048,4.271170906181036,0.0,0.0,0.0,0.0,0.0,0.0,0.6326499999999999,0.7,0.17223959329956628,0.35,0.7,0.75,27.80965533472943,1000,4615.75,4750.0,154.2382491472203,4500.0,4750.0,4750.0,3.6639957947406256,3.6766936096248664,0.01469301225804526,4.277855410441234,4.277691106125701,0.008242336165614504,4.269930039188554,4.277691106125701,4.28583089749315,0.021,0.0,0.12473572062564917,0.0,0.0,0.0,0.70675,0.8,0.2303517690403093,0.5,0.8,0.95,16.810228487378208
6,8.228736,-73.821953,6500,1.0,1.0,3.791806553739571,137.31449970666955,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,1.5,1.0,3.822512952213361,51.68495141499527,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,1.0,3.796760884703174,8.205881094968614,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6478.5,6500.0,80.07964785137358,6500.0,6500.0,6500.0,3.8114396548432525,3.8129133566428557,0.005566498372524866,3.796322111866176,3.7963598502913714,0.006627019261325387,3.789701032917646,3.7963598502913714,3.8032382439681225,0.998,1.0,0.044676615807377355,1.0,1.0,1.0,0.9956999999999999,1.0,0.03341421853044,1.0,1.0,1.0,206.32947658245837,1000,6707.75,6750.0,96.96616677996506,6500.0,6750.0,6750.0,3.8265307649760936,3.829303772831025,0.006353253685571116,3.819599754129721,3.8199423774460253,0.007145318812781619,3.8120952950411984,3.8199423774460253,3.827006490591649,1.416,1.5,0.19220822042774344,1.0,1.5,1.5,0.9849,1.0,0.02961401695143704,0.95,1.0,1.0,102.18944375445975,1000,6453.0,6500.0,103.27632836231156,6250.0,6500.0,6500.0,3.8097051450330355,3.8129133566428557,0.007034897197525008,3.795158859166142,3.7957053100219773,0.007466522053580105,3.7876281407209555,3.7957053100219773,3.802376234778997,1.7915,2.0,0.47410731907448966,1.5,2.0,2.5,0.9862000000000001,1.0,0.03419883038935689,0.95,1.0,1.0,33.62733653044696
7,8.560188,-73.619049,4500,0.0,0.45,4.048643568236866,0.6548344270867803,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.4,4.045578067748866,0.053713530430044266,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.4,4.062562273233379,0.02521458744160456,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4479.75,4500.0,68.20877876050854,4500.0,4500.0,4500.0,3.651201803493616,3.6532125137753435,0.006772745321374646,4.057695394645186,4.057695714056873,0.007628594491158982,4.049908907181571,4.057695714056873,4.065066482454088,0.0235,0.0,0.10581942165784124,0.0,0.0,0.0,0.44795000000000007,0.45,0.08716821381673481,0.45,0.45,0.5,12.079648592157204,1000,4473.5,4500.0,93.79632188950694,4500.0,4500.0,4500.0,3.6505503366793537,3.6532125137753435,0.009224167485327988,4.058534746294499,4.058428213036736,0.007307608756468441,4.051373067777571,4.058428213036736,4.065809200547195,0.0605,0.0,0.16458964122933134,0.0,0.0,0.0,0.3977500000000001,0.4,0.1157040945688613,0.35,0.4,0.45,6.358388922623158,1000,4590.0,4500.0,151.73990905493517,4500.0,4500.0,4750.0,3.661574041124921,3.6532125137753435,0.01441879935883723,4.06256940015435,4.062729484792383,0.007232764671793665,4.05545749871555,4.062729484792383,4.0696501913438805,1.314,1.0,0.8610481984186484,0.5,1.0,2.5,0.599,0.55,0.20606794995826014,0.4,0.55,0.85,1.454603082870266
8,8.637665,-73.873337,9250,2.0,0.4,4.237711674095988,0.05548539048961817,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t9250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,9250,2.0,0.4,4.237711674095988,0.03533442449673656,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t9250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,14000,3.0,0.7,4.547448503622491,0.004689989757159646,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t14000_g+3.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8525.5,8500.0,410.1521059314459,8250.0,8500.0,9000.0,3.930245737393954,3.929418925714293,0.020010478449204724,4.2131884828266095,4.211871658612113,0.014217743991564221,4.1997175229045505,4.211871658612113,4.22722838298807,2.28,2.5,0.26095976701399776,2.0,2.5,2.5,0.2363,0.2,0.10621821877625327,0.15,0.2,0.35,4.612996588906542,1000,9700.75,8750.0,1756.5269532517855,8250.0,8750.0,11750.0,3.980301511823078,3.942008053022313,0.07351591499855996,4.284448535743415,4.246036586952441,0.09776514190968312,4.201581446028077,4.246036586952441,4.391103666911565,2.283,2.0,0.3767107643803134,2.0,2.0,3.0,0.34945,0.25,0.20545607194726564,0.15,0.25,0.6,3.201566957434586,1000,9969.75,9000.0,1861.22202799666,8250.0,9000.0,12000.0,3.9914834771362204,3.9542425094393248,0.07813196474719734,4.291096415982362,4.266787574089849,0.10201475777188859,4.191973398509285,4.266787574089849,4.396963201583972,2.314,2.0,0.38066258024660116,2.0,2.0,3.0,0.39875,0.35,0.24172492113971203,0.15,0.35,0.7,2.1732200999579736
9,8.763608,-73.549622,4500,0.0,0.45,4.22048762394691,5.382380248697874,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.45,4.221106385574648,3.039071126151622,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.3,4.243280474470442,0.009336885601802654,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4498.25,4500.0,20.84316434709471,4500.0,4500.0,4500.0,3.653038748689269,3.6532125137753435,0.002069608141058822,4.219271903882586,4.219146689896089,0.007258551123157344,4.212035353879375,4.219146689896089,4.226684140420512,0.0015,0.0,0.027345017827750638,0.0,0.0,0.0,0.4190500000000001,0.4,0.040491943643149564,0.4,0.4,0.45,26.331243066310922,1000,4500.0,4500.0,25.0,4500.0,4500.0,4500.0,3.653205801335966,3.6532125137753435,0.002416157238136281,4.21997433476472,4.219992508027319,0.007149181981403168,4.213073148549734,4.219992508027319,4.22715004077455,0.0025,0.0,0.03526683994916472,0.0,0.0,0.0,0.40530000000000005,0.4,0.048444917174044186,0.35,0.4,0.45,22.59676248962795,1000,4638.75,4500.0,183.53729185100232,4500.0,4500.0,4750.0,3.666068360032152,3.6532125137753435,0.016904901132615294,4.237367292702313,4.237360463321648,0.008191862742232908,4.228976247883038,4.237360463321648,4.245318038476083,0.908,0.5,0.9143500423798318,0.0,0.5,2.5,0.46165,0.35,0.2517673082431474,0.2,0.35,0.75,3.29806935735841
