star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions,most_common_excluded_overall,bands_used_for_fitting
0,7.521702,-73.913918,6250,2.0,0.15,4.025841810843728,2.241048906912375,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.044635526150243,0.21144259426994103,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.021496841359245,0.025459689924918802,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6243.0,6250.0,41.24318125460256,6250.0,6250.0,6250.0,3.7953836118691835,3.7958800173440754,0.0029247629966788276,4.025898395588731,4.02589741404589,0.00667731101554236,4.019505041064891,4.02589741404589,4.032404021148798,1.9315,2.0,0.46103985727917274,1.5,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,17.77409000411883,0,nan,1000,6249.25,6250.0,13.672508913875317,6250.0,6250.0,6250.0,3.795826831043194,3.7958800173440754,0.0009695868971941002,4.030064102776046,4.030298155880137,0.0067181017176404624,4.022887308308732,4.030298155880137,4.036595593049009,2.255,2.5,0.3584340943604556,2.0,2.5,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,7.721886275267136,9,Hmag_2MASS,1000,6238.5,6250.0,52.371270750288275,6250.0,6250.0,6250.0,3.795064494063895,3.7958800173440754,0.003713912218214203,4.0290240614096655,4.030009755853753,0.008832908606957277,4.021286625895872,4.030009755853753,4.03711758531982,2.114,2.5,0.5049792074927442,1.5,2.5,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,4.925017386504356,74,Hmag_2MASS,83,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
1,7.746443,-73.741425,6750,2.5,0.7,3.9596380674523717,0.6510408618772201,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,1.5,0.75,3.970894334000008,0.3958238015327609,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,2.0,0.15,3.953640467544385,0.16623252893059537,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6369.75,6250.0,290.6414242670855,6000.0,6250.0,6750.0,3.8036741063154214,3.7958800173440754,0.019692740331435733,3.958496645629073,3.9587304989508887,0.005984090116956745,3.9522504027426124,3.9587304989508887,3.96422639959924,1.6105,1.5,0.5148201142146642,1.0,1.5,2.0,0.47695000000000004,0.45,0.1892780956687804,0.25,0.45,0.7,12.550927004626969,4,Imag_MCPS,1000,6349.75,6250.0,396.374113054826,6000.0,6250.0,7000.0,3.8019325627685294,3.7958800173440754,0.026577356168305893,3.961157557436008,3.961106490063588,0.007622394413077781,3.953685885365843,3.961106490063588,3.9688026319267817,1.951,2.0,0.45727344117059754,1.5,2.0,2.5,0.44370000000000004,0.35,0.2941093504123934,0.15,0.35,0.85,11.28835946033255,6,Imag_MCPS,1000,6243.5,6000.0,349.2244979952008,6000.0,6000.0,6500.0,3.794779234791966,3.7781512503836434,0.02347215038262716,3.959702503680613,3.959799066626943,0.008208561835281158,3.9514131657313776,3.959799066626943,3.9675806734679684,1.9995,2.0,0.400312065768695,1.5,2.0,2.5,0.37885,0.25,0.24209538925803606,0.15,0.25,0.65,8.631065467146318,8,Imag_MCPS,18,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
2,7.925977,-73.53167,4500,0.5,0.35,3.9938051851146397,0.6220023698831093,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.35,3.9867936360014036,0.8845317137111818,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,2.5,0.75,3.999669371532006,0.0011165350654482162,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4555.25,4500.0,104.92824929445835,4500.0,4500.0,4750.0,3.6583991509823366,3.6532125137753435,0.009863311330005077,3.994447744947693,3.9948850317686837,0.0075264092333393985,3.9863787547386313,3.9948850317686837,4.002162693761578,0.3835,0.5,0.22951633928764198,0.0,0.5,0.5,0.4423500000000001,0.4,0.12694084252123114,0.35,0.4,0.65,15.91236105622004,2,Bmag_APASS,1000,4549.25,4500.0,106.12227617234753,4500.0,4500.0,4750.0,3.6578242112247548,3.6532125137753435,0.009965494850919502,3.9947785365449446,3.9948969650473636,0.007142422522253439,3.9875532208891125,3.9948969650473636,4.002100281160897,0.3765,0.5,0.33316324827327515,0.0,0.5,0.5,0.4252,0.4,0.1594520617615213,0.3,0.4,0.65,14.032963567357813,1,Imag_MCPS,1000,4634.0,4500.0,164.4506004853737,4500.0,4500.0,4750.0,3.6656860329918493,3.6532125137753435,0.015266221931852108,3.997268441787244,3.997262463892779,0.007332628281915004,3.9899627079290774,3.997262463892779,4.0044375875756115,1.8475,2.0,0.741615634948455,1.0,2.0,2.5,0.5921000000000001,0.5,0.20284868744953713,0.4,0.5,0.8,3.9235025158392776,98,Hmag_2MASS,101,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
3,7.948884,-73.599243,4500,0.0,0.15,4.013730613891262,84.96982385587287,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.3,4.003673533914354,0.0020443253106064395,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,5000,0.5,0.8,4.0169120056127365,7.251180558777626e-06,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5000_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.005839894914722,4.00635786435905,0.00669272489592409,3.9990160534879986,4.00635786435905,4.012382780223869,0.0,0.0,0.0,0.0,0.0,0.0,0.15579999999999997,0.15,0.01616663230236898,0.15,0.15,0.15,161.02649179125106,0,nan,1000,4668.25,4500.0,193.66062454717016,4500.0,4500.0,5000.0,3.6687866332767762,3.6532125137753435,0.01779093491833195,4.008116176296616,4.008135936165933,0.008332688434837308,3.9997654992975944,4.008135936165933,4.0159026971377925,1.8975,2.0,0.5968615836188488,1.0,2.0,2.5,0.4495,0.35,0.2398327542267736,0.2,0.35,0.8,1.0755284318060192,497,Hmag_2MASS,1000,4590.5,4500.0,153.89850551581065,4500.0,4500.0,4750.0,3.6616241106161174,3.6532125137753435,0.014193216579238038,4.0064134693989395,4.00627617026484,0.008547079290623314,3.998165615009647,4.00627617026484,4.015147287544259,1.458,1.5,0.7988967392598371,0.5,1.5,2.5,0.34085000000000004,0.25,0.18492911479807608,0.2,0.25,0.55,0.3147774367897567,780,Hmag_2MASS,1277,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
4,7.980047,-73.578545,4250,0.0,0.25,3.99723767803156,6.338177334706991,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.3,4.00849770396484,1.5197990996048598,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.5,0.3,4.000406167548923,0.012151914956463805,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9979259499529807,3.997959440785995,0.0073139396780777365,3.9904890331123464,3.997959440785995,4.005251524789374,0.0,0.0,0.0,0.0,0.0,0.0,0.2521,0.25,0.03287232878881567,0.2,0.25,0.3,28.64090915811727,0,nan,1000,4291.75,4250.0,93.91186027334354,4250.0,4250.0,4500.0,3.6325331260445175,3.6283889300503116,0.009318459240012403,3.9971078918880294,3.997216921390547,0.006822246984467335,3.9902765609439363,3.997216921390547,4.003797992130943,0.508,0.5,0.3839739574502417,0.0,0.5,1.0,0.35995,0.3,0.16971593178013666,0.2,0.3,0.6,16.18064554595655,2,Hmag_2MASS,1000,4413.5,4500.0,136.0799397413153,4250.0,4500.0,4500.0,3.6445765667308407,3.6532125137753435,0.013397544981681522,3.9999827231074954,4.000051624000073,0.006768641159445462,3.993304698516317,4.000051624000073,4.006885516008168,2.039,2.5,0.5839340716211034,1.5,2.5,2.5,0.6135999999999999,0.7,0.20273144797983364,0.35,0.7,0.8,11.647579997008735,24,Imag_MCPS,26,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
5,7.981742,-73.585571,4250,0.0,0.2,4.2575756348441,0.0734098082259686,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,1.0,4.276214787321425,0.004194895522057614,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.0,0.25,4.279494213261053,1.7272761478750745e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4305.25,4250.0,103.73011857700732,4250.0,4250.0,4500.0,3.633874942053545,3.6283889300503116,0.010299813133215315,4.2764598021404385,4.276540901267916,0.0078590883387307,4.2689007589275825,4.276540901267916,4.284049724727156,0.011,0.0,0.07334166619323562,0.0,0.0,0.0,0.27905,0.2,0.1871859970724306,0.15,0.2,0.6,7.700038072142972,50,Hmag_2MASS,1000,4475.5,4500.0,177.19974604947942,4250.0,4500.0,4750.0,3.65050190758006,3.6532125137753435,0.017167663317409182,4.281741186160898,4.282274985072846,0.009192634845385265,4.272269883213467,4.282274985072846,4.290958710776874,0.59,0.5,0.579568805233684,0.0,0.5,1.0,0.6363,0.7,0.24955422256495682,0.3,0.7,0.9,0.47872707433299305,654,Hmag_2MASS,1000,4505.5,4500.0,175.98224342245442,4250.0,4500.0,4750.0,3.653410928257537,3.6532125137753435,0.016994269541511495,4.281900357734372,4.28274591695648,0.00906247004802876,4.272797284136998,4.28274591695648,4.290785510349732,0.835,0.5,0.7738055311252303,0.0,0.5,1.5,0.6885,0.75,0.2334582403771604,0.4,0.75,0.95,0.06831965884931597,895,Hmag_2MASS,1599,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
6,8.228736,-73.821953,5500,0.0,0.35,3.7873780221543516,24.175028773510732,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,7250,2.0,0.95,3.9214764853613144,0.0013301781295046054,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t7250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,2.5,0.7,3.9312904653285687,1.7580594422379711e-06,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,5506.75,5500.0,70.83034307413737,5500.0,5500.0,5500.0,3.740862345444891,3.7403626894942437,0.005243081837550594,3.7704875935069966,3.7708051062807426,0.00906439752646751,3.7611837368112,3.7708051062807426,3.7790768656712483,0.009,0.0,0.09444045743218316,0.0,0.0,0.0,0.4543000000000001,0.45,0.07184364968457546,0.4,0.45,0.5,77.88908749312219,0,nan,1000,7105.25,7250.0,336.5039932898271,6750.0,7250.0,7500.0,3.851075904166522,3.8603380065709936,0.021095171943154974,3.9132481358029563,3.9122728433949305,0.022778774968285852,3.890293752012265,3.9122728433949305,3.935986775924283,2.1445,2.5,0.44706794785580417,1.5,2.5,2.5,0.9160499999999999,1.0,0.15172309481420423,0.8420000000000002,1.0,1.0,2.9033350072205595,362,Hmag_2MASS,1000,6971.0,7000.0,407.01228482688333,6500.0,7000.0,7250.0,3.8425502001676333,3.845098040014257,0.025488767528782076,3.916264107802218,3.914812924468859,0.028999498026904855,3.8878378479507414,3.914812924468859,3.9432251307379,2.035,2.0,0.4655910222502147,1.5,2.0,2.5,0.8499500000000001,0.95,0.1930349644494489,0.65,0.95,1.0,1.1373746483739091,663,Hmag_2MASS,1025,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
7,8.560188,-73.619049,4500,0.0,0.4,4.074264943901177,4.9451872206206104,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.45,4.071612693473166,0.0007960749233374287,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.7,4.1028004570879,3.45165925708621e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4481.5,4500.0,65.44272304847958,4500.0,4500.0,4500.0,3.6513755685796916,3.6532125137753435,0.0064980916591520325,4.075481259004995,4.075362307482145,0.00772821980567687,4.067233349901951,4.075362307482145,4.083440276662291,0.032,0.0,0.12237646832622684,0.0,0.0,0.0,0.3936500000000001,0.4,0.07521421075834007,0.35,0.4,0.45,28.849155009104724,0,nan,1000,4479.75,4500.0,119.488231638099,4500.0,4500.0,4500.0,3.6510985697139393,3.6532125137753435,0.011626297121748603,4.077566031525208,4.078065041029191,0.008336763303021685,4.069057710439759,4.078065041029191,4.085704789860821,0.3555,0.0,0.47473123975571696,0.0,0.0,1.0,0.356,0.35,0.14033531273346705,0.25,0.35,0.45,1.811313656573149,289,Hmag_2MASS,1000,4514.0,4500.0,182.15103623092568,4250.0,4500.0,4750.0,3.6542110097162586,3.6532125137753435,0.017414921319463834,4.080754606466333,4.081034028424175,0.008822355683199706,4.071622367459418,4.081034028424175,4.089565575308578,1.4505,1.5,0.8104318293354477,0.5,1.5,2.5,0.45500000000000007,0.45,0.2136469049623701,0.2,0.45,0.7,0.19980833065364903,779,Hmag_2MASS,1068,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
8,8.637665,-73.873337,9000,2.0,0.35,4.226265428566415,0.35701947281554475,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t9000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,9500,2.5,0.4,4.272602987876675,0.1263218144461683,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t9500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8500,2.5,0.3,4.2186440755559635,0.0022972289251081135,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8534.0,8500.0,363.61930641812734,8250.0,8500.0,9000.0,3.930767589433607,3.929418925714293,0.018183731331682308,4.21214359235044,4.210638408223836,0.01327210928438478,4.1996867158829,4.210638408223836,4.2244325208174045,2.225,2.0,0.248746859276655,2.0,2.0,2.5,0.26604999999999995,0.25,0.08783448923970583,0.2,0.25,0.35,6.186536854544525,4,Hmag_2MASS,1000,8955.5,8500.0,1144.2878789885,8000.0,8500.0,9750.0,3.9489820550216064,3.929418925714293,0.05035849472724568,4.235486121512602,4.213255491016927,0.06005078263631754,4.194246413503067,4.213255491016927,4.2755336602882,2.255,2.0,0.3216753021293366,2.0,2.0,2.5,0.30775,0.25,0.15143459809435889,0.15,0.25,0.45,5.230131897830844,9,Hmag_2MASS,1000,9962.0,9500.0,1917.5977158935082,8250.0,9500.0,12000.0,3.990712696320994,3.9777236052888476,0.08039260853087848,4.282360022900977,4.240247967207814,0.10059273915612336,4.192295786875638,4.240247967207814,4.382944018580541,2.3945,2.5,0.3906657778715714,2.0,2.5,3.0,0.43865000000000004,0.42500000000000004,0.24250500510298753,0.15,0.42500000000000004,0.7,2.6202322446794915,99,Hmag_2MASS,112,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
9,8.763608,-73.549622,4500,0.0,0.45,4.2425179405479305,4.356626318136875,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.45,4.2425179405479305,4.102524684587376,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.3,4.2270583163547295,0.02912060349415651,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4499.5,4500.0,11.169153951844338,4500.0,4500.0,4500.0,3.6531628666078935,3.6532125137753435,0.001109033713045516,4.229689690867604,4.229646383502079,0.007405379359085879,4.222200134541865,4.229646383502079,4.237106141125591,0.001,0.0,0.022338307903688678,0.0,0.0,0.0,0.40295000000000003,0.4,0.031603757687971225,0.4,0.4,0.45,32.97128934852392,0,nan,1000,4510.25,4500.0,49.57254784656524,4500.0,4500.0,4500.0,3.6541752387051742,3.6532125137753435,0.004656070989961023,4.22963094263032,4.229440513436227,0.007476752128793458,4.22195462886082,4.229440513436227,4.23693207480017,0.0,0.0,0.0,0.0,0.0,0.0,0.4066,0.4,0.08234949908772975,0.35,0.4,0.4,27.3651393084678,0,nan,1000,4733.75,4750.0,162.93691263799005,4500.0,4750.0,5000.0,3.674946704920092,3.6766936096248664,0.015009335884928393,4.236598619607062,4.23652689691888,0.007412054400708809,4.228928183361491,4.23652689691888,4.244262138485572,1.172,1.0,0.89800668148962,0.0,1.0,2.5,0.7178,0.75,0.19087472331348643,0.45,0.75,0.95,8.020664781382862,31,Imag_MCPS,31,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
