star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions_U_redder,total_exclusions_B_redder,total_exclusions_V_redder,most_common_excluded_overall,bands_used_for_fitting
0,7.521702,-73.913918,6250,2.0,0.15,4.025784191152772,1.6754882964631652,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.15,4.030858717045089,0.5877191091185106,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.5,0.15,4.031645727934602,0.020999236645356474,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6249.75,6250.0,7.901740314639554,6250.0,6250.0,6250.0,3.7958622885771147,3.7958800173440754,0.0005603524504803819,4.023910491310221,4.023724180690406,0.006929524036599213,4.0171068571519974,4.023724180690406,4.031084889537073,1.73,1.5,0.471805044483418,1.0,1.5,2.0,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,17.25724408827962,0,nan,1000,6250.0,6250.0,0.0,6250.0,6250.0,6250.0,3.7958800173440754,3.7958800173440754,0.0,4.027731801783389,4.027829160942389,0.0069648435826694405,4.020702368396945,4.027829160942389,4.0347152053690305,2.053,2.0,0.4463081894834556,1.5,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,8.370612071827859,15,Imag_MCPS,1000,6246.25,6250.0,34.2554740151118,6250.0,6250.0,6250.0,3.7956126949843454,3.7958800173440754,0.002419103982109378,4.027319966814575,4.027420145113446,0.007754372635690019,4.020202479479763,4.027420145113446,4.034758010964151,2.046,2.0,0.5238167618547539,1.5,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,5.52843825434524,92,Imag_MCPS,0,15,92,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
1,7.746443,-73.741425,6000,1.0,0.2,3.95086228814814,1.0084107480732847,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.5,0.35,3.967673677750975,0.1960324841970768,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.0,0.35,3.9555260944644544,0.08009092931898347,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6173.5,6250.0,200.05686691538483,6000.0,6250.0,6500.0,3.790307552522471,3.7958800173440754,0.013882703486497587,3.957134049153408,3.957283901345467,0.0056458195978086835,3.9514058099356912,3.957283901345467,3.962722086736124,1.3975,1.5,0.44748603330159925,1.0,1.5,2.0,0.3079,0.3,0.12285190271216803,0.2,0.3,0.45,12.89179996671566,14,Vmag_MCPS,1000,6144.75,6000.0,200.89782850991696,6000.0,6000.0,6250.0,3.788278800589972,3.7781512503836434,0.013892207983035702,3.962520505162121,3.962902889445768,0.0069221041936442535,3.9559724268376053,3.962902889445768,3.969527591421205,2.023,2.0,0.46040308426421295,1.5,2.0,2.5,0.2641,0.2,0.13873063828873564,0.15,0.2,0.35,11.249158227122305,24,Vmag_MCPS,1000,6111.5,6000.0,179.77138259467216,6000.0,6000.0,6250.0,3.785965015159779,3.7781512503836434,0.012515790408705653,3.9594153771940737,3.959366936487536,0.008190937682907917,3.951676152432243,3.959366936487536,3.9678266286574972,2.0695,2.0,0.4369436462520081,1.5,2.0,2.5,0.25935,0.2,0.11981267670826824,0.15,0.2,0.35,7.923829913897055,34,Imag_MCPS,14,24,34,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
2,7.925977,-73.53167,4500,0.5,0.35,3.99304328298561,1.064805391977056,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.35,3.9917768605529,1.7987451782006578,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.35,3.991846927242775,0.0152945447997412,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4508.5,4500.0,59.60494945891658,4500.0,4500.0,4500.0,3.6539947611797214,3.6532125137753435,0.005669678859629923,3.991940014985904,3.9922479234865067,0.0070339817216144365,3.9844845346205537,3.9922479234865067,3.9991113852795555,0.522,0.5,0.20252407264322927,0.5,0.5,0.5,0.35724999999999996,0.35,0.06745322453374634,0.3,0.35,0.4,15.696977968017102,6,Bmag_MCPS,1000,4506.75,4500.0,66.27169456110202,4500.0,4500.0,4500.0,3.6538169686300197,3.6532125137753435,0.006340977241566862,3.992171282918089,3.9924647578581807,0.007072718731434421,3.984941115762552,3.9924647578581807,3.999404406985332,0.509,0.5,0.3604427832541526,0.0,0.5,1.0,0.3467,0.35,0.09101708630801143,0.25,0.35,0.4,14.033784235702319,0,nan,1000,4526.25,4500.0,91.50648884095597,4500.0,4500.0,4500.0,3.6556514546555077,3.6532125137753435,0.008656957343206359,3.994054607280265,3.9938414218635447,0.006671531256726541,3.987335784530443,3.9938414218635447,4.001026900751432,1.9555,2.5,0.7316213159825238,1.0,2.5,2.5,0.4219000000000001,0.4,0.11178278042704072,0.35,0.4,0.45,3.164381084781191,95,Imag_MCPS,6,0,95,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
3,7.948884,-73.599243,4500,0.0,0.15,4.0090310048149655,94.13749946003239,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,1.5,0.5,4.005123494193883,0.0005789108743943682,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.0,0.2,3.9999904513992424,1.70748762751037e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.007439930591509,4.007492267799812,0.006538110793861603,4.001219141790779,4.007492267799812,4.0140908948815985,0.0,0.0,0.0,0.0,0.0,0.0,0.15164999999999998,0.15,0.008931825121440749,0.15,0.15,0.15,156.5201797660509,0,nan,1000,4622.75,4500.0,140.96076581801051,4500.0,4500.0,4750.0,3.664700771998754,3.6532125137753435,0.013131390664538964,4.002483248199352,4.002291785863358,0.006796768733264584,3.995829432843247,4.002291785863358,4.009504186394899,1.946,2.0,0.5496216880728052,1.5,2.0,2.5,0.3445,0.25,0.165800331724638,0.2,0.25,0.5,1.4987841276330032,182,Hmag_2MASS,1000,4608.75,4500.0,135.50253687662087,4500.0,4500.0,4750.0,3.6633978776425646,3.6532125137753435,0.012644578056151497,4.0016530818050775,4.001575618417725,0.007333906012862143,3.994212947750313,4.001575618417725,4.0088805514692085,1.6795,2.0,0.821297601360189,0.5,2.0,2.5,0.32135,0.25,0.16135884698398165,0.15,0.25,0.5,0.7535893082246286,310,Hmag_2MASS,0,182,310,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
4,7.980047,-73.578545,4250,0.0,0.3,4.012556357425635,2.241945008352617,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.0,0.35,4.000040182475624,0.25882579096844327,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,2.5,0.35,4.0052830059457625,0.050289053489461145,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9980298285317013,3.9981554911788635,0.007186516183820654,3.991055194146469,3.9981554911788635,4.005095150952982,0.0,0.0,0.0,0.0,0.0,0.0,0.22865000000000005,0.25,0.029183514181811615,0.2,0.25,0.25,25.784125641982065,2,Imag_MCPS,1000,4290.25,4250.0,91.88273776939823,4250.0,4250.0,4500.0,3.632385527030043,3.6283889300503116,0.009123435335615233,3.996463798211697,3.9964828705481175,0.0069652936394736685,3.98970905158044,3.9964828705481175,4.003551468553695,0.678,0.5,0.4193041855264505,0.5,0.5,1.0,0.34854999999999997,0.3,0.14359804142118374,0.25,0.3,0.5,12.651374959300817,41,Imag_MCPS,1000,4365.25,4250.0,129.5373980748417,4250.0,4250.0,4500.0,3.639819177268797,3.6283889300503116,0.012823089154369033,3.998934015938191,3.998716682952586,0.007006400665171263,3.992264456358236,3.998716682952586,4.005943081830529,2.0315,2.5,0.6998269428937414,1.0,2.5,2.5,0.49339999999999995,0.4,0.18003177497319744,0.3,0.4,0.7,5.989541664528518,239,Imag_MCPS,2,41,239,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
5,7.981742,-73.585571,4250,0.0,0.15,4.272100067879554,0.07737749526950898,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.0,0.6,4.271312095981255,0.0009670609502331255,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,4.2868061784813865,6.07954490066502e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4305.5,4250.0,104.49760762811749,4250.0,4250.0,4500.0,3.6338984231493945,3.6283889300503116,0.010370395162662804,4.2753651434531275,4.2756549964198545,0.007331409386643269,4.268028833965671,4.2756549964198545,4.28256894968671,0.043,0.0,0.14018202452525785,0.0,0.0,0.0,0.26059999999999994,0.15,0.16350119265620053,0.15,0.15,0.55,6.725107436924285,65,Bmag_APASS,1000,4423.75,4500.0,139.63680567815922,4250.0,4500.0,4500.0,3.645574196345434,3.6532125137753435,0.013710538269273265,4.273278933256185,4.273337710685507,0.007419790761549851,4.265948331507483,4.273337710685507,4.280678327711652,0.767,0.5,0.6039130732150116,0.0,0.5,1.5,0.5066,0.55,0.20632847597944398,0.25,0.55,0.7,0.8782626339424602,145,Hmag_2MASS,1000,4437.25,4500.0,140.97850013388566,4250.0,4500.0,4500.0,3.646894532548453,3.6532125137753435,0.013807392653761687,4.273716192629943,4.27403145181784,0.007142863260680212,4.266636211583633,4.27403145181784,4.28065309305903,1.132,1.0,0.913551312187772,0.0,1.0,2.5,0.53095,0.6,0.21399672310575224,0.25,0.6,0.7,0.28436834858954196,249,Hmag_2MASS,65,145,249,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
6,8.228736,-73.821953,6250,1.0,1.0,3.7549371855752,17.23002135878107,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,1.5,0.5,3.951081426164842,0.0014073121628514985,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,0.5,3.9250698272200952,8.078836540548483e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6207.0,6250.0,175.07426995421116,6250.0,6250.0,6250.0,3.792696693582624,3.7958800173440754,0.012898617452311545,3.7661857086491985,3.766403231750238,0.009662325835748192,3.7565468330389113,3.766403231750238,3.775532509738642,0.947,1.0,0.22403347964087864,1.0,1.0,1.0,0.96575,1.0,0.12300177844242739,1.0,1.0,1.0,56.03422107284075,0,nan,1000,6920.25,7000.0,343.44204387348964,6500.0,7000.0,7250.0,3.8395852755272464,3.845098040014257,0.021609507929134502,3.898873170381408,3.897505983283674,0.02505785943273502,3.874589581368922,3.897505983283674,3.9232299626720737,2.0105,2.0,0.4986378946690675,1.5,2.0,2.5,0.74715,0.75,0.20610525830264495,0.55,0.75,1.0,1.2466268690502058,28,Jmag_2MASS,1000,6920.5,7000.0,361.15059185885326,6500.0,7000.0,7250.0,3.8395466636835702,3.845098040014257,0.022653948386688265,3.9011802337637045,3.9000781893936773,0.031024853469607136,3.871079704703765,3.9000781893936773,3.9319639478178523,1.9905,2.0,0.48079075490279555,1.5,2.0,2.5,0.739,0.75,0.2166771792321471,0.5,0.75,1.0,0.25808699324312945,157,Hmag_2MASS,0,28,157,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
7,8.560188,-73.619049,4500,0.0,0.35,4.063497706866231,3.9702929174945667,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.3,4.075715665159126,0.0030108810028243727,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.0,0.4,4.074516886644889,0.0003322163012263663,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4473.25,4500.0,77.27831196396568,4500.0,4500.0,4500.0,3.650556390316765,3.6532125137753435,0.007673298588666546,4.073400259711916,4.07316702330261,0.007613649325952475,4.066018117687095,4.07316702330261,4.081224069595338,0.0525,0.0,0.1532767105596933,0.0,0.0,0.0,0.33914999999999995,0.35,0.07113211300109115,0.3,0.35,0.4,27.89312276910752,0,nan,1000,4464.75,4500.0,105.21377048656701,4250.0,4500.0,4500.0,3.6496749365963375,3.6532125137753435,0.010338601167786687,4.073766058235067,4.073572107165358,0.007640362442617077,4.066186921078238,4.073572107165358,4.081544293556667,0.448,0.5,0.5047732164051496,0.0,0.5,1.0,0.30565,0.3,0.10535927818659352,0.2,0.3,0.4,2.475867540426374,144,Jmag_2MASS,1000,4491.5,4500.0,118.54429551859508,4500.0,4500.0,4500.0,3.652239908666118,3.6532125137753435,0.011477762078859338,4.075147473785486,4.074992486579292,0.007461353292190983,4.067782063340971,4.074992486579292,4.082685537363904,1.7955,2.5,0.8552366631523698,1.0,2.5,2.5,0.3841,0.4,0.13524862291350695,0.25,0.4,0.45,0.6334211392333443,282,Hmag_2MASS,0,144,282,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS"
8,8.637665,-73.873337,8750,2.0,0.3,4.204754868206507,0.4663838765782571,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8750_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.0,0.2,4.188356478206548,0.1670570262663787,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8000,2.0,0.15,4.179216603609343,0.012069449458012737,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8581.5,8500.0,400.6029830143555,8250.0,8500.0,9000.0,3.9330999201011547,3.929418925714293,0.019957398303362676,4.2063786212541965,4.205462720727089,0.011435905161261643,4.195634619354077,4.205462720727089,4.218564413125947,2.2025,2.0,0.2474747461863533,2.0,2.0,2.5,0.24744999999999998,0.25,0.08106168947166104,0.15,0.25,0.35,6.612795908379663,10,Bmag_MCPS,1000,8702.5,8250.0,841.275073920534,8000.0,8250.0,9250.0,3.9378085755453602,3.916453948549925,0.038976899459518356,4.2114081952270315,4.203668984752141,0.02734877271369082,4.188631224982861,4.203668984752141,4.235933461124544,2.1765,2.0,0.27220901895418526,2.0,2.0,2.5,0.2471,0.2,0.11002995046804302,0.15,0.2,0.35,5.578875497207469,11,Vmag_MCPS,1000,8918.0,8250.0,1217.7955493431564,8000.0,8250.0,10000.0,3.9467092843785205,3.916453948549925,0.05388236236175173,4.211111818309519,4.203289208629739,0.031705167949756335,4.182708815293137,4.203289208629739,4.243562559183831,2.212,2.0,0.30423017601809327,2.0,2.0,2.5,0.27779999999999994,0.2,0.15520038659745664,0.15,0.2,0.45,3.2448280779252583,42,Imag_MCPS,10,11,42,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
9,8.763608,-73.549622,4500,0.0,0.35,4.228618976958214,5.332841990478347,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.45,4.220704648280044,1.2908490390010807,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,2.5,0.65,4.23382282218809,0.09507397837306797,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4498.5,4500.0,19.30673457630782,4500.0,4500.0,4500.0,3.653063572272994,3.6532125137753435,0.0019170493688477825,4.228434095535645,4.228055454795527,0.007433530073297685,4.221544333549078,4.228055454795527,4.236191205561014,0.003,0.0,0.038613469152615654,0.0,0.0,0.0,0.35879999999999995,0.35,0.03228869771297692,0.35,0.35,0.4,32.28461273437268,0,nan,1000,4502.25,4500.0,39.464382676028265,4500.0,4500.0,4500.0,3.653413103734985,3.6532125137753435,0.0037765854682141726,4.2281188182218665,4.227916127739759,0.007385662363227475,4.220703989968188,4.227916127739759,4.235725701266271,0.0075,0.0,0.060776228905716094,0.0,0.0,0.0,0.35429999999999995,0.35,0.05627175135003353,0.3,0.35,0.4,27.33103945501193,1,Vmag_MCPS,1000,4547.0,4500.0,115.28659939472584,4500.0,4500.0,4750.0,3.657587787452686,3.6532125137753435,0.010868660997093845,4.2312333476903135,4.23123293871587,0.006926505056076205,4.224281055032582,4.23123293871587,4.238349342889306,1.4085,1.5,0.9216169215026384,0.0,1.5,2.5,0.44170000000000004,0.4,0.14805779277025574,0.3,0.4,0.65,8.30257201267824,61,Imag_MCPS,0,1,61,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS"
