star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions_U_redder,total_exclusions_B_redder,total_exclusions_V_redder,most_common_excluded_overall,bands_used_for_fitting,best_period,amplitude_1,mag_amplitude_1
0,7.521702,-73.913918,6250,1.5,0.15,4.015419843665892,0.8214910182581043,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.15,4.021258706754088,0.2188265819874066,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.0,0.15,4.0268191610478175,0.0230074074191564,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6250.0,6250.0,0.0,6250.0,6250.0,6250.0,3.795880017344075,3.795880017344075,0.0,4.018216922155665,4.018169955383387,0.0060498623638818,4.0122171892867105,4.018169955383387,4.024142811291647,1.145,1.0,0.2827985148475854,1.0,1.0,1.5,0.1894,0.2,0.0204362423160423,0.15,0.2,0.2,14.668465044866384,1,Imag_MCPS,1000,6250.75,6250.0,13.672508913875316,6250.0,6250.0,6250.0,3.795931117361971,3.795880017344075,0.0009315539335825,4.025503156587502,4.025431400466053,0.0068866070913787,4.018960768745597,4.025431400466053,4.032123571530671,1.911,2.0,0.4975731102059275,1.5,2.0,2.5,0.1577499999999999,0.15,0.0180952341791975,0.15,0.15,0.15,8.07919981989024,17,Imag_MCPS,1000,6250.5,6250.0,24.994999499899976,6250.0,6250.0,6250.0,3.7959113023120263,3.795880017344075,0.0017312035837918,4.025059677686276,4.024911897942945,0.0074802078871186,4.018427368488552,4.024911897942945,4.032500585946979,1.978,2.0,0.5201115265017687,1.5,2.0,2.5,0.1598499999999999,0.15,0.0198866161022935,0.15,0.15,0.2,5.256088942391292,87,Imag_MCPS,1,17,87,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",2.2546201058554836,1.0833832962351515,0.1147408643569765
1,7.746443,-73.741425,6000,1.0,0.15,3.9567606666257977,1.5222180372817913,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,2.5,0.2,3.9710583583971713,0.7563409137976529,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,1.0,0.2,3.963026336936662,0.1303736735036818,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,3.7781512503836434,3.7781512503836434,0.0,3.9566605375190913,3.956848134644778,0.0059224867297339,3.950621432780466,3.956848134644778,3.9624837127647856,1.124,1.0,0.222764449587451,1.0,1.0,1.5,0.1936,0.2,0.0167044904142568,0.2,0.2,0.2,14.096135201105795,6,Imag_MCPS,1000,6000.25,6000.0,7.901740314639554,6000.0,6000.0,6000.0,3.778168979150604,3.7781512503836434,0.0005603524504803,3.9628744569352663,3.9630200499156034,0.0067519173669325,3.9561827536787777,3.9630200499156034,3.969447116315594,1.8675,2.0,0.4895852836840584,1.5,2.0,2.5,0.17185,0.15,0.024800756036863,0.15,0.15,0.2,11.721933446625265,15,Vmag_MCPS,1000,5989.5,6000.0,56.03347213942752,6000.0,6000.0,6000.0,3.777371174150827,3.7781512503836434,0.0041255220766596,3.959199604580683,3.959382910242924,0.008763410905761,3.951184252742771,3.959382910242924,3.967581012916244,1.8985,2.0,0.5834790056205964,1.0,2.0,2.5,0.18205,0.2,0.0239853601182054,0.15,0.2,0.2,8.40925954534801,22,Imag_MCPS,6,15,22,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",28.584579294336375,0.8780818514099265,0.1169100000000007
2,7.925977,-73.53167,4250,1.0,0.15,3.988404218825154,4.490425210073154,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,3.995535106115692,2.972675190939002,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,3.990474508059368,0.2362540246526694,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4386.0,4500.0,124.51505933018704,4250.0,4500.0,4500.0,3.641892959596729,3.653212513775343,0.0123636400012408,3.989737306962837,3.99052661831688,0.0081159917061665,3.9814579573608686,3.99052661831688,3.997564343122595,0.6365,0.0,0.7047111110235172,0.0,0.0,1.5,0.1748999999999999,0.15,0.0249997999992,0.15,0.15,0.2,28.577815412590265,1,Bmag_APASS,1000,4428.75,4500.0,112.85361093026664,4250.0,4500.0,4500.0,3.64613779241371,3.653212513775343,0.0112057242383986,3.989143257983466,3.989190208175395,0.0064546603219738,3.9829077977772074,3.989190208175395,3.995166257213375,0.419,0.0,0.6785565562279979,0.0,0.0,1.5,0.18575,0.2,0.0225707221860533,0.15,0.2,0.2,19.96479666275119,0,,1000,4420.5,4500.0,116.42486847748636,4250.0,4500.0,4500.0,3.645318614150784,3.653212513775343,0.0115603298813068,3.990456213263189,3.990650856491923,0.0068472464273952,3.9833793390888586,3.990650856491923,3.997318311291818,0.7385,0.0,1.0972090730576374,0.0,0.0,2.5,0.1841,0.2,0.0232849736954972,0.15,0.2,0.2,9.644765480038595,42,Hmag_2MASS,1,0,42,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",201.54708472066625,0.7762365740466901,0.2250049901942876
3,7.948884,-73.599243,4500,0.0,0.15,4.007329686924073,95.09558048373654,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.2,4.011044373441746,0.0048883825237997,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.2,3.9903621363352144,7.253943436910171e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.653212513775343,3.653212513775343,0.0,4.00746541758949,4.007480728853444,0.0066574238955105,4.000791088724591,4.007480728853444,4.014297803239079,0.0,0.0,0.0,0.0,0.0,0.0,0.1515999999999999,0.15,0.0088,0.15,0.15,0.15,156.92241898997307,0,,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.653212513775343,3.653212513775343,0.0,4.001897282920803,4.0015375608626815,0.0071775117728906,3.994720868462722,4.0015375608626815,4.00878391193409,1.788,1.75,0.4410850258170186,1.5,1.75,2.5,0.18705,0.2,0.0219042804036106,0.15,0.2,0.2,3.343983747006482,140,Hmag_2MASS,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.653212513775343,3.653212513775343,0.0,4.000340134139264,3.999918376864675,0.00736622529826,3.993101075327719,3.999918376864675,4.007429033133944,1.0055,1.0,0.7518109802337287,0.5,1.0,2.0,0.17125,0.15,0.0247171499166064,0.15,0.15,0.2,1.460024338406209,338,Hmag_2MASS,0,140,338,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",481.2353185510351,0.7014468972835672,0.1742398942969014
4,7.980047,-73.578545,4250,0.0,0.2,4.002337654428506,1.1982805002166923,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.15,3.982827530989467,0.2911735487679086,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,4.0049085575043835,0.088015739350855,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.628388930050312,1.3322676295501878e-15,3.994967907591191,3.9951921130899457,0.0065234532411296,3.988314412442022,3.9951921130899457,4.0013599641368165,0.0,0.0,0.0,0.0,0.0,0.0,0.1993,0.2,0.0058745212570898,0.2,0.2,0.2,28.380271723765247,3,Imag_MCPS,1000,4249.75,4250.0,7.901740314639554,4250.0,4250.0,4250.0,3.6283626011115904,3.628388930050312,0.0008321777461762,3.9961995245747257,3.996324563171071,0.0071472563072423,3.989129565448207,3.996324563171071,4.003080812659255,0.1165,0.0,0.2228850600645992,0.0,0.0,0.5,0.19145,0.2,0.0188254482018357,0.15,0.2,0.2,16.693176121599443,86,Imag_MCPS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.628388930050312,1.3322676295501878e-15,3.995771978007981,3.995829872978104,0.0069140047260119,3.9891006818593486,3.995829872978104,4.002355483952282,0.1575,0.0,0.2488850136107034,0.0,0.0,0.5,0.1976,0.2,0.0106883113727099,0.2,0.2,0.2,11.930202834518235,216,Imag_MCPS,3,86,216,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",282.08961684975844,0.6797448713460805,0.242213892817972
5,7.981742,-73.585571,4250,0.0,0.15,4.271753522506918,0.0985706812749583,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.2,4.267865286091769,0.0217570578638835,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,4.269735479481679,0.000771341600766,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.628388930050312,1.3322676295501878e-15,4.275459589970942,4.275404387484907,0.0073354859563023,4.268526202089212,4.275404387484907,4.282811754193001,0.0075,0.0,0.060776228905716,0.0,0.0,0.0,0.1630999999999999,0.15,0.0219861319926903,0.15,0.15,0.2,7.719021530645276,70,Bmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.628388930050312,1.3322676295501878e-15,4.2730241604357175,4.2729167558989865,0.0077758259576204,4.265575195992206,4.2729167558989865,4.281041578325456,0.2685,0.5,0.2620262391440979,0.0,0.5,0.5,0.185,0.2,0.0229128784747792,0.15,0.2,0.2,5.192103180569864,93,Vmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.628388930050312,1.3322676295501878e-15,4.272575406869239,4.27249472166184,0.0073381944299987,4.2654200303709535,4.27249472166184,4.27981271400998,0.027,0.0,0.1333079142436787,0.0,0.0,0.0,0.1849,0.2,0.0229562627620438,0.15,0.2,0.2,2.1846145042413956,224,Jmag_2MASS,70,93,224,Jmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",963.750879628878,0.896179296143524,0.1741702355491501
6,8.228736,-73.821953,5250,0.0,0.15,3.777078532769025,31.9168346363008,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,1.0,0.15,3.9118925586041304,0.1712964038748441,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,1.5,0.2,3.9917155750229742,0.0005617933613277,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,5261.5,5250.0,52.371270750288275,5250.0,5250.0,5250.0,3.721088659166018,3.720159303405957,0.004232308011609,3.768355979308875,3.767946967206564,0.0115279260821175,3.757169469392568,3.767946967206564,3.7776644974808895,0.0,0.0,0.0,0.0,0.0,0.0,0.1653499999999999,0.15,0.0230624695121749,0.15,0.15,0.2,79.7670743580868,0,,1000,6182.0,6250.0,158.905632373431,6000.0,6250.0,6250.0,3.790984742615961,3.795880017344075,0.0112100097313759,3.9298852514220126,3.9355203277603414,0.025996281189597,3.900922014350543,3.9355203277603414,3.950227955281366,1.129,1.0,0.3658674623412144,1.0,1.0,1.5,0.19885,0.2,0.0074951651082547,0.2,0.2,0.2,8.342836561286513,6,Hmag_2MASS,1000,6257.5,6250.0,182.87632432876595,6000.0,6250.0,6500.0,3.796214960313786,3.795880017344075,0.0127160501461909,3.942341407485906,3.941749912737867,0.0306268349957423,3.908595713836919,3.941749912737867,3.979067558713404,1.1545,1.0,0.3819420767603381,1.0,1.0,1.5,0.19905,0.2,0.0068262361517896,0.2,0.2,0.2,6.414123397134457,48,Hmag_2MASS,0,6,48,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",15.836137953837914,6.247079169856184,0.9422570671349018
7,8.560188,-73.619049,4250,0.5,0.2,4.08042200090838,5.647255506831813,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.0,0.15,4.08600704140421,0.007351467231571,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,2.5,0.15,4.074325603901831,0.0002196994969747,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4253.25,4250.0,28.31850101965145,4250.0,4250.0,4250.0,3.628711636638738,3.628388930050312,0.0028118667241148,4.072119553149865,4.072433776162622,0.0081052611509995,4.0640699295957505,4.072433776162622,4.080146518502521,0.49,0.5,0.0699999999999999,0.5,0.5,0.5,0.1514499999999999,0.15,0.008390321805509,0.15,0.15,0.15,34.63326842119518,0,,1000,4334.25,4250.0,118.17122111580298,4250.0,4250.0,4500.0,3.6367544777656486,3.628388930050312,0.0117337328050295,4.07367052927382,4.073213633630427,0.0089312829245503,4.0647373135192435,4.073213633630427,4.082194505334566,0.772,1.0,0.6000133331851885,0.0,1.0,1.5,0.16795,0.15,0.0239853601182054,0.15,0.15,0.2,6.727846144245411,108,Vmag_APASS,1000,4347.75,4250.0,121.9935961434042,4250.0,4250.0,4500.0,3.6380949512868,3.628388930050312,0.012113272991134,4.07624841148788,4.076202434422832,0.0087690292735123,4.0675047385973055,4.076202434422832,4.084518166657797,1.219,1.5,1.071232467767851,0.0,1.5,2.5,0.1695499999999999,0.15,0.0243987192286808,0.15,0.15,0.2,3.954844880923699,200,Hmag_2MASS,0,108,200,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",6.9017019001918465,0.7349419715396519,0.1940851978059967
8,8.637665,-73.873337,8250,2.0,0.2,4.199737821148625,0.2007787247910068,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.0,0.2,4.192985342598652,0.1946217407263357,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.5,0.15,4.202327979017398,0.0291772732729653,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8276.0,8250.0,124.79583326377528,8250.0,8250.0,8500.0,3.9177711853923167,3.916453948549925,0.0065412406184655,4.200896122986561,4.200644751469139,0.0093300000661604,4.191150376612499,4.200644751469139,4.210452739714029,2.14,2.0,0.2244994432064365,2.0,2.0,2.5,0.1814,0.2,0.0241669195389069,0.15,0.2,0.2,7.641339923133664,12,Bmag_MCPS,1000,8221.0,8250.0,146.31814651641812,8000.0,8250.0,8250.0,3.914855943420114,3.916453948549925,0.0077231059603156,4.197063561639271,4.19623109624005,0.0104996166200596,4.186698693402892,4.19623109624005,4.208081618507229,2.168,2.0,0.2361694307060081,2.0,2.0,2.5,0.17525,0.2,0.0249987499687484,0.15,0.2,0.2,6.123624994561955,18,Imag_MCPS,1000,8204.0,8250.0,172.86989327236827,8000.0,8250.0,8250.0,3.9139296717659464,3.916453948549925,0.0091207486959464,4.19468158859448,4.193717653263251,0.0155178507122706,4.179849101919407,4.193717653263251,4.2104293260008525,2.199,2.0,0.2447427220572656,2.0,2.0,2.5,0.17445,0.15,0.0249939492677728,0.15,0.15,0.2,3.660048607210632,63,Imag_MCPS,12,18,63,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",345.6511763094278,1.463199999999997,0.0631999999999983
9,8.763608,-73.549622,4250,0.5,0.15,4.2304007278895615,15.160392332274007,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.15,4.237136430726672,12.445225233069326,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.2,4.231274185882549,0.119010180421921,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4256.0,4250.0,38.262252939417984,4250.0,4250.0,4250.0,3.6289846960597134,3.628388930050312,0.0037992249573999,4.225124838810702,4.225218899129997,0.007891315502353,4.217353813508718,4.225218899129997,4.233063772981354,0.5035,0.5,0.1172081481809178,0.5,0.5,0.5,0.1512499999999999,0.15,0.0078062474979979,0.15,0.15,0.15,48.37000410669299,0,,1000,4256.5,4250.0,39.78379066906521,4250.0,4250.0,4250.0,3.629034343227164,3.628388930050312,0.0039503050342907,4.224922431779161,4.224949663497604,0.0083311228653379,4.216261843573674,4.224949663497604,4.233507099593432,0.5925,0.5,0.2251527259439689,0.5,0.5,1.0,0.15145,0.15,0.008390321805509,0.15,0.15,0.15,43.06622397118901,0,,1000,4377.25,4500.0,124.97974835948422,4250.0,4500.0,4500.0,3.6410241341663534,3.653212513775343,0.0124097809893403,4.230534917123669,4.230063536535681,0.0079110867124202,4.22288942716618,4.230063536535681,4.23818545970458,0.893,0.0,0.9788007968938318,0.0,0.0,2.0,0.1748,0.15,0.0249991999871995,0.15,0.15,0.2,14.586565108100023,51,Vmag_APASS,0,0,51,Vmag_APASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",388.6442267030881,0.839945478677107,0.1559742693987189
