star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions_U_redder,total_exclusions_B_redder,total_exclusions_V_redder,most_common_excluded_overall,bands_used_for_fitting,use_U,use_B,use_V
0,7.521702,-73.913918,6250,1.0,0.2,4.016053846135054,1.4255333116346809,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.15,4.027155067387018,0.13414157726880907,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.0399767595769145,0.007774614146502868,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6249.75,6250.0,7.901740314639554,6250.0,6250.0,6250.0,3.7958622885771147,3.7958800173440754,0.0005603524504803818,4.018716943324668,4.018936633752212,0.006139437694629519,4.012333881268471,4.018936633752212,4.024687162975031,1.1745,1.0,0.30870657589367934,1.0,1.0,1.5,0.19090000000000004,0.2,0.01929222641376573,0.15,0.2,0.2,15.057663797294643,1,Jmag_2MASS,1000,6250.25,6250.0,7.901740314639554,6250.0,6250.0,6250.0,3.795897050683374,3.7958800173440754,0.0005383720953204247,4.026125390899343,4.026271139564815,0.006892971339614095,4.019358590019282,4.026271139564815,4.033217907152827,1.9295,2.0,0.48350775588401884,1.5,2.0,2.5,0.15844999999999995,0.15,0.018737595897019454,0.15,0.15,0.2,8.068772703302956,16,Imag_MCPS,1000,6250.75,6250.0,30.609434820002804,6250.0,6250.0,6250.0,3.7959269447960016,3.7958800173440754,0.002120109598791034,4.0257963492475275,4.025900670085514,0.007380737828930878,4.018548691862191,4.025900670085514,4.033022446006083,1.984,2.0,0.5145327977884403,1.5,2.0,2.5,0.16029999999999997,0.15,0.020221523186941193,0.15,0.15,0.2,5.158451556867407,91,Imag_MCPS,1,16,91,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False
1,7.746443,-73.741425,6000,1.0,0.2,3.962092353269231,1.3011673049355346,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,1.0,0.2,3.962389544292673,0.7581013462120116,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6000,2.0,0.15,3.963369487162711,0.10887584029852934,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6000.0,6000.0,0.0,6000.0,6000.0,6000.0,3.7781512503836434,3.7781512503836434,0.0,3.956216620537024,3.9563506692935944,0.0059968854381885,3.950272481428703,3.9563506692935944,3.96209771281597,1.1145,1.0,0.2171169039941386,1.0,1.0,1.5,0.19425000000000003,0.2,0.015951097140949277,0.2,0.2,0.2,13.824222594495964,6,Imag_MCPS,1000,6000.25,6000.0,7.901740314639554,6000.0,6000.0,6000.0,3.778168979150604,3.7781512503836434,0.0005603524504803818,3.9625110230482004,3.962826645275185,0.0070153230348753105,3.9552534723229624,3.962826645275185,3.9696654563480887,1.856,2.0,0.50523657824825,1.5,2.0,2.5,0.17189999999999997,0.15,0.02480705544799706,0.15,0.15,0.2,11.380784440332816,13,Vmag_MCPS,1000,5990.75,6000.0,49.76884065356556,6000.0,6000.0,6000.0,3.777465855095498,3.7781512503836434,0.003671875108278001,3.9593141321901193,3.959674993981962,0.008730012364500375,3.9512276999683373,3.959674993981962,3.9679908748563317,1.922,2.0,0.5575984218055141,1.5,2.0,2.5,0.1806,0.2,0.02436472860509635,0.15,0.2,0.2,8.233906842317232,25,Imag_MCPS,6,13,25,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False
2,7.925977,-73.53167,4250,1.5,0.15,3.9884807071967723,8.458980698671034,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.5,0.15,3.991247111140124,2.259480648008493,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.15,3.9916739055357433,0.1908824534176315,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4387.5,4500.0,124.3734296383275,4250.0,4500.0,4500.0,3.6420419010990797,3.6532125137753435,0.01234957697518555,3.989843411793015,3.9903372591764246,0.008086767528126076,3.981741247049152,3.9903372591764246,3.9976975918795095,0.626,0.0,0.7054246947761327,0.0,0.0,1.5,0.17445,0.15,0.0249939492677728,0.15,0.15,0.2,28.206727877347237,0,nan,1000,4432.25,4500.0,111.11902402379171,4250.0,4500.0,4500.0,3.64648532258586,3.6532125137753435,0.0110334895851937,3.9892089592691513,3.9892901872107123,0.006400311419424349,3.98280105935765,3.9892901872107123,3.9956812923955636,0.3925,0.0,0.6615842727876774,0.0,0.0,1.5,0.1864,0.2,0.022249494376277414,0.15,0.2,0.2,19.84130427051152,5,Vmag_MCPS,1000,4423.5,4500.0,115.20742163593455,4250.0,4500.0,4500.0,3.6456164971554843,3.6532125137753435,0.011439444306898692,3.9905499949419156,3.990344696518486,0.00672225222297203,3.9839309276290797,3.990344696518486,3.997328216420999,0.7045,0.0,1.0739784681268056,0.0,0.0,2.5,0.18465000000000004,0.2,0.023062469512174978,0.15,0.2,0.2,9.562946722109276,55,Hmag_2MASS,0,5,55,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False
3,7.948884,-73.599243,4500,0.0,0.15,3.9972667476885584,94.68189359997285,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.0,0.2,4.0015512529100175,0.010623309258230854,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.2,4.003592002337759,1.56030258002472e-05,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.007340549794866,4.007471306185982,0.00632861812027403,4.0009240588853725,4.007471306185982,4.013828101241194,0.0,0.0,0.0,0.0,0.0,0.0,0.15184999999999996,0.15,0.00943808773004363,0.15,0.15,0.15,158.8839270966431,0,nan,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.0017923111378275,4.001742107576803,0.006924850666912205,3.994834791688748,4.001742107576803,4.008418593450599,1.7935,2.0,0.43830098106210075,1.5,2.0,2.5,0.18715000000000004,0.2,0.02184897022745009,0.15,0.2,0.2,3.518084160482191,146,Hmag_2MASS,1000,4500.0,4500.0,0.0,4500.0,4500.0,4500.0,3.6532125137753435,3.6532125137753435,0.0,4.0000597889164435,3.99979170303284,0.006921147333270479,3.9932759728361034,3.99979170303284,4.006863083170454,1.027,1.0,0.7620833287771095,0.5,1.0,2.0,0.17179999999999998,0.15,0.0247943541960665,0.15,0.15,0.2,1.4758006375172101,365,Hmag_2MASS,0,146,365,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,False,True
4,7.980047,-73.578545,4250,0.0,0.2,4.010789754628966,2.078181020810445,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,4.007217243478177,0.4546484029752925,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.15,4.002525659037233,0.20591713709806858,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.995109219976206,3.9949341593284724,0.006595967280469464,3.9885455530364355,3.9949341593284724,4.001541281615794,0.0,0.0,0.0,0.0,0.0,0.0,0.19940000000000002,0.2,0.0054442630355264815,0.2,0.2,0.2,28.5860847707575,2,Imag_MCPS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.996202307534012,3.996264345337602,0.007134334106155896,3.989022310590414,3.996264345337602,4.003253588547914,0.1135,0.0,0.20944629383209434,0.0,0.0,0.5,0.19090000000000004,0.2,0.019292226413765733,0.15,0.2,0.2,16.45438686220013,93,Imag_MCPS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9956802413294565,3.9957186099419006,0.007037076986241139,3.9884078806197363,3.9957186099419006,4.002663493407082,0.154,0.0,0.24348305895893455,0.0,0.0,0.5,0.19750000000000006,0.2,0.010897247358851687,0.2,0.2,0.2,11.930314073271674,209,Imag_MCPS,2,93,209,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False
5,7.981742,-73.585571,4250,0.0,0.2,4.285702349917429,0.03820711706287296,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.2,4.258727811037965,0.01427467349152341,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.0,0.2,4.2746225292433415,0.0024185390939695317,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.274897732218434,4.2747150687454685,0.00728055040358441,4.2675472145416355,4.2747150687454685,4.282208209129708,0.014,0.0,0.08248636250920512,0.0,0.0,0.0,0.16409999999999997,0.15,0.022498666627158156,0.15,0.15,0.2,8.019673631217291,51,Bmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.272763934108797,4.272530723722959,0.007797322972547775,4.264699849229716,4.272530723722959,4.280795035384409,0.2605,0.5,0.2681226398497523,0.0,0.5,0.5,0.18565,0.2,0.022618079051944275,0.15,0.2,0.2,5.356590410347056,89,Vmag_APASS,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,4.272181030799009,4.272450671740731,0.007462789537672804,4.264587079300263,4.272450671740731,4.279666419612135,0.036,0.0,0.14901006677402706,0.0,0.0,0.0,0.18485000000000001,0.2,0.022977760987528795,0.15,0.2,0.2,2.353944684203331,221,Jmag_2MASS,51,89,221,Jmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False
6,8.228736,-73.821953,5250,0.0,0.15,3.7586469221686833,23.969180142803275,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.0,0.2,3.955672728605608,0.006066330102753313,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,0.15,3.991559521257384,0.0009734296406364554,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,5264.25,5250.0,57.96065475820645,5250.0,5250.0,5250.0,3.721310896412989,3.720159303405957,0.004684005944039734,3.76893201140524,3.768103830407022,0.012305227042653067,3.757914785768475,3.768103830407022,3.7789873900498248,0.0,0.0,0.0,0.0,0.0,0.0,0.16595,0.15,0.023304452364301557,0.15,0.15,0.2,78.99789927488777,0,nan,1000,6170.5,6250.0,156.69955328589805,6000.0,6250.0,6250.0,3.7901799333930244,3.7958800173440754,0.011052544114929582,3.928214531402067,3.935073311573969,0.02618500312379676,3.8984462149659533,3.935073311573969,3.9488107197800404,1.1185,1.0,0.3517211253251644,1.0,1.0,1.0,0.19910000000000003,0.2,0.006647555941848104,0.2,0.2,0.2,8.513048455405102,11,Hmag_2MASS,1000,6240.25,6250.0,181.91326916967876,6000.0,6250.0,6500.0,3.795016972767547,3.7958800173440754,0.0126866109176922,3.9399675711309365,3.941353809040006,0.030599840841921952,3.9038267002045006,3.941353809040006,3.9750182557104377,1.1485,1.0,0.3856134722750231,1.0,1.0,1.5,0.19885000000000005,0.2,0.0074951651082547895,0.2,0.2,0.2,6.634512091720752,42,Hmag_2MASS,0,11,42,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False
7,8.560188,-73.619049,4250,0.5,0.15,4.0669499571750185,1.9959337417338436,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.5,0.15,4.081069011741594,0.0024481429259570983,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,2.5,0.15,4.096889879194793,0.0015926916959060338,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4255.0,4250.0,35.0,4250.0,4250.0,4250.0,3.6288854017248133,3.6283889300503116,0.003475301721504467,4.072156817019643,4.072630299077961,0.008014206364629406,4.064068403930828,4.072630299077961,4.080108587115239,0.4885,0.5,0.07495165108254788,0.5,0.5,0.5,0.15164999999999998,0.15,0.008931825121440749,0.15,0.15,0.15,34.700971640955146,2,Bmag_APASS,1000,4330.5,4250.0,116.81074436882936,4250.0,4250.0,4500.0,3.636382124009773,3.6283889300503116,0.01159864517129174,4.073725217341332,4.073780737396277,0.008504325668052804,4.06530810998011,4.073780737396277,4.082213089327122,0.7835,1.0,0.5919271492337549,0.0,1.0,1.5,0.16729999999999998,0.15,0.023784658921245858,0.15,0.15,0.2,6.6090892948627955,108,Hmag_2MASS,1000,4347.25,4250.0,121.88083319373888,4250.0,4250.0,4500.0,3.6380453041193497,3.6283889300503116,0.012102076269045699,4.07639968509219,4.076208288184839,0.008428759236863785,4.06787703154749,4.076208288184839,4.084738533884616,1.2195,1.5,1.0689105434974435,0.0,1.5,2.5,0.1695,0.15,0.024387496796514405,0.15,0.15,0.2,3.827675449176047,218,Hmag_2MASS,2,108,218,Hmag_2MASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS,Umag_MCPS",False,True,False
8,8.637665,-73.873337,8250,2.5,0.15,4.19621130366965,0.34108560806662985,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.5,0.15,4.2060856272376395,0.19091421275703713,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.5,0.15,4.19621130366965,0.008365468240266207,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8268.75,8250.0,136.33025159516137,8250.0,8250.0,8500.0,3.917380930154529,3.916453948549925,0.007151943629690186,4.200267915514269,4.199838580977248,0.009342752756945944,4.190848578440234,4.199838580977248,4.209709379260339,2.123,2.0,0.21533926720410285,2.0,2.0,2.5,0.18170000000000003,0.2,0.02408547280000956,0.15,0.2,0.2,7.531546287430026,12,Imag_MCPS,1000,8209.75,8250.0,145.57622573758394,8000.0,8250.0,8250.0,3.9142617468690895,3.916453948549925,0.007693548213804246,4.196416373720304,4.195803872396497,0.010437404852728325,4.185869972022482,4.195803872396497,4.2067946925904,2.171,2.0,0.23718979741970356,2.0,2.0,2.5,0.17475,0.15,0.024998749968748447,0.15,0.15,0.2,6.023781877694573,26,Imag_MCPS,1000,8195.0,8250.0,177.4119499921017,8000.0,8250.0,8250.0,3.9134476907574762,3.916453948549925,0.009367624038252866,4.194452374433785,4.192879265977622,0.01601173264222957,4.179838989199784,4.192879265977622,4.210269596605928,2.2115,2.0,0.24701771191556288,2.0,2.0,2.5,0.17354999999999998,0.15,0.02495791457634232,0.15,0.15,0.2,3.632581724362012,65,Imag_MCPS,12,26,65,Imag_MCPS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False
9,8.763608,-73.549622,4500,0.0,0.2,4.21792807316284,13.190919981150826,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,1.0,0.2,4.218376473465189,10.982779341402763,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.15,4.247781766466565,0.1706635930869886,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/synth_phot_temp_estimation/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4256.75,4250.0,40.520827977720295,4250.0,4250.0,4250.0,3.6290591668108885,3.6283889300503116,0.00402348866365022,4.225540180868154,4.226272184803082,0.008063990731715386,4.217520870811913,4.226272184803082,4.233506562912552,0.5,0.5,0.1161895003862225,0.5,0.5,0.5,0.15139999999999998,0.15,0.008248636250920515,0.15,0.15,0.15,48.045050680541415,1,Bmag_MCPS,1000,4255.5,4250.0,36.670833096617805,4250.0,4250.0,4250.0,3.628935048892264,3.6283889300503116,0.0036412059825622527,4.225295667006812,4.22584265002579,0.008251066818662216,4.216927438714171,4.22584265002579,4.233771633682002,0.583,0.5,0.2135673195973579,0.5,0.5,1.0,0.15139999999999995,0.15,0.008248636250920515,0.15,0.15,0.15,43.26611706539713,0,nan,1000,4379.5,4500.0,124.9189737389801,4250.0,4500.0,4500.0,3.6412475464198786,3.6532125137753435,0.012403746413818535,4.230785370295705,4.2308815176474734,0.007633724868286191,4.222933718037535,4.2308815176474734,4.23828704687462,0.865,0.0,0.9686459621554203,0.0,0.0,2.0,0.17555,0.2,0.0249939492677728,0.15,0.2,0.2,14.991283692464247,34,Vmag_APASS,1,0,34,Vmag_APASS,"Kmag_2MASS,Hmag_2MASS,Jmag_2MASS,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,Bmag_APASS,Vmag_APASS,gmag_APASS,rmag_APASS,imag_APASS",False,True,False
