RA,DEC,ebv_eden,ebv_sf,av_eden,av_sf
7.521702,-73.913918,0.04244,0.05301,0.13454,0.16008
7.746443,-73.741425,0.04231,0.04954,0.13411,0.14961
7.925977,-73.53167,0.04271,0.0465,0.1354,0.14044
7.948884,-73.599243,0.04245,0.04248,0.13458,0.1283
7.980047,-73.578545,0.04254,0.04373,0.13486,0.13208
7.981742,-73.585571,0.04251,0.04311,0.13476,0.1302
8.228736,-73.821953,0.04179,0.04365,0.13246,0.13182
8.560188,-73.619049,0.04201,0.03932,0.13318,0.11874
8.637665,-73.873337,0.0413,0.04668,0.13091,0.14096
8.763608,-73.549622,0.04215,0.04684,0.13361,0.14147
8.763859,-74.203384,0.04199,0.03848,0.1331,0.11621
8.989162,-73.734062,0.0413,0.03917,0.13093,0.1183
9.124077,-73.918602,0.04093,0.05135,0.12975,0.15507
9.380191,-74.411057,0.04288,0.04002,0.13592,0.12086
9.508638,-73.630348,0.04143,0.05427,0.13134,0.1639
9.563685,-73.017746,0.04523,0.09332,0.14338,0.28183
9.57867,-73.525597,0.04188,0.05554,0.13277,0.16773
9.818972,-72.032875,0.04567,0.0437,0.14477,0.13197
10.190774,-72.673569,0.04805,0.06228,0.15232,0.18808
10.191936,-73.717102,0.0414,0.06654,0.13125,0.20095
10.512744,-73.888428,0.04134,0.07426,0.13104,0.22428
10.598432,-73.412109,0.04324,0.15338,0.13708,0.46319
10.721161,-73.596092,0.04257,0.11801,0.13494,0.3564
10.745516,-73.29184,0.0441,0.26705,0.13978,0.80648
10.95191,-73.613548,0.04275,0.13986,0.13552,0.42238
11.004765,-72.995163,0.04724,0.23609,0.14974,0.71298
11.045316,-73.212608,0.04537,0.47524,0.14382,1.43522
11.210925,-72.885483,0.04802,0.13632,0.15222,0.41169
11.399051,-73.293671,0.04531,0.8298,0.14362,2.50598
11.476636,-72.93116,0.04793,0.23194,0.15193,0.70046
11.510007,-73.350014,0.04509,0.82356,0.14295,2.48715
11.554412,-72.935364,0.04791,0.2582,0.15188,0.77977
11.624906,-72.593178,0.04811,0.11568,0.15251,0.34934
11.642234,-72.821014,0.04813,0.17451,0.15256,0.52701
11.666625,-73.208763,0.04597,1.00695,0.14574,3.04099
11.692539,-73.666313,0.04278,0.14036,0.13563,0.42388
11.721182,-72.714394,0.04821,0.13796,0.15283,0.41664
11.753848,-73.370476,0.04498,0.75815,0.14257,2.2896
11.760545,-72.919182,0.04806,0.33334,0.15235,1.0067
11.782004,-73.745392,0.04226,0.09512,0.13396,0.28726
11.78622,-73.236649,0.04582,1.10151,0.14523,3.32656
11.793363,-72.96051,0.04774,0.47052,0.15133,1.42098
11.805479,-72.704842,0.04821,0.14324,0.15281,0.4326
11.938212,-73.307259,0.04537,1.07236,0.14381,3.23851
11.955413,-73.095612,0.04674,1.40635,0.14818,4.24718
11.992086,-72.815269,0.04806,0.34375,0.15234,1.03813
12.00486,-73.387062,0.04486,0.59287,0.14222,1.79045
12.009524,-73.403946,0.04476,0.51669,0.14189,1.56041
12.026228,-73.110535,0.04666,1.43842,0.14792,4.34404
12.036872,-73.505272,0.04414,0.29935,0.13992,0.90403
12.078882,-73.249702,0.04574,1.16862,0.145,3.52923
12.115704,-73.446945,0.04448,0.40179,0.14101,1.2134
12.132593,-72.986565,0.04733,0.71991,0.15004,2.17414
12.138712,-73.209274,0.046,1.16695,0.14582,3.52419
12.144304,-73.154884,0.04636,1.2808,0.14697,3.86803
12.146544,-72.369522,0.04651,0.19693,0.14743,0.59474
12.158935,-73.246552,0.04574,1.06115,0.14501,3.20467
