RA,Catalog #,Name,DEC,V_mag,Simbad Spec Class,KFN Spec,Log(Teff),Log(L/Lsun),YSG?,Variability Class,Simbad Types,Date_Mike,Halpha,
05:05:55.512,1,J05055551-6753108,-67:53:10.93,9.13,A2Ia+,,3.867,5.821,,eV,EmO*sg*V*IRUV,"jan17,",PCyg,
05:21:01.710,2,J05210170-6548026,-65:48:02.44,9.68,F8Ia,late F,3.746,5.65,yes,V,*s*yIR,"jan17,",abs,
05:34:22.467,3,J05342246-6701235,-67:01:23.56,9.87,A0Iae,,4.012,5.705,,eV,*V*?Em*sg*V*IR,"jan17,",emi,
05:32:24.974,4,J05322496-6741536,-67:41:53.59,9.91,G0Ia,early G,3.68,5.702,yes,V,*s*yIR->YHGR117,"jan17,apr17",abs,
05:40:12.171,5,J05401217-6940049,-69:40:04.83,9.95,F8Ia,late F,3.711,5.605,yes,V,*s*yIR->YHGR150,"jan17,apr17",abs+emi,
04:55:32.457,6,J04553248-6957450,-69:57:45.06,10.08,F5Ia,mid F,3.782,5.449,yes,N,*s*yIR,"jan17,",abs+emi,
04:54:14.257,7,J04541425-6912366,-69:12:36.44,10.16,G8Ia,late G,3.632,5.777,yes,eV,**iAs*yV*IR,"jan17,",abs+emi,
05:45:00.624,8,J05450060-6710342,-67:10:34.27,10.2,G5I,early G,3.74,5.45,yes,V,*IR,"jan17,",abs+emi,
05:38:09.578,9,J05380957-6906213,-69:06:21.35,10.23,A1Ia+,early A,3.808,5.375,,eV,*sg*IR,"jan17,",emi,
05:30:51.480,10,J05305147-6902587,-69:02:58.65,10.28,A0Ia,,3.838,5.352,,eV,**EmO*Em*sg*V*IR,"jan17,",PCyg,
05:31:38.421,11,J05313841-6728116,-67:28:11.55,10.28,F6Ia,mid F,3.8,5.358,yes,N,*s*yIR,"jan17,mar18,",abs,
05:36:32.374,12,J05363237-6854015,-68:54:01.67,10.29,A9Ia,late A,3.81,5.35,,V,**iAsg*IR,"jan17,mar18,",abs,
05:18:01.826,13,J05180182-6933377,-69:33:37.73,10.31,A5Ia0,,3.834,5.339,,eV,Y*?s?y**IR,"jan17,",abs+emi,
05:36:10.069,14,J05361007-6855411,-68:55:41.20,10.32,F3Ia,early F,3.798,5.343,yes,V,*s*yIR,"jan17,",abs,
