ra,dec,scope
04:49:14.025,-68:58:11.59,magellan_drout
04:50:55.853,-69:25:52.50,magellan_drout
04:51:45.106,-69:30:17.83,magellan_drout
04:51:58.111,-69:25:33.84,magellan_drout
04:52:11.299,-71:48:34.15,magellan_drout
04:52:53.379,-67:05:42.58,magellan_drout
04:54:14.257,-69:12:36.44,magellan_drout
04:54:36.840,-69:20:22.10,magellan_drout
04:54:57.350,-66:45:08.83,magellan_drout
04:55:10.089,-66:50:42.55,magellan_drout
04:55:32.457,-69:57:45.06,magellan_drout
04:55:52.810,-69:42:22.50,magellan_drout
04:56:39.907,-66:44:36.67,magellan_drout
04:56:39.977,-69:41:56.22,magellan_drout
04:56:49.411,-69:48:31.49,magellan_drout
04:59:43.526,-68:31:22.68,magellan_drout
05:00:07.56,-68:26:59.9,magellan_drout
05:00:40.864,-66:28:30.52,magellan_drout
05:03:13.620,-68:33:35.36,magellan_drout
05:05:55.512,-67:53:10.93,magellan_drout
05:05:58.130,-70:32:05.74,magellan_drout
05:06:08.878,-71:15:26.06,magellan_drout
05:06:14.814,-66:40:45.91,magellan_drout
05:06:27.464,-68:30:40.46,magellan_drout
05:07:15.979,-68:53:00.63,magellan_drout
05:09:08.718,-68:59:07.46,magellan_drout
05:09:10.612,-69:36:12.18,magellan_drout
05:10:00.989,-68:54:08.71,magellan_drout
05:10:27.400,-69:09:11.69,magellan_drout
05:11:52.090,-67:09:57.79,magellan_drout
05:12:44.267,-67:15:57.81,magellan_drout
05:13:15.992,-67:17:47.34,magellan_drout
05:13:53.671,-67:03:48.42,magellan_drout
05:14:01.920,-67:27:07.07,magellan_drout
05:14:04.436,-67:15:50.54,magellan_drout
05:14:18.858,-67:15:49.33,magellan_drout
05:17:32.839,-69:45:07.51,magellan_drout
05:18:01.826,-69:33:37.73,magellan_drout
05:18:38.666,-69:45:46.63,magellan_drout
05:19:51.804,-69:53:08.50,magellan_drout
05:21:01.710,-65:48:02.44,magellan_drout
05:21:46.950,-71:19:43.78,magellan_drout
05:22:18.449,-66:54:59.11,magellan_drout
05:22:45.690,-69:50:51.64,magellan_drout
