# Prefinal LMC YSG candidates with all available photometry (2MASS; MCPS; APASS; SMASH; SWIFT) and SIMBAD crossmatch info.
# Does not include 'final' YSGS
ra,dec,2MASS,Jmag_2MASS,e_Jmag_2MASS,Hmag_2MASS,e_Hmag_2MASS,Kmag_2MASS,e_Kmag_2MASS,Qflg_1,Rflg_1,Bflg_1,Cflg_1,Xflg_1,Aflg_1,J_org_1,K_org_1,SOURCE_ID_1,ra_2_1,dec_2_1,parallax_1,pmra_1,pmdec_1,pm_1,ra_error_1,dec_error_1,parallax_error_1,parallax_over_error_1,pmra_error_1,pmdec_error_1,astrometric_gof_al_1,astrometric_chi2_al_1,astrometric_excess_noise_1,astrometric_excess_noise_sig_1,ruwe_1,astrometric_params_solved_1,astrometric_sigma5d_max_1,duplicated_source_1,phot_g_mean_mag_1,phot_bp_mean_mag_1,phot_rp_mean_mag_1,phot_g_mean_flux_1,phot_bp_mean_flux_1,phot_rp_mean_flux_1,phot_g_mean_flux_error_1,phot_g_mean_flux_over_error_1,phot_bp_mean_flux_error_1,phot_bp_mean_flux_over_error_1,phot_rp_mean_flux_error_1,phot_rp_mean_flux_over_error_1,phot_bp_rp_excess_factor_1,phot_proc_mode_1,bp_rp_1,bp_g_1,g_rp_1,Umag_MCPS,Bmag_MCPS,Vmag_MCPS,Imag_MCPS,e_Umag_MCPS,e_Bmag_MCPS,e_Vmag_MCPS,e_Imag_MCPS,ra_2,dec_2,RAJ2000,DEJ2000,Bmag_APASS,e_Bmag_APASS,Vmag_APASS,e_Vmag_APASS,gmag_APASS,e_gmag_APASS,rmag_APASS,e_rmag_APASS,imag_APASS,e_imag_APASS,Separation_1,ra_2a,dec_2a,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,otype,nbref,ra_sexa,dec_sexa,coo_qual,coo_bibcode,main_type,other_types,radvel,radvel_err,redshift,redshift_err,sp_type,morph_type,plx,plx_err,pmra,pmdec,pm_err_maj,pm_err_min,pm_err_pa,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist,Separation
79.238854,-72.332352,05165732-7219564,11.866431085043988,,14.358,0.156,11.331454545454545,,UCU,626,20,0c0,0,0,11.947,11.366,4651328360421893760,79.23948633010001,-72.33237596130806,-0.1357079560869014,2.1797253521056588,0.1439403926868483,2.1844727993011475,0.0668651014566421,0.0605683624744415,0.0682394504547119,-1.988702416419983,0.0836432799696922,0.0957322046160698,-0.5929500460624695,255.42269897460935,0.0,0.0,0.9726194739341736,95,0.1369208097457885,False,17.256574630737305,17.71184539794922,16.348718643188477,2356.766942962218,1123.773432236917,2289.130100916841,2.599386692047119,906.6626586914062,26.349740982055664,42.64836883544922,44.45130157470703,51.49748229980469,1.448129415512085,0,1.3631267547607422,0.455270767211914,0.907855987548828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.837381,-72.192619,05392097-7211334,12.19743108504399,,14.512,0.108,12.077454545454543,,UAU,20,20,0c0,0,0,12.278,12.112,4650877801172125184,84.83731860000411,-72.19253781552152,0.1090632806585478,1.9202176609524408,0.7371948571211474,2.0568647384643555,0.0753430724143982,0.089756928384304,0.0796149671077728,1.3698841333389282,0.094167485833168,0.1072609424591064,-1.0420130491256714,242.07667541503903,0.0,0.0,0.9530227184295654,95,0.1628983914852142,False,17.40007209777832,17.87169075012207,16.517065048217773,2064.9904225050022,969.9306748355258,1960.3452154866495,2.251284599304199,917.2498168945312,31.024873733520508,31.263002395629883,26.743871688842773,73.30072784423828,1.4190263748168943,0,1.3546257019042969,0.47161865234375,0.8830070495605469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.206056,-70.268257,04524945-7016057,13.196431085043988,0.029,13.2,0.03,13.164454545454545,0.04,AAA,222,111,000,0,0,13.277,13.199,4654937099322388992,73.20604746122332,-70.26826778117047,-0.0329697001191047,1.953263413971703,-0.115525302157173,1.9566768407821655,0.0133671909570693,0.0153517993167042,0.0137323830276727,-2.4008724689483643,0.0180226135998964,0.0194976646453142,-1.7745060920715332,249.5374755859375,0.0,0.0,0.9195933938026428,31,0.0283908322453498,False,13.726058959960938,13.817130088806152,13.549723625183104,60886.823461193875,40603.623693411966,30148.717675269407,32.816436767578125,1855.3758544921875,27.38605308532715,1482.6387939453125,20.19556999206543,1492.838134765625,1.1620304584503174,0,0.2674064636230469,0.0910711288452148,0.176335334777832,13.983,13.92,13.779,,0.26,0.03,0.038,,73.206056,-70.268257,73.2059962,-70.2682689,13.841,0.01,13.714,0.02,13.71,0.01,13.761,0.01,13.886,0.02,0.4212280571134304,73.206056,-70.268257,SOI 712,73.2060217481,-70.2682672677,0.0,0.0,90.0,*,3.0,04 52 49.44522,-70 16 05.7622,A,2020yCat.1350....0G,Star,*|MIR|NIR,256.625,0.653,0.0008564,2.2e-06,A1II,,0.0106,0.0186,1.953,-0.116,0.018,0.019,90.0,,,,13.819,13.7,,13.277,13.2,13.199,,,,,,0.055672,0.0
73.248092,-70.298553,04525954-7017547,12.80343108504399,0.025,12.832,0.028,12.757454545454545,0.033,AAA,222,111,000,0,0,12.884,12.792,4654749288999352832,73.24809711287016,-70.29855822170559,-0.0805127028013013,1.9054662849198256,-0.2014169968684503,1.9160821437835691,0.0123944180086255,0.0138200111687183,0.0131532764062285,-6.121114253997803,0.0165507942438125,0.0191623121500015,-4.144202709197998,211.14776611328125,0.0,0.0,0.8068224191665649,31,0.0276758838444948,False,13.212663650512695,13.285250663757324,13.082440376281738,97696.99934637154,66269.92575675172,46364.13155377504,71.03724670410156,1375.2926025390625,86.58496856689453,765.37451171875,28.60298538208008,1620.9542236328125,1.1528916358947754,0,0.2028102874755859,0.0725870132446289,0.130223274230957,,,,,,,,,,,,,,,,,,,,,,,,73.248092,-70.298553,SOI 713,73.248071992,-70.2985573265,0.0,0.0,90.0,Pe*,6.0,04 52 59.53728,-70 17 54.8064,A,2020yCat.1350....0G,ChemPec*,*|MIR|NIR|Pe*,260.708,1.027,0.00087,3.4e-06,A1Ib,,0.0171,0.0251,1.905,-0.201,0.017,0.019,90.0,,,,13.37,13.3,,12.884,12.832,12.792,,,,,,0.028848,0.0
74.650541,-70.110649,04583612-7006383,11.82843108504399,0.021,11.524,0.024,11.438454545454546,0.026,AAA,222,111,000,0,0,11.909,11.473,4655116560262057216,74.65051383916912,-70.11065615145894,-0.0366513729935256,2.263040918574935,0.0228507019847883,2.2631561756134033,0.014699937775731,0.0148793244734406,0.0146627314388751,-2.4996278285980225,0.0184366125613451,0.0193184614181518,12.236729621887209,730.3394165039062,0.1086409389972686,8.41500186920166,1.5266779661178589,31,0.0289479885250329,False,13.45413589477539,13.944002151489258,12.822382926940918,78215.41784311255,36125.67643076186,58912.165620598375,1213.9354248046875,64.43128204345703,2172.111083984375,16.6315975189209,2030.82568359375,29.00897216796875,1.2150781154632568,0,1.1216192245483398,0.4898662567138672,0.6317529678344727,13.904,15.213,13.867,11.991,0.038,0.034,0.057,0.393,74.650541,-70.110649,74.6504698,-70.1106537,14.212,0.67,13.425,0.4,13.771,0.63,13.206,0.36,13.016,0.23,0.090994605759428,74.650541,-70.110649,SV* HV  2261,74.6504842747,-70.110656253,0.0,0.0,90.0,cC*,25.0,04 58 36.11623,-70 06 38.3625,A,2020yCat.1350....0G,ClassicalCep,*|cC*|MIR|NIR|V*,122.057,0.081,0.0004072,3e-07,,,,,2.263,0.023,0.018,0.019,90.0,,,,13.95,13.57,12.9,11.909,11.524,11.473,,,,,,0.074218,0.0
72.73027,-69.984634,04505526-6959046,11.644431085043989,0.025,11.061,0.026,10.871454545454544,0.025,AAA,222,111,000,0,0,11.725,10.906,4655320416568894080,72.73042485508782,-69.98466220633028,-0.0127011863316516,1.9365478759689447,-0.098990001382221,1.93907630443573,0.0117086768150329,0.0112870633602142,0.011567641980946,-1.0979926586151123,0.0142337111756205,0.0138522395864129,-0.8474156260490417,333.5382080078125,0.0,0.0,0.9681193232536316,31,0.0200811475515365,False,13.74246597290039,14.488110542297363,12.90487003326416,59973.65067314535,21886.31340145537,54602.20907298201,22.87769889831543,2621.48974609375,34.38692855834961,636.4718627929688,83.97217559814453,650.24169921875,1.2753688097000122,0,1.5832405090332031,0.7456445693969727,0.8375959396362305,16.656,15.618,14.211,,0.073,0.03,0.024,,72.73027,-69.984634,72.7303789,-69.9846689,,,,,,,,,,,0.4144422762767663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.885345,-69.962517,04553248-6957450,9.07943108504399,0.024,8.906,0.024,8.793454545454544,0.023,AAA,222,111,000,0,0,9.16,8.828,4655136518933846784,73.88527021100228,-69.96252407198898,-0.0136969487253542,1.9896005451217784,-0.0847412660784264,1.991404414176941,0.009955327026546,0.0116692017763853,0.0111212702468037,-1.23159921169281,0.0129003664478659,0.016028344631195,-4.729358196258545,504.0662536621094,0.0694359317421913,4.632166862487793,0.8199360966682434,31,0.0229658298194408,False,9.944231033325195,10.19174861907959,9.538670539855955,1982688.5975866427,1144768.3113236434,1212523.305881865,1405.4136962890625,1410.7508544921875,2546.169677734375,449.6040954589844,2052.138427734375,590.8584594726562,1.1889369487762451,0,0.6530780792236328,0.2475175857543945,0.4055604934692383,10.68,10.572,9.933,,0.118,0.115,0.082,,73.885345,-69.962517,73.8852442,-69.9625264,10.595,0.14,10.076,0.06,10.634,0.5,10.0,0.12,9.864,0.05,0.2161239182176803,73.885345,-69.962517,HD 268819,73.8852444031,-69.9625236954,0.0,0.0,90.0,s*y,60.0,04 55 32.45866,-69 57 45.0853,A,2020yCat.1350....0G,YellowSG,*|MIR|NIR|s*y,252.236,0.103,0.0008417,3e-07,F5Ia,,0.03,0.21,1.99,-0.085,0.013,0.016,90.0,,,,10.58,10.08,9.72,9.16,8.906,8.828,,,,,,0.126404,0.0
74.545015,-69.949707,04581080-6956589,11.17143108504399,0.023,10.795,0.025,10.607454545454544,0.023,AAA,222,111,000,0,0,11.252,10.642,4655144146795764224,74.54500852795034,-69.94966184118881,0.0439510619115871,2.0530382247077177,-0.0885552193650716,2.0549471378326416,0.014116246253252,0.015121579170227,0.0141459545120596,3.1069703102111816,0.0180545151233673,0.0189836230129003,6.763411998748779,925.2095336914062,0.1319517493247985,15.205243110656738,1.2621206045150757,31,0.0288115069270133,False,12.8388671875,13.398585319519045,12.18850326538086,137847.75071596954,59701.1341228553,105622.6511440546,2213.826904296875,62.2667236328125,3686.43896484375,16.19479751586914,3846.639404296875,27.458423614501953,1.1993216276168823,0,1.2100820541381836,0.559718132019043,0.6503639221191406,,,,,,,,,,,,,,,,,,,,,,,,74.545015,-69.949707,HD 268878,74.5449819136,-69.9496614476,0.0,0.0,90.0,cC*,82.0,04 58 10.79566,-69 56 58.7812,A,2020yCat.1350....0G,ClassicalCep,*|cC*|Ce*|MIR|NIR|V*,276.397,0.088,0.0009224,3e-07,K5,,0.044,0.0141,2.053,-0.089,0.018,0.019,90.0,,,,13.83,13.134,12.96,11.252,11.038,10.642,,,,,,0.168997,0.0
74.205879,-69.808746,04564941-6948314,9.615431085043989,0.022,9.117,0.023,8.922454545454546,0.023,AAA,222,111,000,0,0,9.696,8.957,4655159746116981504,74.2060009093814,-69.80875353725799,0.0140389314946685,2.0497492040276604,-0.0176826632954092,2.049825429916382,0.0108518721535801,0.0114185009151697,0.0113468822091817,1.2372500896453855,0.0134016685187816,0.0159348640590906,-5.4211812019348145,492.4533386230469,0.0725715085864067,5.458676338195801,0.7932139039039612,31,0.0225085373967885,False,11.558697700500488,12.301833152770996,10.737661361694336,448195.8601290983,163939.4480297429,401877.42153808527,336.85595703125,1330.5267333984375,445.08404541015625,368.3336791992187,692.18994140625,580.58837890625,1.2624322175979614,0,1.5641717910766602,0.7431354522705078,0.8210363388061523,,,,,,,,,,,,,,,,,,,,,,,,74.205879,-69.808746,RM 1-77,74.2059745154,-69.8087534587,0.0,0.0,90.0,*,17.0,04 56 49.43388,-69 48 31.5125,A,2020yCat.1350....0G,Star,*|MIR|NIR|s?r,247.217,0.048,0.000825,2e-07,M:,,0.014,0.0113,2.05,-0.018,0.013,0.016,90.0,,,,13.1,11.55,10.8,9.696,9.117,8.957,,,,,,0.121683,0.0
72.63174,-69.56562,04503161-6933562,12.81943108504399,0.024,12.816,0.024,12.778454545454546,0.034,AAA,222,111,000,0,0,12.9,12.813,4655345224302748032,72.63183502519823,-69.56559885624812,-0.0127060494883515,1.9939264018731655,-0.1706484983236404,2.00121545791626,0.0110059911385178,0.0109777934849262,0.010846285149455,-1.1714656352996826,0.0133488979190588,0.0137424729764461,-2.057967185974121,363.6582946777344,0.0241454988718032,0.4142212867736816,0.9195018410682678,31,0.0193796288222074,False,13.320598602294922,13.40984058380127,13.150100708007812,88451.90271266758,59085.4460974728,43563.005094142296,35.821624755859375,2469.23193359375,44.26215744018555,1334.8975830078125,44.50440216064453,978.8471069335938,1.160500168800354,0,0.259739875793457,0.0892419815063476,0.1704978942871093,13.543,13.544,13.446,,0.01,0.01,0.01,,72.63174,-69.56562,72.6317974,-69.5655948,13.417,0.01,13.345,0.01,,,,,13.515,0.0,0.3223642605306416,72.63174,-69.56562,SOI 472,72.6318096428,-69.5655980978,0.0,0.0,90.0,Pe*,7.0,04 50 31.63431,-69 33 56.1532,A,2020yCat.1350....0G,ChemPec*,*|MIR|NIR|Pe*,259.103,1.265,0.0008646,4.2e-06,A0Ib,,,,1.994,-0.171,0.013,0.014,90.0,,,,,13.4,,12.9,12.816,12.813,,,,,,0.117809,0.0
