star_index,ra,dec,n_bands_total,n_bands_cut,orig_logT,orig_logL,orig_teff,orig_lum,chi2_full_1,logT_full_1,logL_full_1,teff_full_1,luminosity_full_1,logg_full_1,av_full_1,metallicity_full_1,chi2_full_2,logT_full_2,logL_full_2,teff_full_2,luminosity_full_2,logg_full_2,av_full_2,metallicity_full_2,chi2_full_3,logT_full_3,logL_full_3,teff_full_3,luminosity_full_3,logg_full_3,av_full_3,metallicity_full_3,chi2_full_4,logT_full_4,logL_full_4,teff_full_4,luminosity_full_4,logg_full_4,av_full_4,metallicity_full_4,chi2_full_5,logT_full_5,logL_full_5,teff_full_5,luminosity_full_5,logg_full_5,av_full_5,metallicity_full_5,chi2_cut_1,logT_cut_1,logL_cut_1,teff_cut_1,luminosity_cut_1,logg_cut_1,av_cut_1,metallicity_cut_1,chi2_cut_2,logT_cut_2,logL_cut_2,teff_cut_2,luminosity_cut_2,logg_cut_2,av_cut_2,metallicity_cut_2,chi2_cut_3,logT_cut_3,logL_cut_3,teff_cut_3,luminosity_cut_3,logg_cut_3,av_cut_3,metallicity_cut_3,chi2_cut_4,logT_cut_4,logL_cut_4,teff_cut_4,luminosity_cut_4,logg_cut_4,av_cut_4,metallicity_cut_4,chi2_cut_5,logT_cut_5,logL_cut_5,teff_cut_5,luminosity_cut_5,logg_cut_5,av_cut_5,metallicity_cut_5
0,7.521702,-73.913918,7,5,3.7731406018682785,4.026600492146291,5931.173139055856,4.0676676153232107e+37,1.4382907020624183,3.8129133566428557,4.021256739744129,6500,4.0179238864844843e+37,1.5,0.4,-0.75,1.588992777798736,3.829303772831025,4.012937879893188,6750,3.941693449141725e+37,1.5,0.6,-0.75,1.631639644901442,3.7958800173440754,4.026648822342146,6250,4.068120308414846e+37,1.5,0.2,-0.75,1.7238680446195664,3.7958800173440754,4.024410185820324,6250,4.0472045207636365e+37,2.0,0.2,-0.75,1.7411339562740018,3.845098040014257,4.021868986633395,7000,4.023592151416401e+37,2.0,0.7,-0.75,0.47109527516369787,3.7781512503836434,4.027821159802282,6000,4.0791166550033323e+37,2.0,0.0,-0.75,0.5161805335541829,3.7781512503836434,4.028561189046402,6000,4.0860733147712623e+37,1.5,0.0,-0.75,0.5988602799936318,3.7781512503836434,4.027636081186944,6000,4.077378672020363e+37,2.5,0.0,-0.75,0.6788568847778931,3.7958800173440754,4.024410185820324,6250,4.0472045207636365e+37,2.0,0.2,-0.75,0.7317639669054117,3.7958800173440754,4.026648822342146,6250,4.068120308414846e+37,1.5,0.2,-0.75
1,7.746443,-73.741425,7,5,3.7708465510721783,4.010041520214789,5899.92581724705,3.9154933067199356e+37,1.2761130055850862,3.8129133566428557,3.9572298954250495,6500,3.4671678037234422e+37,2.0,0.6,-0.75,1.2781984661045176,3.7596678446896306,3.965343780601894,5750,3.532553486962068e+37,0.5,0.0,-0.75,1.3370056915200916,3.8129133566428557,3.9536132768553722,6500,3.438414602524828e+37,2.5,0.6,-0.75,1.4567473389943981,3.7958800173440754,3.9661536020127315,6250,3.53914672360311e+37,1.5,0.4,-0.75,1.5015869602192577,3.8129133566428557,3.9613811673011012,6500,3.50046817045397e+37,1.5,0.6,-0.75,1.5221818260528939,3.7781512503836434,3.9676855410101255,6000,3.5516528243474877e+37,1.5,0.2,-0.75,1.5457403781233172,3.7781512503836434,3.9662651537806077,6000,3.54005589652148e+37,2.0,0.2,-0.75,1.6040785773779942,3.7958800173440754,3.9633662848088225,6250,3.5165050910233474e+37,2.0,0.4,-0.75,1.6061757298716866,3.7596678446896306,3.964989410615298,5750,3.5296722153906927e+37,1.0,0.0,-0.75,1.6361444420318416,3.7596678446896306,3.964919526069818,5750,3.529104283484163e+37,1.5,0.0,-0.75
2,7.925977,-73.53167,7,5,3.6347791705249826,4.044608418030504,4312.9971436228625,4.239878229598527e+37,1.4004406983424367,3.6532125137753435,3.9874598151505025,4500,3.7171045867193417e+37,0.5,0.4,-0.75,1.8023818194042711,3.6766936096248664,3.999632474315998,4750,3.8227635820662715e+37,0.0,0.7,-0.75,3.659313228921795,3.6766936096248664,3.9890163776258283,4750,3.7304510298344797e+37,0.5,0.8,-0.75,4.460489064035949,3.6532125137753435,3.9772133971385517,4500,3.6304324701010935e+37,1.0,0.5,-0.75,4.51921208687608,3.6532125137753435,3.995837763091758,4500,3.78950713218558e+37,0.0,0.3,-0.75,0.8258974891499591,3.6532125137753435,3.9907110920398448,4500,3.745036525348987e+37,1.0,0.4,-0.75,0.854202421634704,3.6532125137753435,3.992670767349085,4500,3.761973509195829e+37,1.5,0.4,-0.75,0.8677400490382033,3.6532125137753435,3.995837763091758,4500,3.78950713218558e+37,0.0,0.3,-0.75,1.0501300485451879,3.6532125137753435,3.9937693908448675,4500,3.771502123150048e+37,2.0,0.4,-0.75,1.0800732311499643,3.6766936096248664,4.0044338790932565,4750,3.865261178016764e+37,1.0,0.7,-0.75
3,7.948884,-73.599243,7,5,3.6290985955803414,4.026778011235634,4256.950454601113,4.069330625743349e+37,1.439454977378862,3.6532125137753435,3.979738455775918,4500,3.6516018755274647e+37,0.0,0.4,-0.75,2.6693848950319627,3.6283889300503116,3.9616585450782664,4250,3.5027045843467785e+37,0.5,0.1,-0.75,2.8675866199097366,3.6532125137753435,3.966848542603989,4500,3.544814457509883e+37,0.0,0.5,-0.75,3.2329229656257863,3.6532125137753435,3.9586094363014213,4500,3.4781988085897085e+37,0.5,0.6,-0.75,3.304876467146659,3.6766936096248664,3.970872390862101,4750,3.5778106834970502e+37,0.0,0.9,-0.75,0.9733034830781613,3.6766936096248664,3.989474633534175,4750,3.7343893793271797e+37,2.5,0.8,-0.75,0.9911404105897055,3.6766936096248664,3.975846447657959,4750,3.619023584632349e+37,2.0,0.9,-0.75,1.002279559075387,3.6766936096248664,3.975877860932181,4750,3.6192853643616516e+37,2.5,0.9,-0.75,1.008075718186525,3.6766936096248664,3.975517391101263,4750,3.616282558771443e+37,1.5,0.9,-0.75,1.0194504299728246,3.6766936096248664,3.989368147963096,4750,3.7334738488406718e+37,2.0,0.8,-0.75
4,7.980047,-73.578545,7,5,3.60928920229464,4.036388455838606,4067.1407515479127,4.1603840386238394e+37,2.7732768882998378,3.6283889300503116,3.997267245429846,4250,3.8020008631140804e+37,0.0,0.3,-0.75,6.061837270595511,3.6283889300503116,4.009335874831029,4250,3.90913654540918e+37,0.0,0.2,-0.75,6.064619576613406,3.6283889300503116,3.9855701852462704,4250,3.7009664737826456e+37,0.0,0.4,-0.75,6.414321967220836,3.6532125137753435,3.996914581179033,4500,3.7989147416324124e+37,0.0,0.8,-0.75,8.586146974497897,3.6283889300503116,3.9907992035478577,4250,3.7457964113382885e+37,0.5,0.4,-0.75,2.5474188742641153,3.6532125137753435,4.00501198732686,4500,3.8704098209571547e+37,2.5,0.8,-0.75,2.6072079137473954,3.6532125137753435,4.00477410789071,4500,3.868290432289486e+37,2.0,0.8,-0.75,2.7691268261617505,3.6532125137753435,4.004160700499681,4500,3.8628306277002527e+37,1.5,0.8,-0.75,3.2049739012571887,3.6532125137753435,4.002888760733268,4500,3.8515339149517187e+37,1.0,0.8,-0.75,3.3682535090685066,3.6283889300503116,4.00282201055486,4250,3.850941987514133e+37,0.5,0.3,-0.75
5,7.981742,-73.585571,7,5,3.617613145232212,4.323310793338593,4145.845802494147,8.054818503036376e+37,4.284619955646753,3.6532125137753435,4.271048504403531,4500,7.141566262111105e+37,0.0,0.7,-0.75,5.678650787376118,3.6532125137753435,4.259314581179033,4500,6.951196201128787e+37,0.0,0.8,-0.75,5.857529501029191,3.6283889300503116,4.259667245429846,4250,6.956843139104126e+37,0.0,0.3,-0.75,7.208747409829839,3.6283889300503116,4.271735874831029,4250,7.152878375066021e+37,0.0,0.2,-0.75,7.53945402747597,3.6532125137753435,4.251348077335065,4500,6.824848936927119e+37,0.5,0.9,-0.75,3.754119102287804,3.6532125137753435,4.283155887627398,4500,7.343462024294054e+37,0.0,0.6,-0.75,3.954580628768695,3.6766936096248664,4.289345727440949,4750,7.448875115217056e+37,0.5,1.0,-0.75,4.028769433168472,3.6766936096248664,4.290657894558083,4750,7.471415004618965e+37,1.0,1.0,-0.75,4.131741316783382,3.6766936096248664,4.287295471978942,4750,7.41379268783306e+37,0.0,1.0,-0.75,4.150099499104972,3.6766936096248664,4.291352513268461,4750,7.483374486962181e+37,1.5,1.0,-0.75
6,8.228736,-73.821953,7,5,3.79498098679828,4.03439240577564,6237.075292716574,4.141306475593987e+37,35.946691611102175,3.8129133566428557,3.809580749038813,6500,2.4678895256427744e+37,1.0,1.0,-0.75,37.18394659603137,3.7958800173440754,3.7905436799550865,6250,2.3620476020406466e+37,1.0,0.9,-0.75,37.64074003747126,3.8129133566428557,3.8045555524110193,6500,2.439498290441601e+37,1.5,1.0,-0.75,39.58813649459251,3.7403626894942437,3.798460955158442,5500,2.4055030996144576e+37,0.0,0.2,-0.75,40.039272913627144,3.7958800173440754,3.8121276549829086,6250,2.4824049048395913e+37,1.0,0.8,-0.75,10.68545260146874,3.8129133566428557,3.8000372253186314,6500,2.4142497272335234e+37,2.0,1.0,-0.75,10.937701439259166,3.8129133566428557,3.8045555524110193,6500,2.439498290441601e+37,1.5,1.0,-0.75,10.998794082388645,3.8129133566428557,3.795940478761067,6500,2.3915829271584087e+37,2.5,1.0,-0.75,11.303562975580574,3.7958800173440754,3.7905436799550865,6250,2.3620476020406466e+37,1.0,0.9,-0.75,11.761241562899787,3.8129133566428557,3.809580749038813,6500,2.4678895256427744e+37,1.0,1.0,-0.75
7,8.560188,-73.619049,7,5,3.617888734270881,4.098910276301404,4148.477455199333,4.804577929806555e+37,1.3428348354410848,3.6283889300503116,4.071833765123843,4250,4.514178529388839e+37,0.0,0.0,-0.75,1.530325648531145,3.6532125137753435,4.070448542603989,4500,4.499803076500888e+37,0.0,0.5,-0.75,2.6276834075750823,3.6283889300503116,4.058987520760529,4250,4.382606580105296e+37,0.0,0.1,-0.75,3.163952080409483,3.6283889300503116,4.05243762779591,4250,4.317005415764306e+37,0.5,0.2,-0.75,5.487228757716039,3.6283889300503116,4.065258545078267,4250,4.44634861814159e+37,0.5,0.1,-0.75,0.4624472349215939,3.6766936096248664,4.079477860932181,4750,4.594336773476612e+37,2.5,0.9,-0.75,0.47974549653189835,3.6532125137753435,4.0750250279216536,4500,4.547471580495655e+37,0.5,0.5,-0.75,0.5140658929114862,3.6532125137753435,4.06776124471957,4500,4.472045467677936e+37,2.5,0.6,-0.75,0.5245072775712719,3.6766936096248664,4.0794464476579595,4750,4.59400446913589e+37,2.0,0.9,-0.75,0.5424299396745693,3.6532125137753435,4.067376059616997,4500,4.4680808729164665e+37,2.0,0.6,-0.75
8,8.637665,-73.873337,7,5,3.87934638199243,4.206011752897837,7574.367660535696,6.148323618000837e+37,0.47250286487578247,3.929418925714293,4.21231191277673,8500,6.238165298318472e+37,2.0,0.3,-0.75,0.49760222373061175,3.916453948549925,4.212768523455367,8250,6.244727460453127e+37,2.5,0.2,-0.75,0.5049282157237032,3.88930170250631,4.210425007698132,7750,6.21112076388156e+37,2.5,0.0,-0.75,0.5108934436935846,3.9030899869919438,4.213434914686205,8000,6.254316866082143e+37,2.5,0.1,-0.75,0.5183630032681906,3.88930170250631,4.209454519129562,7750,6.1972566878202365e+37,2.5,0.0,-0.75,0.5304712131349625,3.9030899869919438,4.18077809897143,8000,5.801269812905069e+37,2.0,0.2,-0.75,0.5388411252205978,3.942008053022313,4.199058674712599,8750,6.050672410161924e+37,2.5,0.4,-0.75,0.5539583962745511,3.88930170250631,4.1779109006055455,7750,5.763096163251909e+37,2.0,0.1,-0.75,0.5585123833135344,3.916453948549925,4.179279214816072,8250,5.781282353460714e+37,2.0,0.3,-0.75,0.5731184817601804,3.929418925714293,4.207994814704247,8500,6.176462093585561e+37,2.5,0.3,-0.75
9,8.763608,-73.549622,7,5,3.626271506057682,4.272655917772488,4229.329348419137,7.168047646750157e+37,3.497366220781402,3.6283889300503116,4.221833765123844,4250,6.376446655891671e+37,0.0,0.0,-0.75,4.456091469188391,3.6532125137753435,4.2204485426039895,4500,6.356140788966485e+37,0.0,0.5,-0.75,4.948760210994595,3.6532125137753435,4.233338455775918,4500,6.547619319520316e+37,0.0,0.4,-0.75,6.894634626778976,3.6766936096248664,4.224472390862101,4750,6.415305707298013e+37,0.0,0.9,-0.75,7.346809691897327,3.6532125137753435,4.212209436301421,4500,6.2366935094655905e+37,0.5,0.6,-0.75,1.276063620862035,3.6532125137753435,4.241511092039846,4500,6.672000308815377e+37,1.0,0.4,-0.75,1.3459507898357252,3.6532125137753435,4.243470767349086,4500,6.702174530265994e+37,1.5,0.4,-0.75,1.4628737586154723,3.6766936096248664,4.243074633534175,4750,6.696064050838561e+37,2.5,0.8,-0.75,1.486096642880091,3.6532125137753435,4.244569390844868,4500,6.719150310025367e+37,2.0,0.4,-0.75,1.512758569781619,3.6532125137753435,4.238259815150504,4500,6.622237936165236e+37,0.5,0.4,-0.75
