star_idx,RA,DEC,teff_full,logg_full,av_full,logL_full,chi2_full,best_model_full_filename,teff_cut,logg_cut,av_cut,logL_cut,chi2_cut,best_model_cut_filename,n_fits_full,teff_mean_full,teff_median_full,teff_std_full,teff_16perc_full,teff_50perc_full,teff_84perc_full,logT_mean_full,logT_median_full,logT_std_full,logL_mean_full,logL_median_full,logL_std_full,logL_16perc_full,logL_50perc_full,logL_84perc_full,logg_mean_full,logg_median_full,logg_std_full,logg_16perc_full,logg_50perc_full,logg_84perc_full,av_mean_full,av_median_full,av_std_full,av_16perc_full,av_50perc_full,av_84perc_full,chi2_full_mean,n_fits_cut,teff_mean_cut,teff_median_cut,teff_std_cut,teff_16perc_cut,teff_50perc_cut,teff_84perc_cut,logT_mean_cut,logT_median_cut,logT_std_cut,logL_mean_cut,logL_median_cut,logL_std_cut,logL_16perc_cut,logL_50perc_cut,logL_84perc_cut,logg_mean_cut,logg_median_cut,logg_std_cut,logg_16perc_cut,logg_50perc_cut,logg_84perc_cut,av_mean_cut,av_median_cut,av_std_cut,av_16perc_cut,av_50perc_cut,av_84perc_cut,chi2_cut_mean
0,7.521702,-73.913918,6250,2.5,0.15,4.028175073893644,0.7979956212589687,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,0.3,4.03538759338137,0.011883494532095511,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6526.25,6250.0,392.42634659258033,6250.0,6250.0,7000.0,3.8139189082046903,3.7958800173440754,0.025102969176998672,4.016980019585247,4.016949426321101,0.006962157511921814,4.010242729844942,4.016949426321101,4.023971158189534,1.248,1.0,0.441017006474807,1.0,1.0,1.5,0.41475000000000006,0.3,0.24085252230358725,0.2,0.3,0.75,10.419693408742036,1000,6333.25,6250.0,231.8554237019268,6250.0,6250.0,6500.0,3.8013568950429333,3.7958800173440754,0.015023075509790835,4.029146016415581,4.0294094738575,0.010447979152834954,4.01965162343343,4.0294094738575,4.0385175621007345,1.988,2.0,0.5525902641198088,1.5,2.0,2.5,0.22319999999999998,0.15,0.14973897288281365,0.15,0.15,0.3,3.6401877614078857
1,7.746443,-73.741425,6000,1.0,0.25,3.9508734888054162,0.5935129051331334,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.3,3.987245298600132,0.06909830507232888,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6220.5,6000.0,323.07855082007535,6000.0,6000.0,6500.0,3.7932645315403124,3.7781512503836434,0.021834528735494435,3.955862259215234,3.9556154062063724,0.009202376691578106,3.94691788006673,3.9556154062063724,3.965102142012078,1.504,1.5,0.5567620676734363,1.0,1.5,2.5,0.38620000000000004,0.3,0.19460102774651522,0.25,0.3,0.6,9.544076265076063,1000,6205.75,6000.0,306.76446583657633,6000.0,6000.0,6500.0,3.7922886095142325,3.7781512503836434,0.020710523132134957,3.970016284230128,3.969521536550876,0.015350358425729602,3.9569151052578286,3.969521536550876,3.9832119253320957,2.029,2.0,0.3737097804446654,1.5,2.0,2.5,0.30460000000000004,0.2,0.2159718500175428,0.15,0.2,0.5,7.034121167971569
2,7.925977,-73.53167,4500,0.5,0.4,3.9894601534568097,0.594676838668953,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.0,0.4,4.002484475556267,0.00620713136212373,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4561.25,4500.0,118.57882399484319,4500.0,4500.0,4750.0,3.658938532500966,3.6532125137753435,0.011209273359184618,3.992785021336563,3.9927327408070683,0.007190851370738285,3.9856305030140553,3.9927327408070683,3.9998680502182222,0.4115,0.5,0.28092303216361597,0.0,0.5,0.5,0.4806500000000001,0.4,0.1464004012972642,0.4,0.4,0.7,9.7872814745811,1000,4638.5,4500.0,158.3279823657208,4500.0,4500.0,4750.0,3.66612703880769,3.6532125137753435,0.01471622612129586,3.998122132229859,3.9978971928348424,0.007092128212397588,3.99143030625365,3.9978971928348424,4.004761745544161,1.9615,2.5,0.6958934904135833,1.0,2.5,2.5,0.5992999999999999,0.55,0.1975715313500404,0.4,0.55,0.8,3.0161560167008203
3,7.948884,-73.599243,4500,0.0,0.45,3.974426735559534,0.5179790797509592,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,1.0,0.8,3.9761465989124876,0.02280673339927792,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4497.0,4500.0,53.53503525729669,4500.0,4500.0,4500.0,3.652891808476759,3.6532125137753435,0.005209644779648865,3.9680828292057164,3.9679940246375716,0.007131279452836434,3.961325834863658,3.9679940246375716,3.9747521682160394,0.0185,0.0,0.09438087730043622,0.0,0.0,0.0,0.4155500000000001,0.4,0.08124467674869534,0.4,0.4,0.45,8.389371597728799,1000,4769.75,4750.0,150.1580417426919,4750.0,4750.0,5000.0,3.67827955448291,3.6766936096248664,0.013714625915982968,3.9801001877519213,3.9804027162037086,0.010511373208923258,3.969719934154014,3.9804027162037086,3.9903266753517967,1.555,2.0,0.9715837586127096,0.0,2.0,2.5,0.7739000000000001,0.8,0.18979934141087001,0.65,0.8,1.0,3.1189789248065227
4,7.980047,-73.578545,4250,0.0,0.3,4.001189769104075,1.7637529474826916,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.0,0.7,3.9931987199864087,0.12696173180112158,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9945488706106658,3.994619277647501,0.007159676074495767,3.9869489470157706,3.994619277647501,4.001622375813732,0.0,0.0,0.0,0.0,0.0,0.0,0.2934999999999999,0.3,0.035394208565809174,0.25,0.3,0.35,19.87041162580173,1000,4427.25,4500.0,129.0152607252336,4250.0,4500.0,4500.0,3.6459485762750945,3.6532125137753435,0.012711395558137207,3.9990702462966836,3.9990123209978488,0.007006577025492398,3.9917838294753505,3.9990123209978488,4.006319620522093,2.1465,2.5,0.5227693085864931,1.5,2.5,2.5,0.6596000000000001,0.75,0.1916972613262902,0.4,0.75,0.8,10.235828296030757
5,7.981742,-73.585571,4500,0.0,0.7,4.261953817123595,5.671585161590036,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,1.0,4.284607199738206,0.2636106094229882,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4473.0,4500.0,77.59510293826537,4500.0,4500.0,4500.0,3.65053156673304,3.6532125137753435,0.007704754137761999,4.2715921826284875,4.27181979183454,0.007390110307009496,4.2638984699330855,4.27181979183454,4.278817460809153,0.0015,0.0,0.027345017827750638,0.0,0.0,0.0,0.69805,0.75,0.14566639111339308,0.7,0.75,0.8,27.221940776109008,1000,4634.5,4750.0,150.11578864330028,4500.0,4750.0,4750.0,3.6657704395948323,3.6766936096248664,0.014281530965190055,4.2850403790953076,4.285303188819537,0.008580423532212448,4.276592003338407,4.285303188819537,4.2934043049078525,0.008,0.0,0.07372923436466705,0.0,0.0,0.0,0.76235,0.85,0.22228355202308603,0.55,0.85,0.95,15.422955953376732
6,8.228736,-73.821953,6500,1.0,1.0,3.808399312976772,128.09860888437285,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,1.0,3.8084523399802364,5.977903038518926,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6426.5,6500.0,123.38050899554597,6250.0,6500.0,6500.0,3.8078923029591527,3.8129133566428557,0.008508688997648749,3.7992445122305383,3.7992726144409756,0.007452032135805232,3.7918875494976407,3.7992726144409756,3.8064868888097156,0.997,1.0,0.054690035655501276,1.0,1.0,1.0,0.9896499999999999,1.0,0.04307409314193394,0.95,1.0,1.0,212.44054581450857,1000,6400.75,6500.0,122.82889521606876,6250.0,6500.0,6500.0,3.8061504255135774,3.8129133566428557,0.008371042491878727,3.7977055422525154,3.7976579679821225,0.008121532565398404,3.789760573459139,3.7976579679821225,3.8060164477408067,1.7515,2.0,0.5458917017138106,1.0,2.0,2.5,0.9818499999999999,1.0,0.030299793728670834,0.95,1.0,1.0,37.66798860188805
7,8.560188,-73.619049,4500,0.0,0.45,4.053397027050004,0.8771816206071723,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.0,0.6,4.071340699829751,0.011842153641112253,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4462.5,4500.0,89.26785535678563,4500.0,4500.0,4500.0,3.649488976216589,3.6532125137753435,0.008863792325612822,4.064825527581156,4.064781989864189,0.008046352018232212,4.057229964348687,4.064781989864189,4.072768426339477,0.0375,0.0,0.13169567191065923,0.0,0.0,0.0,0.4475,0.5,0.11738292039304526,0.4,0.5,0.5,10.917538369961076,1000,4598.5,4500.0,161.0054346908824,4500.0,4500.0,4750.0,3.6623464777539594,3.6532125137753435,0.015357325126385268,4.068869194561909,4.069153573633471,0.007495197361666588,4.061327289883614,4.069153573633471,4.075798682773625,1.389,1.5,0.865262387949459,0.5,1.5,2.5,0.6443499999999999,0.6,0.22183457237319884,0.45,0.6,0.85,1.6885984363316429
8,8.637665,-73.873337,9000,2.5,0.35,4.2370395126357785,0.13819654490062072,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t9000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,11250,3.0,0.8,4.2838159277400205,0.004255365881373485,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t11250_g+3.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8528.0,8500.0,448.98886400444275,8250.0,8500.0,9000.0,3.9302794394339537,3.929418925714293,0.02189619949476842,4.2148873394936555,4.2151362908186885,0.01415580658967857,4.201963971150447,4.2151362908186885,4.227718267338371,2.3015,2.5,0.2604760065725824,2.0,2.5,2.5,0.2532,0.2,0.11698187893857749,0.15,0.2,0.35,4.1983550736916175,1000,9952.5,9000.0,1953.0408981892826,8250.0,9000.0,12000.0,3.9900377199092127,3.9542425094393248,0.0816498468673438,4.287117471193897,4.2543662166024365,0.10562364033567846,4.189333278166369,4.2543662166024365,4.396089977842325,2.397,2.5,0.3979836680066156,2.0,2.5,3.0,0.42290000000000005,0.35,0.25977026388715085,0.15,0.35,0.75,2.0063770898209823
9,8.763608,-73.549622,4500,0.0,0.5,4.232331456644247,2.909417148624928,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,5000,2.0,0.95,4.247149950914686,0.007555596092576749,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4496.75,4500.0,30.445648293311148,4500.0,4500.0,4500.0,3.6528884646990427,3.6532125137753435,0.003012191624680337,4.226401966284717,4.2266602375805356,0.007073128420094115,4.219216863648215,4.2266602375805356,4.2332000814867925,0.001,0.0,0.022338307903688678,0.0,0.0,0.0,0.4422500000000001,0.45,0.050074319765724226,0.4,0.45,0.5,24.55491193691535,1000,4649.0,4500.0,179.7192254601605,4500.0,4500.0,4750.0,3.6670408603578273,3.6532125137753435,0.016562801415672415,4.243393377410071,4.243217480956297,0.008123992438263365,4.235600245478256,4.243217480956297,4.251233178360163,0.802,0.5,0.8679262641492076,0.0,0.5,2.0,0.5033500000000001,0.4,0.24576671357203766,0.25,0.4,0.75,2.9336280319728365
