star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean
0,7.521702,-73.913918,6250,1.0,0.2,4.025083971170786,0.7668186540428851,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,2.5,0.45,4.026778327141326,0.16112865467009604,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,4.024135435521714,0.02881344040090244,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6478.0,6250.0,375.8536949399327,6250.0,6250.0,7000.0,3.810755228220465,3.7958800173440754,0.024020221867432242,4.012844171570537,4.012785877881936,0.006958991802176925,4.005895879552113,4.012785877881936,4.019716554704657,1.2135,1.0,0.43665518432740497,1.0,1.0,1.5,0.35835,0.25,0.22769009091306544,0.2,0.25,0.6079999999999984,11.300849715543103,1000,6324.5,6250.0,210.53443898801925,6250.0,6250.0,6250.0,3.8008024256590334,3.7958800173440754,0.013693779628688053,4.02159415338367,4.021666455219157,0.0076733511822243685,4.014144705431093,4.021666455219157,4.029264684768407,1.9085,2.0,0.5309216043824173,1.5,2.0,2.5,0.21049999999999996,0.15,0.13485084352720975,0.15,0.15,0.25,5.7987153376245795,1000,6342.25,6250.0,216.91573824874948,6250.0,6250.0,6500.0,3.8020077785321775,3.7958800173440754,0.014043099389418667,4.025318833528507,4.024245987532167,0.01073770608417515,4.015592641551698,4.024245987532167,4.034600983576597,1.8895,2.0,0.5727475447350254,1.0,2.0,2.5,0.20699999999999996,0.15,0.1309809146402635,0.15,0.15,0.25,4.620995273384282
1,7.746443,-73.741425,6000,1.0,0.2,3.9509529234493006,0.2793888541594457,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6000_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.35,3.9555776954498754,0.15212976340881507,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.5,0.15,3.9998719539984373,0.0642330214996392,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6223.75,6000.0,326.9150310095882,6000.0,6000.0,6500.0,3.7934809066089272,3.7781512503836434,0.022014612512239393,3.952391166774325,3.9524354744918373,0.009227829997306777,3.9434592598791087,3.9524354744918373,3.9618307425121766,1.4195,1.0,0.535975512500338,1.0,1.0,2.0,0.36645000000000005,0.25,0.19761552950109967,0.2,0.25,0.5579999999999985,8.795118780003788,1000,6177.25,6000.0,328.4736481059021,6000.0,6000.0,6500.0,3.7902151998310782,3.7781512503836434,0.022129799582460648,3.9591048009539396,3.9587194689165264,0.012706420588042168,3.9468942886353546,3.9587194689165264,3.9702414028148816,1.861,2.0,0.5654016271642663,1.0,2.0,2.5,0.29595000000000005,0.2,0.21514204028966538,0.15,0.2,0.5,7.811766133221514,1000,6204.0,6250.0,277.9550323343688,6000.0,6250.0,6250.0,3.792257074637918,3.7958800173440754,0.018750053209065063,3.9693946351609215,3.9669426857426053,0.016353642847334527,3.9545339184311135,3.9669426857426053,3.98732095295505,2.027,2.0,0.38893572733807835,1.5,2.0,2.5,0.26694999999999997,0.2,0.18145301733506666,0.15,0.2,0.4,5.9893334572045385
2,7.925977,-73.53167,4750,0.0,0.7,3.9979178101078414,0.5982366303093849,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.7,3.9979178101078414,0.2743149783212395,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.55,3.9917085535163688,0.01693268285824328,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4568.75,4500.0,114.39378261076955,4500.0,4500.0,4750.0,3.6596631026945854,3.6532125137753435,0.010763469495575516,3.986289102526862,3.985902119751747,0.007704768826033961,3.978738686760256,3.985902119751747,3.99425471048573,0.374,0.5,0.26004614975038565,0.0,0.5,0.5,0.46185000000000004,0.4,0.1450933406466334,0.35,0.4,0.65,9.466127170727246,1000,4508.5,4500.0,51.74698058824302,4500.0,4500.0,4500.0,3.65400415859485,3.6532125137753435,0.00489463611047869,3.987097812050589,3.9870913667646612,0.007225671562292009,3.9795272224644855,3.9870913667646612,3.9944528775606725,0.111,0.0,0.23912130812623122,0.0,0.0,0.5,0.31969999999999993,0.3,0.09458810707483262,0.25,0.3,0.4,6.128844219577965,1000,4635.5,4500.0,160.90292104247206,4500.0,4500.0,4750.0,3.6658390019578255,3.6532125137753435,0.014900269511900268,3.991833556120303,3.9917223681148446,0.0074666791684379445,3.984471339373594,3.9917223681148446,3.999024099337649,1.9275,2.5,0.7273195652531287,1.0,2.5,2.5,0.56275,0.45,0.2086502755809347,0.35,0.45,0.75,2.359977365408914
3,7.948884,-73.599243,4500,0.0,0.4,3.961180583586273,0.5967426305013014,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,1.0,0.9,3.950698874974631,0.1965830429423635,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.3,3.968528672497681,0.010868921993346466,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4499.5,4500.0,40.308187753854675,4500.0,4500.0,4500.0,3.6531467567533875,3.6532125137753435,0.0039037113990340747,3.9613817703324874,3.961567899473686,0.0071662214264252375,3.9541638279955134,3.961567899473686,3.9683086363029347,0.009,0.0,0.066475559418481,0.0,0.0,0.0,0.39645,0.4,0.06655747516244889,0.35,0.4,0.4,8.192902009100399,1000,4603.75,4500.0,126.6824277474978,4500.0,4500.0,4750.0,3.662947771137767,3.6532125137753435,0.011925306794306235,3.9616734600540258,3.9616573561501607,0.007043768827852706,3.954680587504677,3.9616573561501607,3.9682650524051937,0.0945,0.0,0.24149482396109445,0.0,0.0,0.0,0.56015,0.45,0.20806123497662896,0.35,0.45,0.8,5.571782636144462,1000,4761.0,4750.0,168.08926200087856,4500.0,4750.0,5000.0,3.6774265316853163,3.6766936096248664,0.015375995806297898,3.9744710047159484,3.974866511573496,0.011140569134655009,3.9624092813504883,3.974866511573496,3.9858786757580544,1.5065,1.5,0.952736978394352,0.5,1.5,2.5,0.72465,0.75,0.22333803415450762,0.45,0.75,0.95,2.4800131929140568
4,7.980047,-73.578545,4250,0.0,0.3,3.987386122509801,1.060612873963156,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.35,3.9868811568463856,0.11820847599479489,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.7,3.9969417459230483,0.09841013467184452,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.9877227132485293,3.9878260259063962,0.007021520263018043,3.980572992318695,3.9878260259063962,3.994357679869954,0.0,0.0,0.0,0.0,0.0,0.0,0.27135,0.25,0.03378871853148621,0.25,0.25,0.3,18.59324499839278,1000,4366.5,4250.0,136.66656504061262,4250.0,4250.0,4500.0,3.639923157869289,3.6283889300503116,0.013477337602978945,3.9911200574708343,3.9911939162621417,0.006981505019908348,3.984174585908515,3.9911939162621417,3.9981381725814,1.2875,1.0,0.7947287273025935,0.5,1.0,2.5,0.50805,0.4,0.22676573264053806,0.3,0.4,0.75,10.76686465532712,1000,4438.75,4500.0,137.15297116723355,4250.0,4500.0,4500.0,3.647052871465932,3.6532125137753435,0.013444311743117937,3.992900783735594,3.993105182668879,0.006823613071560228,3.98600211521431,3.993105182668879,3.9998469601492785,2.1525,2.5,0.5338480589081503,1.5,2.5,2.5,0.64355,0.7,0.2006262632358984,0.35,0.7,0.8,8.331909884960252
5,7.981742,-73.585571,4500,0.0,0.7,4.2659304743576945,6.004905617303189,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.7,4.2659304743576945,5.2107405787814685,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,0.0,0.85,4.28115365253618,0.7446167946666563,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4467.75,4500.0,83.7999850835309,4500.0,4500.0,4500.0,3.6500102714748146,3.6532125137753435,0.008320863783509816,4.263731689908457,4.263831097010478,0.007729989285269687,4.255991228956097,4.263831097010478,4.271428208483921,0.001,0.0,0.022338307903688678,0.0,0.0,0.0,0.6667000000000001,0.7,0.15354513994262403,0.65,0.7,0.75,29.075703770137558,1000,4458.25,4500.0,96.53723374947099,4250.0,4500.0,4500.0,3.649060262853886,3.6532125137753435,0.009565761586865715,4.263815295184019,4.2638751616975625,0.007628274874436777,4.256340587710403,4.2638751616975625,4.271545984496934,0.0,0.0,0.0,0.0,0.0,0.0,0.6494,0.7,0.16605613508690364,0.35,0.7,0.75,27.919836450666548,1000,4628.75,4750.0,151.1983382845195,4500.0,4750.0,4750.0,3.665227551627805,3.6766936096248664,0.014392111119100307,4.277995139779674,4.278110127725062,0.008928597661736702,4.269041739286526,4.278110127725062,4.286952717431747,0.0125,0.0,0.08120190884455858,0.0,0.0,0.0,0.7257,0.8,0.22761702484656107,0.5,0.8,0.95,16.65550800974643
6,8.228736,-73.821953,6500,1.0,1.0,3.7894533713562044,126.00911156991916,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,1.0,0.9,3.8148597071733668,48.48509723315982,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,1.5,1.0,3.795212704712728,8.490111374251232,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6472.25,6500.0,87.56390523497681,6500.0,6500.0,6500.0,3.8110138213607825,3.8129133566428557,0.006066533856274265,3.795930615680819,3.7961798758946013,0.0069550555469734205,3.7883761315903093,3.7961798758946013,3.8028992925579077,0.998,1.0,0.044676615807377355,1.0,1.0,1.0,0.99445,1.0,0.03523772836038101,1.0,1.0,1.0,204.73182044141075,1000,6701.5,6750.0,101.35457562438906,6500.0,6750.0,6750.0,3.8261216474945003,3.829303772831025,0.006638054754572794,3.8193194728698976,3.8196105488883347,0.00718418362476603,3.8122756199269885,3.8196105488883347,3.826347866016621,1.402,1.5,0.19973983077994237,1.0,1.5,1.5,0.9833,1.0,0.028915566741808823,0.95,1.0,1.0,100.37940164173781,1000,6456.25,6500.0,103.19126658782709,6250.0,6500.0,6500.0,3.809923842531303,3.8129133566428557,0.00703758210717125,3.7952575661929866,3.7952559164522333,0.007157232698068483,3.7883822255694586,3.7952559164522333,3.802480116425167,1.792,2.0,0.49217476570827967,1.0,2.0,2.5,0.9864499999999999,1.0,0.03512687717403869,0.95,1.0,1.0,33.023903304232185
7,8.560188,-73.619049,4500,0.0,0.55,4.085582677257595,1.4625396315594994,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.45,4.076977217979355,0.18355807282597175,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.5,4.0553684825059655,0.018130394869097517,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4478.75,4500.0,69.7204238369217,4500.0,4500.0,4500.0,3.651102509158716,3.6532125137753435,0.006922843113842144,4.057886299337325,4.05765388129111,0.008085905175232416,4.04994923613687,4.05765388129111,4.065900817839018,0.0225,0.0,0.10365206220813941,0.0,0.0,0.0,0.4503000000000001,0.45,0.08991612758565619,0.45,0.45,0.5,12.388825718148446,1000,4474.75,4500.0,97.08211730282771,4500.0,4500.0,4500.0,3.6506650571828505,3.6532125137753435,0.009527584754339706,4.058543639789063,4.058449863839469,0.007635812791278278,4.0508784800307325,4.058449863839469,4.066130891199507,0.066,0.0,0.17647662734764624,0.0,0.0,0.0,0.40280000000000005,0.4,0.12225857843112686,0.35,0.4,0.45,6.677045547835085,1000,4590.75,4500.0,160.70761494092307,4500.0,4500.0,4750.0,3.661616189759843,3.6532125137753435,0.015262597625869309,4.06267005774325,4.062834486460855,0.00743023168553927,4.054858361365017,4.062834486460855,4.06998762385649,1.288,1.0,0.8703769298413188,0.5,1.0,2.5,0.59945,0.55,0.21506324069910226,0.4,0.55,0.85,1.5562619461900045
8,8.637665,-73.873337,10500,3.0,0.65,4.259628155025101,0.18805764134687863,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t10500_g+3.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8250,2.0,0.15,4.221055346644266,0.023433336115638522,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,12000,3.0,0.7,4.371316642860831,0.006452339079422435,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t12000_g+3.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8558.25,8500.0,441.7798518493119,8250.0,8500.0,9000.0,3.931841951582605,3.929418925714293,0.021386002805405018,4.214160818844371,4.213055006262672,0.014511248320605718,4.201036841110348,4.213055006262672,4.227657482065754,2.305,2.5,0.2635811070619441,2.0,2.5,2.5,0.24175,0.2,0.1117561519559438,0.15,0.2,0.35,4.374400348167011,1000,9811.5,9000.0,1775.5190086281814,8250.0,9000.0,12000.0,3.985134610367979,3.9542425094393248,0.07435237458606708,4.288823234001593,4.248816869553429,0.09908021140776622,4.203486723179548,4.248816869553429,4.399952363505832,2.292,2.0,0.3824081589087765,2.0,2.0,3.0,0.36510000000000004,0.3,0.20630557433089394,0.15,0.3,0.6,3.0286300494234912,1000,10130.75,9750.0,1895.314469289991,8250.0,9750.0,12000.0,3.9983076865390275,3.989004615698537,0.0791304293115917,4.299712931435542,4.279305981449998,0.10276066688479722,4.200408329260112,4.279305981449998,4.411909780115999,2.327,2.0,0.3982097437281012,2.0,2.0,3.0,0.41705000000000003,0.4,0.24886100035963848,0.15,0.4,0.7,2.091280437018124
9,8.763608,-73.549622,4500,0.0,0.45,4.227475275448474,4.179603673709787,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.45,4.227475275448474,3.3234728127167665,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4750,2.0,0.65,4.229890793664187,0.03348968653414409,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4750_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4499.0,4500.0,15.7797338380595,4500.0,4500.0,4500.0,3.6531132194404434,3.6532125137753435,0.0015668381763511564,4.2199533715666435,4.219857263364155,0.007228258036136201,4.21265879505794,4.219857263364155,4.2271375684683345,0.0005,0.0,0.01580348062927911,0.0,0.0,0.0,0.4240500000000001,0.45,0.037537947466530455,0.4,0.45,0.45,25.81383222027571,1000,4499.75,4500.0,17.675901674313533,4500.0,4500.0,4500.0,3.653185005215868,3.6532125137753435,0.0017177304592413552,4.220127519825665,4.219810464603066,0.007280522048711456,4.212787401418248,4.219810464603066,4.227463081932776,0.0005,0.0,0.01580348062927911,0.0,0.0,0.0,0.4057500000000001,0.4,0.0415865062249764,0.35,0.4,0.45,22.071233802692937,1000,4629.5,4500.0,173.86704690653718,4500.0,4500.0,4750.0,3.665234771392207,3.6532125137753435,0.016031862023713997,4.237240032846491,4.237191629560867,0.007975827054505974,4.229178913391563,4.237191629560867,4.245210909601138,0.848,0.5,0.89269031584307,0.0,0.5,2.0,0.4509500000000001,0.35,0.23911628447263897,0.2,0.35,0.7,3.0365358361447443
