star_idx,RA,DEC,teff_U_redder,logg_U_redder,av_U_redder,logL_U_redder,chi2_U_redder,best_model_U_redder_filename,teff_B_redder,logg_B_redder,av_B_redder,logL_B_redder,chi2_B_redder,best_model_B_redder_filename,teff_V_redder,logg_V_redder,av_V_redder,logL_V_redder,chi2_V_redder,best_model_V_redder_filename,n_fits_U_redder,teff_mean_U_redder,teff_median_U_redder,teff_std_U_redder,teff_16perc_U_redder,teff_50perc_U_redder,teff_84perc_U_redder,logT_mean_U_redder,logT_median_U_redder,logT_std_U_redder,logL_mean_U_redder,logL_median_U_redder,logL_std_U_redder,logL_16perc_U_redder,logL_50perc_U_redder,logL_84perc_U_redder,logg_mean_U_redder,logg_median_U_redder,logg_std_U_redder,logg_16perc_U_redder,logg_50perc_U_redder,logg_84perc_U_redder,av_mean_U_redder,av_median_U_redder,av_std_U_redder,av_16perc_U_redder,av_50perc_U_redder,av_84perc_U_redder,chi2_U_redder_mean,n_excluded_U_redder,most_common_excluded_U_redder,n_fits_B_redder,teff_mean_B_redder,teff_median_B_redder,teff_std_B_redder,teff_16perc_B_redder,teff_50perc_B_redder,teff_84perc_B_redder,logT_mean_B_redder,logT_median_B_redder,logT_std_B_redder,logL_mean_B_redder,logL_median_B_redder,logL_std_B_redder,logL_16perc_B_redder,logL_50perc_B_redder,logL_84perc_B_redder,logg_mean_B_redder,logg_median_B_redder,logg_std_B_redder,logg_16perc_B_redder,logg_50perc_B_redder,logg_84perc_B_redder,av_mean_B_redder,av_median_B_redder,av_std_B_redder,av_16perc_B_redder,av_50perc_B_redder,av_84perc_B_redder,chi2_B_redder_mean,n_excluded_B_redder,most_common_excluded_B_redder,n_fits_V_redder,teff_mean_V_redder,teff_median_V_redder,teff_std_V_redder,teff_16perc_V_redder,teff_50perc_V_redder,teff_84perc_V_redder,logT_mean_V_redder,logT_median_V_redder,logT_std_V_redder,logL_mean_V_redder,logL_median_V_redder,logL_std_V_redder,logL_16perc_V_redder,logL_50perc_V_redder,logL_84perc_V_redder,logg_mean_V_redder,logg_median_V_redder,logg_std_V_redder,logg_16perc_V_redder,logg_50perc_V_redder,logg_84perc_V_redder,av_mean_V_redder,av_median_V_redder,av_std_V_redder,av_16perc_V_redder,av_50perc_V_redder,av_84perc_V_redder,chi2_V_redder_mean,n_excluded_V_redder,most_common_excluded_V_redder,total_exclusions,most_common_excluded_overall
0,7.521702,-73.913918,6250,1.0,0.15,4.011092326037548,0.9594449730718364,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,2.0,0.15,4.016874068053489,0.15573567035948838,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.5,0.15,4.002602933044347,0.020910774527952987,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6242.75,6250.0,41.95160902754506,6250.0,6250.0,6250.0,3.7953658831022232,3.7958800173440754,0.002975001200258009,4.0190500953166595,4.018890242278898,0.007418282051432513,4.012109976737585,4.018890242278898,4.026181453753942,1.612,1.5,0.504931678546712,1.0,1.5,2.0,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,14.837273385315996,0,nan,1000,6248.0,6250.0,22.271057451320086,6250.0,6250.0,6250.0,3.795738187208392,3.7958800173440754,0.0015793535500673874,4.023192972916436,4.023389247436896,0.007445574731636452,4.015769477373565,4.023389247436896,4.030676889213005,2.04,2.0,0.490815647672321,1.5,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,5.899140796104819,1,H,1000,6254.25,6250.0,65.53195785263858,6250.0,6250.0,6250.0,3.7961515029929513,3.7958800173440754,0.004535870811489361,4.024699854764139,4.024533059261698,0.010838048417792519,4.015856318511753,4.024533059261698,4.033205204494364,1.819,2.0,0.5981128656031401,1.0,2.0,2.5,0.14999999999999994,0.15,5.551115123125783e-17,0.15,0.15,0.15,4.578461988635698,3,H,4,H
1,7.746443,-73.741425,7000,2.5,0.8,3.9659514957217477,0.4745908153247889,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t7000_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6750,2.5,0.65,3.9660510716837867,0.1641819297664831,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6750_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6250,1.0,0.2,3.9780961100021024,0.01029355937891965,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6250_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6203.25,6000.0,318.98579513827883,6000.0,6000.0,6500.0,3.792074386206947,3.7781512503836434,0.02147618716423418,3.9522879639629047,3.9522274447905232,0.008989727626096539,3.943896858380234,3.9522274447905232,3.96099020997247,1.4015,1.0,0.5138557677014047,1.0,1.0,2.0,0.35285,0.25,0.19393137317102666,0.2,0.25,0.55,8.5544481485743,0,nan,1000,6169.25,6000.0,329.0774035086578,6000.0,6000.0,6500.0,3.7896503431536597,3.7781512503836434,0.022153254747274188,3.9584151309982465,3.958594231794447,0.012630752812726659,3.946118310692376,3.958594231794447,3.969621272777278,1.8295,2.0,0.5719962849529706,1.0,2.0,2.5,0.2935,0.2,0.22006305914441887,0.15,0.2,0.5,7.568222502992301,0,nan,1000,6204.75,6250.0,292.85651350106593,6000.0,6250.0,6250.0,3.7922665277532537,3.7958800173440754,0.01967220876148894,3.968786792277775,3.9666713922288026,0.016620765402033888,3.953349986651364,3.9666713922288026,3.987382712605024,2.054,2.0,0.4063053039279699,1.5,2.0,2.5,0.2703,0.2,0.19510999461842032,0.15,0.2,0.4,5.867630629665671,2,H,2,H
2,7.925977,-73.53167,4500,0.5,0.4,3.994101243807172,0.6063787185846814,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.4,3.9902304947082743,0.06600542006300036,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.45,3.995427127464457,0.004456803269290733,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4567.0,4500.0,112.96459622377269,4500.0,4500.0,4750.0,3.6595000775115136,3.6532125137753435,0.010625526341951812,3.9864674509080373,3.9865250696234784,0.007223894633524504,3.9792233700144872,3.9865250696234784,3.9937475439979897,0.3775,0.5,0.2612350474189863,0.0,0.5,0.5,0.4613500000000001,0.4,0.13599146112899882,0.35,0.4,0.65,9.253805650236957,0,nan,1000,4505.25,4500.0,55.090266835440175,4500.0,4500.0,4500.0,3.6536868219579266,3.6532125137753435,0.005263044865246076,3.987082080030302,3.987146561123839,0.006974345421337667,3.9802632631806385,3.987146561123839,3.994288830840502,0.1265,0.0,0.2524831677557932,0.0,0.0,0.5,0.3185,0.3,0.09004304526169692,0.25,0.3,0.4,5.978766643175743,0,nan,1000,4632.75,4500.0,162.60362080839406,4500.0,4500.0,4750.0,3.665575615525453,3.6532125137753435,0.01506161222309756,3.991885636136386,3.992048054784357,0.0069928725724874175,3.9851439027049214,3.992048054784357,3.998678052274332,1.953,2.5,0.7115412848176836,1.0,2.5,2.5,0.5608500000000001,0.45,0.20630021206969223,0.35,0.45,0.75,2.280520509869929,7,H,7,H
3,7.948884,-73.599243,4250,0.5,0.2,3.975195162153762,0.21930480657506707,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.45,3.9750099173050453,0.1073638824832003,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,5000,2.0,0.9,3.9824222423055233,0.005872441888898834,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t5000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4496.5,4500.0,44.5841900229218,4500.0,4500.0,4500.0,3.6528529012123134,3.6532125137753435,0.004359561064040238,3.961355968988889,3.9614769561579437,0.007462913964581763,3.954048547516296,3.9614769561579437,3.969062891726311,0.0125,0.0,0.07806247497997998,0.0,0.0,0.0,0.39265000000000005,0.4,0.0638238004195927,0.35,0.4,0.4,8.239093576626656,1,H,1000,4612.5,4500.0,128.33062767710598,4500.0,4500.0,4750.0,3.6637682670046243,3.6532125137753435,0.012084266182314098,3.961823964842383,3.962040556884049,0.0075964406257367,3.9544191682837715,3.962040556884049,3.969416623670986,0.101,0.0,0.2594205080559361,0.0,0.0,0.5,0.5751,0.5,0.20713519739532438,0.35,0.5,0.8,5.619647831953498,3,H,1000,4766.0,4750.0,168.05951326836575,4500.0,4750.0,5000.0,3.6778830396765216,3.6766936096248664,0.015357637117328972,3.974474385503742,3.974437252585541,0.011384715642330446,3.9628977522709006,3.974437252585541,3.9856867697198917,1.545,2.0,0.9625357136231362,0.5,2.0,2.5,0.734,0.8,0.21974758246679302,0.45,0.8,0.95,2.6210036311886102,3,H,7,H
4,7.980047,-73.578545,4250,0.0,0.3,3.973897764193088,0.8574538898522321,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.7,3.9991607471307193,0.45969205562475113,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,2.5,0.75,3.9996493368724115,0.002253862549395334,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+2.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4250.0,4250.0,0.0,4250.0,4250.0,4250.0,3.628388930050313,3.6283889300503116,1.3322676295501878e-15,3.987878879285681,3.9880156844352963,0.00732851618170136,3.9802014167855355,3.9880156844352963,3.995406597029501,0.0,0.0,0.0,0.0,0.0,0.0,0.27165,0.25,0.03610785925529232,0.25,0.25,0.3,18.268584947173007,0,nan,1000,4373.5,4250.0,135.08423298075908,4250.0,4250.0,4500.0,3.6406235881650924,3.6283889300503116,0.013335680856495967,3.9910476862823696,3.991223657793202,0.006903824775602722,3.984470374329625,3.991223657793202,3.9979332197658684,1.3065,1.0,0.7856893470068179,0.5,1.0,2.5,0.5205,0.4,0.22668204604688041,0.3,0.4,0.75,10.628026646156938,0,nan,1000,4441.25,4500.0,134.57688323036763,4250.0,4500.0,4500.0,3.647305134766808,3.6532125137753435,0.013195785890665038,3.992908358119823,3.9930902956115517,0.006950026526282792,3.9859915898418863,3.9930902956115517,3.999881094435522,2.131,2.5,0.5539305010558634,1.5,2.5,2.5,0.6470999999999999,0.7,0.19769064216598622,0.35,0.7,0.8,8.296857363333629,2,I,2,I
5,7.981742,-73.585571,4500,0.0,0.7,4.270466021899751,7.144815158895318,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.65,4.271901270701151,6.205894922337688,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.85,4.267186124149059,0.021033565126534006,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4467.5,4500.0,84.07585860400118,4500.0,4500.0,4500.0,3.649985447891089,3.6532125137753435,0.00834825646124147,4.264088925785489,4.2644251031757605,0.0074156234138064835,4.2566763597846204,4.2644251031757605,4.271528651523364,0.0005,0.0,0.01580348062927911,0.0,0.0,0.0,0.66575,0.7,0.153962454838834,0.65,0.7,0.75,28.667917188220105,0,nan,1000,4452.75,4500.0,99.77443309786331,4250.0,4500.0,4500.0,3.6485168289876864,3.6532125137753435,0.009895302384513032,4.263971592154215,4.264321849434174,0.007487709124212172,4.256843355565825,4.264321849434174,4.271461407235697,0.0,0.0,0.0,0.0,0.0,0.0,0.6404000000000001,0.7,0.16924195697284997,0.35,0.7,0.75,27.535746556108517,0,nan,1000,4616.25,4750.0,158.2669817112843,4500.0,4750.0,4750.0,3.6640291942668326,3.6766936096248664,0.015103581499989463,4.277928708293579,4.278118570397616,0.008521697295029754,4.269496823268677,4.278118570397616,4.286574250857637,0.0355,0.0,0.22133628261087243,0.0,0.0,0.0,0.7112999999999999,0.8,0.23683815148746623,0.5,0.8,0.95,16.389059303975408,13,I,13,I
6,8.228736,-73.821953,6500,1.0,1.0,3.7980679273271702,115.43851137710502,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,1.0,0.95,3.8077268952742656,53.20098849447787,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+1.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,6500,2.0,0.95,3.795322363737488,4.9546911372623565,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t6500_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,6475.25,6500.0,79.52947566783023,6500.0,6500.0,6500.0,3.8112226387423216,3.8129133566428557,0.005474291169907498,3.7957528431382372,3.7959181787154805,0.006682939180211043,3.7887193628311255,3.7959181787154805,3.8027637211035734,0.999,1.0,0.03160696125855822,1.0,1.0,1.0,0.9957999999999999,1.0,0.025443270230062806,1.0,1.0,1.0,204.88548165480992,0,nan,1000,6705.25,6750.0,96.48801739076205,6500.0,6750.0,6750.0,3.8263692921843377,3.829303772831025,0.006324121750719629,3.818928366045907,3.818924841848801,0.007106408078783799,3.812042300112575,3.818924841848801,3.8258487745718615,1.4115,1.5,0.19472480581579737,1.0,1.5,1.5,0.9852,1.0,0.02785605858695735,0.95,1.0,1.0,100.36517283247193,0,nan,1000,6456.5,6500.0,100.53730650857919,6250.0,6500.0,6500.0,3.809943664287769,3.8129133566428557,0.006843397417670246,3.79499043489008,3.79502965014584,0.007197360050933817,3.787962096508832,3.79502965014584,3.8020232277828567,1.7985,2.0,0.4828537563279383,1.5,2.0,2.5,0.9873,1.0,0.03120432662308226,0.95,1.0,1.0,32.763101069926584,0,nan,0,nan
7,8.560188,-73.619049,4500,0.0,0.5,4.061556047371772,1.2659380661969615,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4250,0.5,0.2,4.063008502099846,0.15222468600223185,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4250_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,1.5,0.55,4.069083526943413,0.000137333190050506,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+1.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4477.5,4500.0,71.54544010627092,4500.0,4500.0,4500.0,3.650978391240091,3.6532125137753435,0.007104056890489088,4.057762419935903,4.057596638649659,0.007840563901736063,4.050433200393843,4.057596638649659,4.065434413712596,0.0315,0.0,0.12148148007000904,0.0,0.0,0.0,0.4468000000000001,0.45,0.09052491369783236,0.45,0.45,0.5,12.029622327746678,0,nan,1000,4478.75,4500.0,94.13255281782175,4500.0,4500.0,4500.0,3.6510595495466998,3.6532125137753435,0.009225233372179911,4.058557866507547,4.058378989449009,0.007097138608716887,4.05156367427914,4.058378989449009,4.065599096052771,0.0575,0.0,0.16566155257029316,0.0,0.0,0.0,0.40415000000000006,0.4,0.11621220891111227,0.35,0.4,0.45,6.372989480004651,1,H,1000,4587.5,4500.0,160.75991415772776,4500.0,4500.0,4750.0,3.6613074238176253,3.6532125137753435,0.015305809864304423,4.062743991576531,4.062651347447694,0.007177471533597911,4.0557437282512785,4.062651347447694,4.0699832778630425,1.315,1.0,0.8658954902296234,0.5,1.0,2.5,0.5969,0.55,0.2136361158605913,0.4,0.55,0.85,1.4136498571260399,47,H,48,H
8,8.637665,-73.873337,8750,2.0,0.3,4.208642555952144,0.13109358724243794,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8750_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,11000,2.0,0.55,4.3302808754251,0.02024759836482892,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t11000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,8000,2.0,0.15,4.188787691688401,0.0013766086796876502,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ap_t8000_g+2.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,8532.5,8500.0,404.59084270408295,8250.0,8500.0,9000.0,3.930612365965828,3.929418925714293,0.01982783719722184,4.213080560249389,4.212208761236187,0.014560738097489178,4.199610326556776,4.212208761236187,4.227439515087844,2.2995,2.5,0.25700145913982664,2.0,2.5,2.5,0.23764999999999997,0.2,0.10667697736625274,0.15,0.2,0.35,4.42383228918645,0,nan,1000,9727.25,8750.0,1772.2993363142696,8250.0,8750.0,11750.0,3.9813874327405303,3.942008053022313,0.07411862781290031,4.285454150158217,4.246502403191945,0.09915119253992231,4.199950036575657,4.246502403191945,4.399048270293241,2.292,2.0,0.38109841248685367,2.0,2.0,3.0,0.3529,0.25,0.2064499697263238,0.15,0.25,0.6,2.992301410438313,1,H,1000,10052.0,9250.0,1923.160419725822,8250.0,9250.0,12000.0,3.99468864147868,3.9661417327390325,0.08007948586070951,4.295168319734596,4.267018016783146,0.10543961372444076,4.193973431900271,4.267018016783146,4.402972113039657,2.3245,2.0,0.38980732420004627,2.0,2.0,3.0,0.4084,0.35,0.24623046115377356,0.15,0.35,0.7,2.0250652793918227,4,H,5,H
9,8.763608,-73.549622,4500,0.0,0.4,4.222040336698181,3.746571127728294,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.0,0.4,4.222040336698181,1.9583536737508738,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.0_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,4500,0.5,0.35,4.240507880938559,0.0011128085100526306,/Users/shannonbowes/Research/ysg/candidates_and_lcs/2022_asassn_lc_data/pysynphot_data/grid/bosz/r2000/m-0.75/bosz2024_ms_t4500_g+0.5_m-0.75_a+0.00_c+0.00_v2_r2000_resam.txt.gz,1000,4498.75,4500.0,17.633419974582356,4500.0,4500.0,4500.0,3.653088395856719,3.6532125137753435,0.00175089870839078,4.219133638210536,4.2193484874805165,0.00754145829078913,4.211872308673875,4.2193484874805165,4.226472343257367,0.001,0.0,0.022338307903688678,0.0,0.0,0.0,0.4182500000000001,0.4,0.04011779530333141,0.4,0.4,0.45,26.08780745109864,0,nan,1000,4500.25,4500.0,17.675901674313533,4500.0,4500.0,4500.0,3.653233309895442,3.6532125137753435,0.001698844821100393,4.219866463867395,4.2199825397823965,0.007394195008862427,4.212406421156122,4.2199825397823965,4.226909789756895,0.001,0.0,0.022338307903688678,0.0,0.0,0.0,0.40325000000000005,0.4,0.043034143421241705,0.35,0.4,0.45,22.419182819446572,0,nan,1000,4629.5,4500.0,176.36538776075082,4500.0,4500.0,4750.0,3.665226200697501,3.6532125137753435,0.016258546127135322,4.236912021217713,4.237010515838818,0.008298537611547903,4.228603583423776,4.237010515838818,4.245096153702959,0.8935,0.5,0.8834068994523419,0.0,0.5,2.0,0.44730000000000003,0.35,0.23916042732860301,0.25,0.35,0.7,2.8590922064056596,17,I,17,I
